,gene_id,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,description,hit_num,neg_log_p_adj,sig
0,LOC121897605,4.05219450724127,3.75618610170704,4.3482029127755,4.63350184270939,28.1814959586139,1.37947764562609e-20,2.5847272646096003e-16,36.839231984081,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",1,15.587585276060958,True
1,LOC121904287,2.96508068426815,2.73011590964101,3.2000454588953,4.62305014575683,25.9783497830726,1.00617964136728e-19,9.42639397014936e-16,34.9251506420362,uncharacterized LOC121904287,2,15.025654413135012,True
2,lepa,2.56958810056346,2.35636443122925,2.78281176989766,3.55763402573717,24.8088082693494,3.08254912072618e-19,1.92525742916821e-15,33.4982488262683,leptin a,3,14.715511192081495,True
3,LOC121899156,2.56278375737694,2.32242011088473,2.80314740386915,4.64052084443202,21.9493155430167,5.92808311318922e-18,2.33067258005663e-14,31.0994110030004,alpha-2-macroglobulin,4,13.632518733198562,True
4,LOC121890410,3.99955936455069,3.6236900750522,4.37542865404919,4.82778374066703,21.90549681457,6.21943902454137e-18,2.33067258005663e-14,30.9879891547396,23 kDa integral membrane protein-like,5,13.632518733198562,True
5,bmp7b,2.06939749087257,1.86528233609742,2.27351264564772,2.8831315539694,20.8711543873117,1.9808352146043202e-17,6.18581823600685e-14,29.5811443595814,bone morphogenetic protein 7b,6,13.2086028454481,True
6,adam19a,-1.30217327087954,-1.43485579279858,-1.16949074896051,7.95055295111302,-20.2037907548655,4.29971274030782e-17,9.36281429842703e-14,29.1675628605055,ADAM metallopeptidase domain 19a,7,13.028593590303803,True
7,fbln1,2.14992783321457,1.93056677203023,2.3692888943989,7.59876793840191,20.1763288077755,4.4412075659561204e-17,9.36281429842703e-14,29.1375339209761,fibulin 1,8,13.028593590303803,True
8,filip1l,-3.48763107087505,-3.84366802322979,-3.13159411852032,4.2485428181223,-20.1656983426622,4.49726896973065e-17,9.36281429842703e-14,29.0042108604708,filamin A interacting protein 1-like,9,13.028593590303803,True
9,LOC121907976,1.68738159732544,1.51349626186022,1.86126693279066,4.00502630231478,19.9769026808771,5.62506811289891e-17,1.04150131464954e-13,28.832348205308,KN motif and ankyrin repeat domain-containing protein 4-like,10,12.98234017752163,True
10,gapdh,2.73057463820166,2.44819875747409,3.01295051892923,6.90081494803881,19.9069285071638,6.11438034965308e-17,1.04150131464954e-13,28.82442733946,glyceraldehyde-3-phosphate dehydrogenase,11,12.98234017752163,True
11,ptx3a,-1.61096516588761,-1.78507549433805,-1.43685483743717,5.86280991410788,-19.0475629707102,1.7403750054482099e-16,2.32924331979165e-13,27.7836439164574,"pentraxin 3, long a",12,12.632785141382353,True
12,numbl,2.20143805889522,1.96463841848812,2.43823769930232,3.47566158611385,19.1382945746565,1.55538545185445e-16,2.29549177969411e-13,27.7787920891059,NUMB like endocytic adaptor protein,13,12.639124258132062,True
13,plat,-1.63725581745834,-1.81689450140716,-1.45761713350953,4.80763977761921,-18.762663104435,2.4844124163662e-16,3.10336236303023e-13,27.4224516561884,"plasminogen activator, tissue",14,12.508167511210434,True
14,LOC121908485,-3.01621718868769,-3.34098414261554,-2.69145023475985,2.32140584749979,-19.1191500525214,1.59264520126079e-16,2.29549177969411e-13,27.155661787118,transmembrane protein 200C,15,12.639124258132062,True
15,nt5c1aa,1.56948896594456,1.39421495480022,1.74476297708889,2.39019545953683,18.4339559048419,3.7682114626351897e-16,4.17317362574276e-13,26.9803567757042,"5'-nucleotidase, cytosolic IAa",16,12.3795335460016,True
16,LOC121885527,-3.74548340604394,-4.17072699155598,-3.32023982053191,3.28298605573659,-18.1320917971071,5.55590283895328e-16,5.78338619408153e-13,26.407719651596,versican core protein-like,17,12.23781780607813,True
17,colec12,1.90316449195199,1.68343063513027,2.12289834877371,4.80530345683354,17.8302384333596,8.237743355697901e-16,7.350028440748169e-13,26.2357421324214,collectin sub-family member 12,18,12.133710980421098,True
18,LOC121909097,1.87903529900043,1.65999471480303,2.09807588319784,3.96544250785387,17.6598964490294,1.03142756568854e-15,8.40254708622005e-13,25.9974412302403,myomegalin-like,19,12.075589045150869,True
19,myom2a,1.85784123237407,1.64058423269549,2.07509823205264,6.22116581929747,17.604051188212,1.11076388463147e-15,8.67182621097496e-13,25.9317768263862,myomesin 2a,20,12.06188943426174,True
20,LOC121884171,2.40952210145857,2.12874546846295,2.69029873445419,1.48586258999265,17.666387638351,1.02259481359257e-15,8.40254708622005e-13,25.8574962673469,60S ribosomal protein L3-like,21,12.075589045150869,True
21,LOC121899291,-1.72467689689423,-1.92890591607664,-1.52044787771181,4.32305306899535,-17.3847358891674,1.4888841533835801e-15,1.11588889527793e-12,25.6411158178381,NADPH oxidase 4,22,11.95237904426024,True
22,LOC121910653,-4.02007172844678,-4.46910799628256,-3.571035460611,1.51379726229722,-18.4302058346391,3.78630259046949e-16,4.17317362574276e-13,25.6068509786327,histone H2A,23,12.3795335460016,True
23,dio3a,1.21542304641457,1.07036614553468,1.36047994729445,4.87993315637275,17.2491172992493,1.78742758508965e-15,1.2404085430305499e-12,25.4679949649843,iodothyronine deiodinase 3a,24,11.906435251320353,True
24,lum,3.43517320460611,3.02763314802068,3.84271326119153,1.08239486887677,17.3522637871399,1.5553076984929e-15,1.1208384748715998e-12,25.3540482333775,lumican,25,11.950456969498127,True
25,LOC121884428,2.74987775847138,2.43265111614448,3.06710440079829,-0.0702973624393717,17.8452048211377,8.07734546024711e-16,7.350028440748169e-13,25.2643083983623,protein phosphatase 1 regulatory subunit 27,26,12.133710980421098,True
26,tmem204,1.78013940813769,1.56650588954683,1.99377292672854,2.90476013171742,17.1538822331648,2.03366846910193e-15,1.3608873609129598e-12,25.224199405623,transmembrane protein 204,27,11.866177819365628,True
27,si:dkey-112a7.4,-1.36708323033398,-1.53313805844942,-1.20102840221853,3.77225914166218,-16.9481091237718,2.69337493929852e-15,1.74019883578057e-12,25.0326795524711,uncharacterized si:dkey-112a7.4,28,11.75940112622962,True
28,hsc70,1.69970064472072,1.49212749727224,1.90727379216919,5.35692071723767,16.8569528328087,3.05316483165781e-15,1.90690498169241e-12,24.9252751810162,heat shock cognate 70,29,11.719670946678567,True
29,LOC121911895,-2.91414285230561,-3.27692651329994,-2.55135919131128,3.98496536198207,-16.5363981824729,4.76681385406521e-15,2.8231521565041197e-12,24.4452781503233,kinase non-catalytic C-lobe domain-containing protein 1,30,11.549265714502974,True
30,fhl1a,-1.2849134074667,-1.44495197864153,-1.12487483629186,7.97044670787474,-16.5282547706079,4.82152260277162e-15,2.8231521565041197e-12,24.4137786833998,four and a half LIM domains 1a,31,11.549265714502974,True
31,plcl5,-2.12908627096375,-2.39474921162014,-1.86342333030735,3.18640726806124,-16.4983338315195,5.0281870587894305e-15,2.8549436642587197e-12,24.3368056418896,phospholipase C like 5,32,11.544402457135458,True
32,tat,1.06808861972533,0.933647600631831,1.20252963881883,5.16867630575277,16.3551034316258,6.152467248406861e-15,3.39055231862939e-12,24.2329667838787,tyrosine aminotransferase,33,11.469729549763084,True
33,nbl1,5.05013219404223,4.47216278114863,5.62810160693582,1.27754727833809,17.9877024188393,6.70298916371915e-16,6.61020568213714e-13,24.2184519242467,"NBL1, DAN family BMP antagonist",34,12.179785026864218,True
34,pdgfra,2.35246450949385,2.05440456539079,2.65052445359692,4.32572518146885,16.2479011260729,7.16247252437212e-15,3.81932856874448e-12,24.0877606197086,"platelet-derived growth factor receptor, alpha polypeptide",35,11.41801297858542,True
35,afap1,-1.38059899481002,-1.5568093630286,-1.20438862659145,6.06080330775759,-16.1292397417876,8.483148831555411e-15,4.1828620962329894e-12,23.8785917126698,actin filament associated protein 1,36,11.378526453332901,True
36,LOC121889097,-0.772678577187829,-0.871213198940699,-0.674143955434958,6.92445663957102,-16.1431328470938,8.316279395241891e-15,4.1828620962329894e-12,23.8754640957602,RNA-binding protein with multiple splicing-like,37,11.378526453332901,False
37,loxa,2.22411083718292,1.93909575597385,2.50912591839199,6.27215502866022,16.0644695091415,9.30813861781179e-15,4.36016483204849e-12,23.7846835081014,lysyl oxidase a,38,11.360497092314908,True
38,olfml3b,2.29088793217576,1.99769660669405,2.58407925765746,2.36588491345729,16.0853505764153,9.033459406975751e-15,4.33999817714115e-12,23.5995590869309,olfactomedin-like 3b,39,11.3625104528971,True
39,nradd,-1.04440170728766,-1.18166378782589,-0.907139626749429,6.04623099814829,-15.6637159457498,1.66447927467136e-14,7.425559087980299e-12,23.201892177723,neurotrophin receptor associated death domain,40,11.12927084171665,True
40,LOC121897897,3.64612181773197,3.18366901031335,4.10857462515058,1.61606388556689,16.2308609537645,7.338198669733751e-15,3.81932856874448e-12,23.1571906581378,leucine-rich repeat-containing protein 17-like,41,11.41801297858542,True
41,pfkma,2.10710044403237,1.82886172170819,2.38533916635654,4.50617640423032,15.5899768874545,1.85481660772815e-14,7.898567904318699e-12,23.1317933219175,"phosphofructokinase, muscle a",42,11.102451643852822,True
42,cnpy3,-0.906812308908268,-1.02697369576267,-0.786650922053861,5.01330161203677,-15.5356803689124,2.00928682117042e-14,8.36622381517116e-12,23.0394679114161,canopy FGF signaling regulator 3,43,11.077470521252685,False
43,LOC121904575,2.06005606764823,1.790135193437,2.32997694185945,2.03413861164951,15.7115984759958,1.55182034909516e-14,7.0918189953648795e-12,23.0301974672162,,44,11.149242357436234,True
44,cadm2b,-2.04250283158999,-2.31410036831482,-1.77090529486516,2.06167648947672,-15.4815572680863,2.1765615971752e-14,8.8657031839721e-12,22.6711586680934,cell adhesion molecule 2b,45,11.052286812594643,True
45,LOC121883513,1.42890734102929,1.23451799469093,1.62329668736765,4.4602952302612,15.1324556977429,3.6659535817539e-14,1.4310202554442198e-11,22.4380857617834,"myosin heavy chain, fast skeletal muscle-like",46,10.844354218954832,True
