"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","extracellular matrix","Cellular Component",5.4777111363268,9.82541563484527e-05,0.0809126331381405,0.0720512047832579,"GO:0031012","8/62","398/16896",8,"bmp7b/fbln1/loxa/lamb1b/alpl/LOC121882333/ntn2/serpine2"
"2","SMAD protein signal transduction","Biological Process",15.1397849462366,0.000140288504028395,0.0809126331381405,0.0720512047832579,"GO:0060395","4/62","72/16896",4,"bmp7b/gdf10a/LOC121882333/hipk2"
"3","odontogenesis","Biological Process",9.80273845439777,0.000155692461273156,0.0809126331381405,0.0720512047832579,"GO:0042476","5/62","139/16896",5,"bmp7b/pdgfra/lamb1b/alpl/LOC121882333"
"4","transforming growth factor beta receptor signaling pathway","Biological Process",9.6636925188744,0.000166458988749552,0.0809126331381405,0.0720512047832579,"GO:0007179","5/62","141/16896",5,"bmp7b/gdf10a/LOC121882333/bmpr1bb/hipk2"
"5","cellular response to transforming growth factor beta stimulus","Biological Process",7.26709677419355,0.000172154538591788,0.0809126331381405,0.0720512047832579,"GO:0071560","6/62","225/16896",6,"bmp7b/LOC121899291/gdf10a/LOC121882333/bmpr1bb/hipk2"
"6","response to transforming growth factor beta","Biological Process",6.87015451341827,0.00023327597204196,0.091366422383101,0.0813601109507748,"GO:0071559","6/62","238/16896",6,"bmp7b/LOC121899291/gdf10a/LOC121882333/bmpr1bb/hipk2"
"7","regulation of blood coagulation","Biological Process",10.9006451612903,0.00049528788984047,0.11962926670803,0.106527651608315,"GO:0030193","4/62","100/16896",4,"plat/pdgfra/tec/serpine2"
"8","regulation of hemostasis","Biological Process",10.9006451612903,0.00049528788984047,0.11962926670803,0.106527651608315,"GO:1900046","4/62","100/16896",4,"plat/pdgfra/tec/serpine2"
"9","regulation of platelet activation","Biological Process",19.0127531882971,0.000522997908177828,0.11962926670803,0.106527651608315,"GO:0010543","3/62","43/16896",3,"pdgfra/tec/serpine2"
"10","regulation of coagulation","Biological Process",10.4813895781638,0.000574474970824935,0.11962926670803,0.106527651608315,"GO:0050818","4/62","104/16896",4,"plat/pdgfra/tec/serpine2"
"11","negative regulation of response to external stimulus","Biological Process",4.73353077723525,0.000662475232814901,0.11962926670803,0.106527651608315,"GO:0032102","7/62","403/16896",7,"plat/nbl1/pdgfra/drd2a/pparg/calcrla/serpine2"
"12","collagen-containing extracellular matrix","Cellular Component",6.98759305210918,0.000738597632826455,0.11962926670803,0.106527651608315,"GO:0062023","5/62","195/16896",5,"fbln1/lamb1b/LOC121882333/ntn2/serpine2"
"13","positive regulation of bone mineralization","Biological Process",16.6846609611587,0.000768664732216039,0.11962926670803,0.106527651608315,"GO:0030501","3/62","49/16896",3,"bmp7b/LOC121882333/bmpr1bb"
"14","regulation of wound healing","Biological Process",6.67931688804554,0.000904593177924379,0.11962926670803,0.106527651608315,"GO:0061041","5/62","204/16896",5,"plat/pdgfra/acta2/tec/serpine2"
"15","negative regulation of blood coagulation","Biological Process",15.7220843672457,0.000914848292029707,0.11962926670803,0.106527651608315,"GO:0030195","3/62","52/16896",3,"plat/pdgfra/serpine2"
"16","positive regulation of biomineral tissue development","Biological Process",15.7220843672457,0.000914848292029707,0.11962926670803,0.106527651608315,"GO:0070169","3/62","52/16896",3,"bmp7b/LOC121882333/bmpr1bb"
"17","negative regulation of hemostasis","Biological Process",15.7220843672457,0.000914848292029707,0.11962926670803,0.106527651608315,"GO:1900047","3/62","52/16896",3,"plat/pdgfra/serpine2"
"18","BMP signaling pathway","Biological Process",9.16020601789103,0.000952287880216278,0.11962926670803,0.106527651608315,"GO:0030509","4/62","119/16896",4,"bmp7b/gdf10a/LOC121882333/bmpr1bb"
"19","positive regulation of pathway-restricted SMAD protein phosphorylation","Biological Process",15.4254412659769,0.00096721534785216,0.11962926670803,0.106527651608315,"GO:0010862","3/62","53/16896",3,"bmp7b/gdf10a/LOC121882333"
"20","negative regulation of coagulation","Biological Process",15.1397849462366,0.00102144538143913,0.120019832319098,0.106875443068473,"GO:0050819","3/62","54/16896",3,"plat/pdgfra/serpine2"
"21","transforming growth factor beta receptor binding","Molecular Function",13.6258064516129,0.00138735301232922,0.141647315355194,0.126134317100168,"GO:0005160","3/62","60/16896",3,"bmp7b/gdf10a/LOC121882333"
"22","positive regulation of ossification","Biological Process",8.13480982185845,0.00147820300283096,0.141647315355194,0.126134317100168,"GO:0045778","4/62","134/16896",4,"bmp7b/gdf10a/LOC121882333/bmpr1bb"
"23","cellular response to BMP stimulus","Biological Process",8.07455197132616,0.00151919349303043,0.141647315355194,0.126134317100168,"GO:0071773","4/62","135/16896",4,"bmp7b/gdf10a/LOC121882333/bmpr1bb"
"24","anesthesia-resistant memory","Biological Process",34.0645161290323,0.00153805338994997,0.141647315355194,0.126134317100168,"GO:0007615","2/62","16/16896",2,"drd2a/prkacab"
"25","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","Biological Process",4.75318829707427,0.0016062710951677,0.141647315355194,0.126134317100168,"GO:0090092","6/62","344/16896",6,"bmp7b/nbl1/gdf10a/LOC121882333/hipk2/nog2"
"26","response to BMP","Biological Process",7.89901823281907,0.0016469160358905,0.141647315355194,0.126134317100168,"GO:0071772","4/62","138/16896",4,"bmp7b/gdf10a/LOC121882333/bmpr1bb"
"27","cerebellar granular layer morphogenesis","Biological Process",32.0607210626186,0.00173901461935579,0.141647315355194,0.126134317100168,"GO:0021683","2/62","17/16896",2,"LOC121911895/serpine2"
"28","embryonic neurocranium morphogenesis","Biological Process",32.0607210626186,0.00173901461935579,0.141647315355194,0.126134317100168,"GO:0048702","2/62","17/16896",2,"pdgfra/LOC121882333"
"29","mesenchyme morphogenesis","Biological Process",12.5776674937965,0.00174798814693643,0.141647315355194,0.126134317100168,"GO:0072132","3/62","65/16896",3,"bmp7b/acta2/LOC121882333"
