"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","atp2a1",3.96239400537584,3.75240010831029,4.17238790244138,6.33428795712642,38.6433901005227,6.30766429786154e-26,1.24399755282425e-21,48.844970935038,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",1
"2","fbln1",2.8704614303622,2.69497243402755,3.04595042669685,7.59862388933903,33.4985539521189,3.23180592706746e-24,3.13764966851603e-20,45.053692937772,"fibulin 1",2
"3","actb1",-2.55773789037201,-2.71727895666527,-2.39819682407876,11.3617714613509,-32.8327894230681,5.60784940659016e-24,3.13764966851603e-20,44.8756146914815,"actin, beta 1",3
"4","tagln",-2.29421595761605,-2.43798066630997,-2.15045124892213,9.54758791004934,-32.681820620724,6.3637555390245e-24,3.13764966851603e-20,44.7102086084189,"transgelin",4
"5","mmp9",-2.33790889653404,-2.49601867184107,-2.179799121227,4.83591239150625,-30.2825955739754,5.13271922655465e-23,1.68712480976851e-19,42.4423967349803,"matrix metallopeptidase 9",5
"6","grem2a",-3.69891559038395,-3.95592654899074,-3.44190463177716,6.07043354675924,-29.4745384963024,1.07406118149513e-22,3.02609066020672e-19,41.6884277358196,"gremlin 2, DAN family BMP antagonist a",6
"7","filip1l",-4.36785653106819,-4.66235752689879,-4.07335553523759,4.24839876905941,-30.3742687787407,4.72581651218239e-23,1.68712480976851e-19,41.5139731174061,"filamin A interacting protein 1-like",7
"8","actn1",-3.22164060516921,-3.45215719071599,-2.99112401962243,7.96570903966907,-28.621945258549,2.39037027372123e-22,5.590863350259e-19,41.0612317476728,"actinin, alpha 1",8
"9","LOC121897605",3.69252551685139,3.4269015639508,3.95814946975197,4.63335779364651,28.4695435503954,2.76432638097105e-22,5.590863350259e-19,40.8934024448369,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",9
"10","timp2a",-2.16763451655661,-2.32407680622428,-2.01119222688895,7.14075668374139,-28.3763236420516,3.02243222414713e-22,5.590863350259e-19,40.7659650939953,"TIMP metallopeptidase inhibitor 2a",10
"11","csrp1b",-3.44420895533159,-3.69453889879707,-3.19387901186612,5.88294935204943,-28.1774004938134,3.66000844340849e-22,6.01522387674185e-19,40.2565180448444,"cysteine and glycine-rich protein 1b",11
"12","LOC121888432",-2.2536205697081,-2.42195678742727,-2.08528435198892,7.33149323932885,-27.4174757150757,7.6941677633567e-22,1.16726443560708e-18,39.9750072803283,"collagen alpha-1(XVIII) chain-like",12
"13","lum",3.73604017813411,3.46609344154269,4.00598691472553,1.08225081981389,28.3437749414688,3.11831948346258e-22,5.590863350259e-19,39.9301288549928,"lumican",13
"14","lmod1b",-2.75569388082874,-2.96577015530911,-2.54561760634837,6.4771683788567,-26.8644651985016,1.33738497471431e-21,1.88399331937969e-18,39.2847035592142,"leiomodin 1b (smooth muscle)",14
"15","loxa",2.95017920665637,2.72364636163037,3.17671205168238,6.27201097959734,26.6711322475413,1.6265859924139e-21,2.1386352628258e-18,38.8476283936737,"lysyl oxidase a",15
"16","itgb2",-2.2568160515617,-2.43954007059557,-2.07409203252784,6.15475057814971,-25.2944218630694,6.81895879990219e-21,8.40521909072944e-18,37.5428845465244,"integrin, beta 2",16
"17","itgbl1",2.69612552795107,2.4732195243555,2.91903153154663,5.47435482384925,24.7709451303268,1.19840882204766e-20,1.39029522284846e-17,36.8726176418629,"integrin, beta-like 1",17
"18","apoeb",1.60721919534935,1.47218239370181,1.74225599699689,6.07273116328169,24.3751446692709,1.84897059163409e-20,2.02585544490042e-17,36.7928466618775,"apolipoprotein Eb",18
"19","chrng",2.19007309260532,2.00376605690068,2.37638012830995,7.26020048483613,24.0742955555867,2.58198157737896e-20,2.66831174053394e-17,36.4467759019422,"cholinergic receptor, nicotinic, gamma",19
"20","LOC121904287",2.815864897535,2.57590412823355,3.05582566683644,4.62290609669395,24.0323257897134,2.70592408531989e-20,2.66831174053394e-17,36.2098291508829,"uncharacterized LOC121904287",20
"21","myl9b",-1.1857647366378,-1.29128624434388,-1.08024322893171,9.51807576613907,-23.0134525279987,8.64609790672758e-20,7.61345266394648e-17,35.2399700345206,"myosin, light chain 9b, regulatory",21
"22","unc5db",-2.14990852696441,-2.33990939620576,-1.95990765772307,5.45721320722817,-23.1733397418836,7.18337888997562e-20,6.74621897467139e-17,35.1287717030747,"unc-5 netrin receptor Db",22
"23","LOC121895409",1.97066016587406,1.791535731669,2.14978460007912,5.84523553748564,22.53103492967,1.52326361370139e-19,1.25174187455912e-16,34.606353310133,"glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",23
"24","LOC121885527",-3.64776094410367,-3.97269858410494,-3.32282330410239,3.28284200667371,-22.9906146210819,8.8788870941471e-20,7.61345266394648e-17,34.5720862392291,"versican core protein-like",24
"25","cntf",2.04667524272308,1.85890538429695,2.23444510114921,5.32699524302313,22.3227292533504,1.95184016029917e-19,1.53976766565681e-16,34.3874706796359,"ciliary neurotrophic factor",25
"26","cdh15",1.28529442480098,1.16458433684543,1.40600451275652,8.775491455692,21.8063657358662,3.64145337937157e-19,2.61005088202881e-16,33.8261209777938,"cadherin 15, type 1, M-cadherin (myotubule)",26
"27","lamb1b",2.85731880847725,2.59193676143213,3.12270085552238,4.98146575814281,22.0501422067752,2.70837155972438e-19,2.05440399618785e-16,33.787012080001,"laminin, beta 1b",27
"28","LOC121883517",2.4003031446545,2.17417949827176,2.62642679103723,8.10129514482547,21.7392395635559,3.95277448747931e-19,2.61005088202881e-16,33.7297039741018,"myosin heavy chain, fast skeletal muscle-like",28
"29","pdlim1",-2.25452049320177,-2.4672035343054,-2.04183745209814,6.80954676287601,-21.7092870046154,4.10044554136183e-19,2.61005088202881e-16,33.7106868436546,"PDZ and LIM domain 1 (elfin)",29
"30","ckma",2.27548812939613,2.06135349942769,2.48962275936457,9.67921422090556,21.7626562064495,3.84116092199428e-19,2.61005088202881e-16,33.6773008556332,"creatine kinase, muscle a",30
"31","gapdh",2.21004794215489,2.00130713657055,2.41878874773924,6.90067089897593,21.6829602734076,4.23494717700648e-19,2.61005088202881e-16,33.6411124564614,"glyceraldehyde-3-phosphate dehydrogenase",31
"32","atp1a2a",2.10995787603913,1.91001109976795,2.30990465231031,6.82398451341076,21.6114353973697,4.62387578300702e-19,2.63086792323694e-16,33.5948101626777,"ATPase Na+/K+ transporting subunit alpha 2a",32
"33","ptx3a",-1.6045179197838,-1.75662293848661,-1.45241290108099,5.862665865045,-21.6035569656802,4.66891680931411e-19,2.63086792323694e-16,33.5806624368278,"pentraxin 3, long a",33
"34","p3h2",-1.97555840060493,-2.16237247424157,-1.78874432696829,4.82348079953928,-21.6573101679494,4.37038088844988e-19,2.61189854187905e-16,33.529370492266,"prolyl 3-hydroxylase 2",34
"35","LOC121908798",-2.35894989803425,-2.58337125600362,-2.13452854006488,9.23447194047421,-21.526764784607,5.1324308080884e-19,2.81171667769776e-16,33.4597114653095,"tropomyosin alpha-1 chain-like",35
"36","acta2",-3.31342154424698,-3.62635051858478,-3.00049256990919,4.37535353845082,-21.6847864457554,4.22547184923084e-19,2.61005088202881e-16,33.4135065326514,"actin alpha 2, smooth muscle",36
"37","tpm4a",-1.6269980875826,-1.7824984103072,-1.47149776485799,8.19236581766083,-21.4279183183515,5.80000260418845e-19,3.09155814485958e-16,33.3722021503923,"tropomyosin 4a",37
"38","cavin4a",1.99781326743041,1.80223810730703,2.19338842755378,6.61176734406004,20.9201807688435,1.09567979304479e-18,5.66634511458904e-16,32.7382564110237,"caveolae associated protein 4a",38
"39","LOC121899156",2.65728111356652,2.39692741523413,2.9176348118989,4.64037679536913,20.9024880609145,1.12051241998262e-18,5.66634511458904e-16,32.6935797085185,"alpha-2-macroglobulin",39
"40","zgc:153867",-1.3237830786934,-1.45367575610303,-1.19389040128376,8.68593683583001,-20.8716311451534,1.16522273168944e-18,5.74513067859476e-16,32.6577215127384,"uncharacterized LOC121895796",40
"41","cnn2",-1.44103270190888,-1.58446250935717,-1.29760289446059,8.82779833938449,-20.5758912372546,1.69981034638657e-18,8.17650235400879e-16,32.272081065518,"calponin 2",41
"42","zgc:66433",-2.26128453561492,-2.48819563471538,-2.03437343651447,6.01247426811672,-20.4090931434029,2.10770289187145e-18,9.8971705794021e-16,32.069615437169,"uncharacterized LOC121902281",42
"43","bcam",1.64966178376797,1.48326954807609,1.81605401945985,7.27790055137519,20.3042097395183,2.41484482615091e-18,1.08239931048519e-15,31.9284940440114,"basal cell adhesion molecule (Lutheran blood group)",43
"44","LOC121885276",-2.70028424664459,-2.97177549102159,-2.42879300226758,3.74507568444278,-20.3693837004831,2.21894197133814e-18,1.01772031531932e-15,31.8671830594745,"angiopoietin-related protein 2-like",44
"45","tnfsf10l",-1.98466947825856,-2.18631874714503,-1.78302020937209,7.82276343432998,-20.1565301986956,2.92772898189977e-18,1.2831260218006e-15,31.7249286517658,"TNF superfamily member 10, like",45
"46","adam8b",-1.27573909329112,-1.40549415860416,-1.14598402797807,6.96925085384518,-20.1354703061242,3.00955509018842e-18,1.29031403236296e-15,31.7120432369204,"ADAM metallopeptidase domain 8b",46
"47","ccn2a",-1.81413843093189,-1.99943182713768,-1.62884503472609,8.95708157275934,-20.0509390357119,3.36251530170369e-18,1.41096865489788e-15,31.5835246511309,"cellular communication network factor 2a",47
"48","mfge8b",-2.20288821950386,-2.43089646242976,-1.97487997657796,8.29112960272581,-19.7863709578796,4.77042534820182e-18,1.96004851494242e-15,31.2585457343842,"milk fat globule EGF and factor V/VIII domain containing b",48
"49","hjv",1.82996950348037,1.6395885139544,2.02035049300634,4.90186409193096,19.6854119210756,5.45740424508216e-18,2.15261853043021e-15,31.0033243200197,"hemojuvelin BMP co-receptor",49
"50","afap1",-1.57718559047199,-1.74263612709946,-1.41173505384452,6.06065925869471,-19.5226538921976,6.7878364763693e-18,2.62489629386187e-15,30.9243113791269,"actin filament associated protein 1",50
"51","casq2",2.00230870231028,1.79192332649745,2.2126940781231,5.99123614534,19.4912513156147,7.08093152151668e-18,2.68557945129523e-15,30.8824043971599,"calsequestrin 2",51
"52","nog2",-3.75444097355273,-4.14375374233925,-3.36512820476622,4.43195753673124,-19.7501713210315,5.00584484400506e-18,2.01480146966261e-15,30.8187500754446,"noggin 2",52
"53","klhl31",1.76926194309858,1.5828006130243,1.95572327317286,6.92414696252176,19.4324515037147,7.66541800827794e-18,2.85240328225014e-15,30.8025386070913,"kelch-like family member 31",53
"54","nuak1b",-1.64888158208432,-1.82374925544582,-1.47401390872283,7.01069299862648,-19.3109735812831,9.03619258598588e-18,3.29138695265615e-15,30.6131178009409,"NUAK family, SNF1-like kinase, 1b",54
"55","postnb",-1.10358732258932,-1.22069524584397,-0.98647939933468,5.33942215203899,-19.2994377944956,9.17890084150128e-18,3.29138695265615e-15,30.5632110006579,"periostin, osteoblast specific factor b",55
"56","mmp14a",-1.49871057816448,-1.65804136331841,-1.33937979301054,8.52117619226099,-19.2638155309763,9.6344561873695e-18,3.39304901655895e-15,30.5177422290821,"matrix metallopeptidase 14a (membrane-inserted)",56
"57","LOC121886803",-1.63808995141671,-1.81415828993946,-1.46202161289395,5.45692854113904,-19.0537610567808,1.2839879944986e-17,4.36600193577611e-15,30.2803545423887,"axin-2-like",57
"58","LOC121890924",2.78909474794247,2.48910468431704,3.08908481156791,5.75950219681689,19.0406001152947,1.30742126530691e-17,4.37033257531914e-15,30.2696349091076,"troponin I, slow skeletal muscle-like",58
"59","mylpfb",1.72348924364648,1.53845157351,1.90852691378296,8.96645595785619,19.0753563698523,1.2464727334069e-17,4.31279565758786e-15,30.2113620236032,"myosin light chain, phosphorylatable, fast skeletal muscle b",59
"60","LOC121907641",1.39802343160775,1.24724113616798,1.54880572704752,9.02824045977659,18.9883983659309,1.40480543320588e-17,4.61759545894772e-15,30.1173523033352,"UDP-glucuronosyltransferase-like",60
"61","myom2a",1.98271480854491,1.76810528220067,2.19732433488914,6.22102177023459,18.9206254547763,1.54253088363689e-17,4.90674098178818e-15,30.1067764398257,"myomesin 2a",61
"62","pfkma",2.96242498724469,2.64255217922281,3.28229779526656,4.50603235516743,18.966809132902,1.44724312888608e-17,4.67910311276905e-15,30.0229576591201,"phosphofructokinase, muscle a",62
"63","txlnba",1.78225264149676,1.58849536363804,1.97600991935548,6.45143631200131,18.8380296955498,1.72943632191635e-17,5.30676317160461e-15,29.9881427174086,"taxilin beta a",63
"64","adam19a",-1.16465119242787,-1.2912440107817,-1.03805837407404,7.95040890205014,-18.8413076669412,1.72159002684988e-17,5.30676317160461e-15,29.9518587830499,"ADAM metallopeptidase domain 19a",64
"65","unc45b",1.84586546237599,1.64487044249701,2.04686048225497,8.39975639278165,18.8078425935352,1.80345326018525e-17,5.3890462420263e-15,29.916305103488,"unc-45 myosin chaperone B",65
"66","thbs2a",2.59052428968967,2.30877459883748,2.87227398054187,5.28829381736997,18.8299191372955,1.74900925947825e-17,5.30676317160461e-15,29.8935700375413,"thrombospondin 2a",66
"67","tgfb1a",-1.51355282031998,-1.6789994041474,-1.34810623649256,6.86450651830219,-18.7354449613787,1.99460526849198e-17,5.87128434405953e-15,29.8507527686994,"transforming growth factor, beta 1a",67
"68","LOC121900435",-2.2359939974042,-2.48344154713366,-1.98854644767475,2.80657128127289,-18.5059638759221,2.75107483385337e-17,7.86328954684871e-15,29.5242849358966,"E-selectin-like",68
"69","snai2",-1.8287010948849,-2.03260884868377,-1.62479334108604,5.1171614303002,-18.3667882382349,3.34901123641872e-17,9.04783556228083e-15,29.3369350573338,"snail family zinc finger 2",69
"70","lfng",-2.13886865246031,-2.37659985119026,-1.90113745373035,1.39225995510905,-18.4256225193555,3.08135701970919e-17,8.68150330610066e-15,29.3166702095522,"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",70
"71","anxa6",1.58708516281868,1.40972631383207,1.76444401180528,7.5259485271668,18.3261655038193,3.54773646920514e-17,9.32912781942184e-15,29.2726672373294,"annexin A6",71
"72","pdgfra",2.81628727016524,2.50275006672244,3.12982447360805,4.32558113240596,18.3955215809432,3.21541797576024e-17,8.80826807195204e-15,29.269196431524,"platelet-derived growth factor receptor, alpha polypeptide",72
"73","tnnt2d",2.37941882954041,2.11373978671401,2.64509787236681,6.66047128950352,18.3416258716482,3.47070708587175e-17,9.24990339831926e-15,29.2363820322139,"troponin T2d, cardiac",73
"74","phldb2a",-2.14897308229523,-2.38821894351351,-1.90972722107696,5.35686643525863,-18.3954652603501,3.2156743797817e-17,8.80826807195204e-15,29.2320930685532,"pleckstrin homology-like domain, family B, member 2a",74
"75","myl13",1.82006009539038,1.61636603836636,2.02375415241439,6.29763819790784,18.2991789482848,3.68645207354125e-17,9.56634313083956e-15,29.2145813602375,"myosin, light chain 13",75
"76","enc1",-1.44890641160146,-1.61190806978868,-1.28590475341423,5.89449523084812,-18.2042397383209,4.22061301046811e-17,1.0671657665699e-14,29.1065115118586,"ectodermal-neural cortex 1",76
"77","atp2a1l",1.62090073788649,1.4393779504037,1.80242352536928,8.16514636935053,18.287296333872,3.74929548700118e-17,9.60306566164121e-15,29.0795738717336,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like",77
"78","desma",1.77142759062005,1.57171328302178,1.97114189821833,9.09335104592154,18.1651279036778,4.46335382214515e-17,1.10032830100433e-14,28.9477204397851,"desmin a",78
"79","tnnt2c",2.93006970855024,2.59834566797661,3.26179374912387,4.87466734116496,18.0894449127796,4.97486758485583e-17,1.2112881297349e-14,28.919299881991,"troponin T2c, cardiac",79
"80","mybpc3",2.78161261799592,2.46804143281909,3.09518380317275,4.73832642352312,18.1670635216532,4.45100811265843e-17,1.10032830100433e-14,28.9071198838869,"myosin binding protein C3",80
"81","LOC121883529",1.86546637356196,1.65299926241426,2.07793348470965,4.22962744262137,17.981252782754,5.81343433695632e-17,1.38135604811389e-14,28.783256112356,"myosin heavy chain, fast skeletal muscle-like",81
"82","LOC121908485",-3.32798743294226,-3.6960116544004,-2.95996321148412,2.32126179843691,-18.5195107580173,2.69909249185465e-17,7.82816207711138e-15,28.7660712900202,"transmembrane protein 200C",82
