"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","contractile fiber","Cellular Component",1.81194818995477,6.67781010510689e-33,5.96128108082892e-29,5.06529469656845e-29,"GO:0043292","264/4959","419/14261",264,"atp2a1/actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/LOC121895409/LOC121883517/gapdh/acta2/tpm4a/cavin4a/zgc:153867/casq2/nuak1b/mylpfb/myom2a/txlnba/unc45b/tnnt2d/atp2a1l/desma/mybpc3/LOC121883529/acta1b/LOC121883527/LOC121883403/myom2b/LOC121892381/LOC121883514/cavin4b/LOC121896926/itgb3a/LOC121894285/LOC121880795/igfn1.1/gja1b/LOC121893745/hsp90aa1.1/LOC121887939/LOC121898608/LOC121893746/pdlim5a/LOC121910885/myoz2b/mybpc2b/LOC121887586/actn3b/flna/casq1b/LOC121886861/LOC121883509/LOC121887522/itgav/itga5/LOC121883513/LOC121895500/LOC121884030/pygmb/aldoab/LOC121887940/LOC121912256/tnnt3a/tpm3/ak1/klhl41a/LOC121909097/LOC121890607/tpm2/itga8/LOC121887076/arhgef25b/mybphb/myl1/LOC121883532/LOC121883559/LOC121901160/LOC121902029/LOC121883515/LOC121884840/cspg4/tnnt2e/dmd/mmp2/lmod3/mypn/myh7ba/tmod4/LOC121883510/fhod3a/actn2b/LOC121906789/LOC121889157/LOC121909443/LOC121912146/LOC121883528/LOC121895662/LOC121908668/gys1/nexn/itgb1a/myot/LOC121908040/LOC121887276/LOC121884663/LOC121911171/LOC121883511/LOC121911364/LOC121908041/wdr1/LOC121906924/LOC121883530/hspg2/LOC121894670/capn3b/LOC121911191/LOC121894571/pgm5/LOC121907520/myom1b/LOC121893985/klhl40b/tmod1/LOC121911365/itgb3b/lrpprc/pak1/tnnt2a/LOC121888854/LOC121898947/LOC121909650/jph2/LOC121888350/zgc:92429/gpd1b/LOC121911401/bag3/bag2/ryr1b/ablim2/LOC121908475/mybpha/LOC121884341/fbxl22/LOC121896749/LOC121895055/igfn1.4/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/sync/LOC121889326/nuak2/neb/cmya5/LOC121885296/hspb1/LOC121884700/clic4/LOC121897830/LOC121894730/ilk/LOC121904032/LOC121887641/LOC121906032/calm2a/LOC121880591/LOC121899381/trip6/parvaa/LOC121912923/LOC121900514/myom3/syne2b/LOC121898476/fermt2/LOC121910053/fxr1/pgm1/trim63b/dek/tnnc1a/mbnl2/tln2b/LOC121891066/pgk1/LOC121906787/ank1a/trim9/LOC121896724/slc2a1b/LOC121908042/scn3b/lman1/arhgef25a/lasp1/LOC121899094/dst/gapdhs/obscna/calm3a/LOC121913929/LOC121894574/sqstm1/LOC121909093/hdac4/svila/LOC121882041/scn1laa/capn2b/LOC121896922/fhod3b/rock1/smpx/clic5a/LOC121891793/myh11a/LOC121889603/LOC121882695/LOC121880812/adra1ab/LOC121886477/sdc4/clic2/myh7l/sgcd/LOC121883377/capn1/LOC121886466/cspg4ba/psen2/LOC121900042/kcnk3a/kcnma1a/LOC121896866/LOC121914078/alpi.1/homer1b/myh6/ankhd1/abrab/mybpc1/syne1b/tpi1b/LOC121881883/LOC121894656/abcc9/ryr3/LOC121884874/mybpc2a/slc8a1b/psma6a/mtm1/fbxo32/LOC121898858/LOC121907980/LOC121882009/anxa5b/jupa/ctnnb1/LOC121897777"
"2","myofibril","Cellular Component",1.83137997564685,3.76463453594048e-32,1.68034462511703e-28,1.42778718242037e-28,"GO:0030016","249/4959","391/14261",249,"atp2a1/actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/LOC121895409/LOC121883517/gapdh/acta2/tpm4a/cavin4a/casq2/nuak1b/myom2a/txlnba/unc45b/tnnt2d/atp2a1l/desma/mybpc3/LOC121883529/acta1b/LOC121883527/LOC121883403/myom2b/LOC121892381/LOC121883514/cavin4b/LOC121896926/itgb3a/LOC121894285/LOC121880795/igfn1.1/LOC121893745/hsp90aa1.1/LOC121887939/LOC121898608/LOC121893746/pdlim5a/LOC121910885/myoz2b/mybpc2b/LOC121887586/actn3b/flna/casq1b/LOC121886861/LOC121883509/LOC121887522/itgav/itga5/LOC121883513/LOC121895500/LOC121884030/pygmb/aldoab/LOC121887940/LOC121912256/tnnt3a/tpm3/ak1/klhl41a/LOC121909097/LOC121890607/tpm2/itga8/LOC121887076/arhgef25b/mybphb/myl1/LOC121883532/LOC121883559/LOC121901160/LOC121902029/LOC121883515/LOC121884840/cspg4/tnnt2e/dmd/mmp2/lmod3/mypn/myh7ba/tmod4/LOC121883510/fhod3a/actn2b/LOC121906789/LOC121889157/LOC121909443/LOC121912146/LOC121883528/LOC121895662/LOC121908668/gys1/nexn/itgb1a/myot/LOC121908040/LOC121887276/LOC121884663/LOC121911171/LOC121883511/LOC121911364/LOC121908041/wdr1/LOC121906924/LOC121883530/LOC121894670/capn3b/LOC121911191/LOC121894571/pgm5/LOC121907520/myom1b/LOC121893985/klhl40b/tmod1/LOC121911365/itgb3b/lrpprc/pak1/tnnt2a/LOC121888854/LOC121898947/LOC121909650/jph2/LOC121888350/zgc:92429/gpd1b/LOC121911401/bag3/bag2/ryr1b/ablim2/LOC121908475/mybpha/LOC121884341/fbxl22/LOC121896749/LOC121895055/igfn1.4/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/sync/LOC121889326/nuak2/neb/cmya5/LOC121885296/hspb1/LOC121884700/LOC121897830/LOC121894730/ilk/LOC121904032/LOC121887641/LOC121906032/calm2a/LOC121880591/LOC121899381/trip6/parvaa/LOC121912923/LOC121900514/myom3/syne2b/LOC121898476/fermt2/LOC121910053/fxr1/pgm1/trim63b/tnnc1a/mbnl2/tln2b/LOC121891066/pgk1/LOC121906787/ank1a/LOC121896724/slc2a1b/LOC121908042/scn3b/lman1/arhgef25a/lasp1/LOC121899094/dst/gapdhs/obscna/calm3a/LOC121913929/LOC121894574/sqstm1/LOC121909093/hdac4/svila/LOC121882041/scn1laa/capn2b/LOC121896922/fhod3b/smpx/LOC121891793/myh11a/adra1ab/LOC121886477/sdc4/myh7l/sgcd/LOC121883377/capn1/LOC121886466/cspg4ba/psen2/LOC121900042/kcnma1a/LOC121896866/LOC121914078/alpi.1/homer1b/myh6/ankhd1/abrab/mybpc1/syne1b/tpi1b/LOC121894656/abcc9/ryr3/LOC121884874/mybpc2a/slc8a1b/psma6a/mtm1/fbxo32/LOC121898858/LOC121907980/LOC121882009/anxa5b/jupa/ctnnb1/LOC121897777"
"3",NA,NA,1.81937191089382,2.30871505521942e-31,6.86996643264791e-28,5.83740375014425e-28,"GO:0044449","248/4959","392/14261",248,"atp2a1/actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/LOC121895409/LOC121883517/gapdh/acta2/tpm4a/cavin4a/zgc:153867/casq2/nuak1b/mylpfb/myom2a/txlnba/unc45b/tnnt2d/atp2a1l/desma/mybpc3/LOC121883529/acta1b/LOC121883527/LOC121883403/myom2b/LOC121892381/LOC121883514/cavin4b/LOC121896926/itgb3a/LOC121894285/LOC121880795/igfn1.1/LOC121893745/hsp90aa1.1/LOC121887939/LOC121898608/LOC121893746/pdlim5a/LOC121910885/myoz2b/mybpc2b/LOC121887586/actn3b/flna/casq1b/LOC121886861/LOC121883509/LOC121887522/itgav/itga5/LOC121883513/LOC121895500/LOC121884030/pygmb/aldoab/LOC121887940/LOC121912256/tnnt3a/tpm3/ak1/klhl41a/LOC121890607/tpm2/itga8/LOC121887076/mybphb/myl1/LOC121883532/LOC121883559/LOC121901160/LOC121902029/LOC121883515/LOC121884840/cspg4/tnnt2e/dmd/mmp2/lmod3/mypn/myh7ba/tmod4/LOC121883510/fhod3a/actn2b/LOC121906789/LOC121889157/LOC121909443/LOC121912146/LOC121883528/LOC121895662/LOC121908668/nexn/itgb1a/myot/LOC121908040/LOC121887276/LOC121884663/LOC121911171/LOC121883511/LOC121911364/LOC121908041/LOC121906924/LOC121883530/hspg2/capn3b/LOC121911191/LOC121894571/pgm5/LOC121907520/myom1b/LOC121893985/klhl40b/tmod1/LOC121911365/itgb3b/lrpprc/pak1/tnnt2a/LOC121909650/jph2/LOC121888350/zgc:92429/gpd1b/LOC121911401/bag3/bag2/ryr1b/LOC121908475/mybpha/LOC121884341/fbxl22/LOC121896749/LOC121895055/igfn1.4/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/sync/LOC121889326/nuak2/neb/cmya5/LOC121885296/hspb1/LOC121884700/clic4/LOC121897830/LOC121894730/ilk/LOC121904032/LOC121906032/calm2a/LOC121880591/LOC121899381/trip6/parvaa/LOC121912923/LOC121900514/myom3/syne2b/LOC121898476/fermt2/LOC121910053/fxr1/pgm1/trim63b/tnnc1a/mbnl2/tln2b/LOC121891066/pgk1/LOC121906787/ank1a/trim9/LOC121896724/slc2a1b/LOC121908042/scn3b/lman1/lasp1/LOC121899094/dst/gapdhs/obscna/calm3a/LOC121913929/LOC121894574/sqstm1/LOC121909093/hdac4/svila/scn1laa/capn2b/LOC121896922/fhod3b/smpx/clic5a/LOC121891793/myh11a/LOC121889603/LOC121882695/LOC121880812/adra1ab/LOC121886477/sdc4/clic2/myh7l/sgcd/LOC121883377/capn1/LOC121886466/cspg4ba/psen2/kcnk3a/kcnma1a/LOC121896866/LOC121914078/homer1b/myh6/ankhd1/abrab/mybpc1/syne1b/tpi1b/LOC121881883/LOC121894656/abcc9/ryr3/LOC121884874/mybpc2a/slc8a1b/psma6a/mtm1/fbxo32/LOC121898858/LOC121907980/LOC121882009/anxa5b/jupa/ctnnb1/LOC121897777"
"4","sarcomere","Cellular Component",1.84407451839548,4.94422355231604e-30,1.10342709128813e-26,9.37580918894458e-27,"GO:0030017","227/4959","354/14261",227,"atp2a1/actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/LOC121895409/LOC121883517/gapdh/acta2/tpm4a/cavin4a/casq2/nuak1b/myom2a/txlnba/unc45b/tnnt2d/atp2a1l/desma/mybpc3/LOC121883529/acta1b/LOC121883527/LOC121883403/myom2b/LOC121892381/LOC121883514/cavin4b/LOC121896926/itgb3a/LOC121894285/LOC121880795/igfn1.1/LOC121893745/hsp90aa1.1/LOC121887939/LOC121898608/LOC121893746/pdlim5a/LOC121910885/myoz2b/mybpc2b/LOC121887586/actn3b/flna/casq1b/LOC121886861/LOC121883509/LOC121887522/itgav/itga5/LOC121883513/LOC121895500/LOC121884030/pygmb/aldoab/LOC121887940/LOC121912256/tnnt3a/tpm3/ak1/klhl41a/tpm2/itga8/LOC121887076/mybphb/myl1/LOC121883532/LOC121883559/LOC121901160/LOC121902029/LOC121883515/LOC121884840/cspg4/tnnt2e/dmd/mmp2/lmod3/mypn/myh7ba/tmod4/LOC121883510/fhod3a/actn2b/LOC121906789/LOC121889157/LOC121909443/LOC121912146/LOC121883528/LOC121895662/LOC121908668/nexn/itgb1a/myot/LOC121908040/LOC121887276/LOC121884663/LOC121911171/LOC121883511/LOC121911364/LOC121908041/LOC121906924/LOC121883530/capn3b/LOC121911191/LOC121894571/pgm5/LOC121907520/myom1b/LOC121893985/klhl40b/tmod1/LOC121911365/itgb3b/lrpprc/pak1/tnnt2a/LOC121909650/jph2/LOC121888350/zgc:92429/gpd1b/LOC121911401/bag3/bag2/ryr1b/mybpha/LOC121884341/fbxl22/LOC121896749/LOC121895055/igfn1.4/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/sync/LOC121889326/nuak2/neb/cmya5/LOC121885296/hspb1/LOC121884700/LOC121897830/LOC121894730/LOC121904032/LOC121906032/calm2a/LOC121880591/trip6/parvaa/LOC121912923/LOC121900514/myom3/syne2b/LOC121898476/fermt2/LOC121910053/pgm1/trim63b/tnnc1a/mbnl2/tln2b/LOC121891066/pgk1/LOC121906787/ank1a/LOC121896724/slc2a1b/LOC121908042/scn3b/lman1/lasp1/LOC121899094/dst/gapdhs/obscna/calm3a/LOC121913929/LOC121894574/sqstm1/LOC121909093/hdac4/scn1laa/capn2b/LOC121896922/fhod3b/smpx/LOC121891793/myh11a/adra1ab/LOC121886477/myh7l/LOC121883377/capn1/LOC121886466/cspg4ba/psen2/kcnma1a/LOC121914078/homer1b/myh6/ankhd1/abrab/mybpc1/syne1b/tpi1b/LOC121894656/abcc9/ryr3/LOC121884874/mybpc2a/slc8a1b/psma6a/mtm1/fbxo32/LOC121898858/LOC121907980/LOC121882009/anxa5b/jupa/ctnnb1/LOC121897777"
"5","myofibril assembly","Biological Process",1.96511729515359,3.01922261112088e-20,5.39052004989522e-17,4.58031960752359e-17,"GO:0030239","123/4959","180/14261",123,"actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/acta2/cavin4a/casq2/nuak1b/myom2a/unc45b/pdgfra/tnnt2d/mybpc3/acta1b/LOC121883403/myom2b/LOC121892381/cavin4b/LOC121896926/itgb3a/dtna/LOC121880795/mef2aa/hsp90aa1.1/LOC121887939/myoz2b/mybpc2b/casq1b/six4a/LOC121887522/itgav/itga5/LOC121887940/tnnt3a/klhl41a/itga8/mybphb/LOC121883559/snta1/dusp27/cspg4/tnnt2e/lmod3/mypn/myh7ba/tmod4/fhod3a/actn2b/LOC121889157/LOC121895662/LOC121908668/itgb1a/LOC121908040/LOC121884663/LOC121911364/LOC121908041/wdr1/unc45a/hspg2/capn3b/LOC121911191/LOC121907520/myom1b/tmod1/LOC121911365/itgb3b/tnnt2a/LOC121910427/mybpha/LOC121896749/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/nuak2/srfb/LOC121895667/LOC121897830/LOC121894730/LOC121906032/LOC121900514/qkia/myom3/bves/LOC121898476/LOC121895127/LOC121895480/tln2b/LOC121896724/LOC121908543/LOC121908042/lasp1/obscna/rhoab/LOC121896897/qki2/fhod3b/myh11a/LOC121886477/myh7l/sgcd/LOC121883377/LOC121886466/cspg4ba/neurl2/kcnma1a/lrrc39/myh6/flii/ankhd1/mybpc1/katnal1/pdgfrb/foxp1b/LOC121895481/LOC121894656/LOC121884874/LOC121894458/mybpc2a/prkar1aa"
"6","I band","Cellular Component",1.81213622940993,9.39391656942318e-18,1.39765822025401e-14,1.18758882103971e-14,"GO:0031674","138/4959","219/14261",138,"atp2a1/actn1/csrp1b/myl9b/LOC121895409/gapdh/cavin4a/casq2/myom2a/unc45b/atp2a1l/desma/mybpc3/LOC121883403/myom2b/cavin4b/LOC121880795/igfn1.1/hsp90aa1.1/LOC121887939/LOC121898608/pdlim5a/LOC121910885/myoz2b/mybpc2b/actn3b/flna/casq1b/LOC121886861/LOC121887522/LOC121895500/pygmb/aldoab/LOC121887940/LOC121887076/mybphb/LOC121883559/LOC121902029/LOC121884840/cspg4/dmd/mypn/myh7ba/fhod3a/actn2b/LOC121889157/LOC121909443/LOC121912146/LOC121895662/nexn/myot/LOC121908040/LOC121887276/LOC121884663/LOC121911171/LOC121911364/LOC121908041/capn3b/LOC121911191/LOC121894571/pgm5/LOC121907520/myom1b/LOC121893985/klhl40b/LOC121911365/lrpprc/pak1/LOC121909650/jph2/LOC121888350/zgc:92429/gpd1b/LOC121911401/bag3/ryr1b/mybpha/LOC121884341/fbxl22/igfn1.4/LOC121907573/myoz1a/sync/LOC121889326/neb/hspb1/LOC121894730/LOC121906032/LOC121880591/parvaa/LOC121912923/LOC121900514/myom3/syne2b/fermt2/pgm1/trim63b/mbnl2/LOC121891066/pgk1/ank1a/LOC121896724/slc2a1b/LOC121908042/scn3b/lasp1/LOC121899094/dst/gapdhs/obscna/LOC121894574/LOC121909093/hdac4/scn1laa/fhod3b/LOC121891793/myh11a/adra1ab/myh7l/LOC121883377/cspg4ba/psen2/homer1b/myh6/ankhd1/mybpc1/tpi1b/LOC121894656/ryr3/LOC121884874/mybpc2a/slc8a1b/mtm1/fbxo32/LOC121907980/anxa5b/jupa/ctnnb1"
"7","myosin II complex","Cellular Component",2.60448127475488,2.99153492773895e-17,3.57893382230195e-14,3.04101656400251e-14,"GO:0016460","48/4959","53/14261",48,"myl9b/LOC121883517/zgc:153867/mylpfb/myom2a/mybpc3/LOC121883529/LOC121883527/LOC121883403/myom2b/LOC121883514/LOC121894285/LOC121893745/LOC121887939/LOC121893746/mybpc2b/LOC121883509/LOC121883513/LOC121884030/LOC121887940/mybphb/myl1/LOC121883532/LOC121883559/LOC121883515/myh7ba/LOC121883510/LOC121883528/LOC121908040/LOC121883511/LOC121908041/LOC121883530/LOC121907520/myom1b/mybpha/LOC121907573/LOC121884700/LOC121906032/myom3/LOC121896724/LOC121908042/obscna/myh11a/myh7l/LOC121883377/myh6/mybpc1/mybpc2a"
"8","muscle cell development","Biological Process",1.63842738946004,3.20728918767958e-17,3.57893382230195e-14,3.04101656400251e-14,"GO:0055001","192/4959","337/14261",192,"actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/lamb1b/acta2/cavin4a/casq2/nuak1b/myom2a/unc45b/pdgfra/tnnt2d/mybpc3/acta1b/cav3/LOC121883403/rbfox1l/myom2b/LOC121892381/smad6b/cavin4b/LOC121896926/itgb3a/dtna/LOC121880795/chrnb1/mef2aa/hsp90aa1.1/LOC121887939/pdlim5a/myoz2b/mybpc2b/casq1b/six4a/LOC121887522/itgav/itga5/wnt10b/LOC121894507/LOC121912251/LOC121895500/LOC121887940/tnnt3a/klhl41a/tead1b/LOC121890607/itga8/mybphb/LOC121883559/vegfab/snta1/ccnb1/dusp27/cspg4/nfatc2a/tnnt2e/dmd/lmod3/mypn/myh7ba/tmod4/fhod3a/actn2b/popdc2/LOC121889157/LOC121894409/LOC121895662/LOC121908668/spegb/nexn/LOC121896914/itgb1a/lef1/LOC121908040/LOC121884663/megf10/LOC121911364/alpk3a/LOC121908041/wdr1/unc45a/hspg2/capn3b/LOC121911191/LOC121907520/myom1b/met/klhl40b/LOC121896089/tmod1/LOC121911365/itgb3b/LOC121898091/tnnt2a/LOC121909650/adss1/LOC121888971/ryr1b/LOC121910427/LOC121903818/mybpha/uchl1/LOC121896749/LOC121895103/LOC121907573/cdk1/ramp2/lmod2b/tln1/myoz1a/LOC121889326/nuak2/srfb/LOC121895667/myog/LOC121897830/LOC121894730/dner/LOC121906032/LOC121880591/parvaa/LOC121900514/qkia/myom3/bves/LOC121898476/LOC121895127/LOC121903708/LOC121895480/notch1a/her6/camk2d1/tln2b/LOC121896724/matk/LOC121908543/LOC121908042/rac3b/lamb2/lamb1a/lasp1/obscna/rhoab/LOC121896897/qki2/adma/b3galnt2/fhod3b/LOC121904367/myh11a/adra1ab/cav1/LOC121886477/myh7l/sgcd/LOC121883377/afg3l2/vegfaa/LOC121886466/cspg4ba/neurl2/chrnb1l/kcnma1a/LOC121896866/homer1b/nfatc4/tmtc3/nfatc3a/pomgnt2/lrrc39/myh6/flii/ankhd1/mybpc1/katnal1/pdgfrb/foxp1b/LOC121895481/LOC121894656/LOC121884874/meox1/LOC121894458/gmppb/mybpc2a/slc8a1b/kdm1a/hnrnpub/tead3b/prkar1aa"
"9","actomyosin structure organization","Biological Process",1.71481780227495,3.79498551169893e-17,3.76420396254848e-14,3.19844042073713e-14,"GO:0031032","161/4959","270/14261",161,"actb1/actn1/csrp1b/lmod1b/itgb2/myl9b/acta2/cavin4a/casq2/nuak1b/myom2a/unc45b/pdgfra/tnnt2d/mybpc3/acta1b/zyx/LOC121883403/myom2b/LOC121892381/cavin4b/LOC121896926/itgb3a/dtna/LOC121880795/mef2aa/hsp90aa1.1/LOC121887939/myoz2b/mybpc2b/casq1b/six4a/LOC121887522/itgav/LOC121912730/itga5/LOC121887940/tnnt3a/klhl41a/itga8/mybphb/LOC121883559/snta1/dusp27/cspg4/tnnt2e/lmod3/mypn/myh7ba/tmod4/fhod3a/actn2b/LOC121889157/LOC121895662/LOC121908668/itgb1a/LOC121908040/LOC121884663/LOC121911364/LOC121908041/wdr1/unc45a/hspg2/capn3b/LOC121911191/LOC121907520/myom1b/kif23/tmod1/LOC121911365/wasf3b/itgb3b/tnnt2a/anln/plk1/LOC121910427/mybpha/LOC121897209/LOC121896749/LOC121895103/LOC121907573/lmod2b/tln1/myoz1a/nuak2/srfb/LOC121895667/prc1b/LOC121897830/LOC121894730/shcbp1/LOC121906032/LOC121896107/LOC121900514/qkia/myom3/bves/LOC121898476/LOC121895127/LOC121910053/LOC121900032/LOC121895480/racgap1/LOC121909861/ect2/LOC121894273/tln2b/elna/LOC121896724/LOC121908543/LOC121908042/LOC121897678/LOC121900198/cita/lasp1/obscna/rhoab/LOC121896897/qki2/dnm3b/epb41l3a/LOC121913334/epb41l5/fhod3b/rock1/myh11a/LOC121893952/LOC121886477/myh7l/sgcd/LOC121883377/epb41l2/LOC121912390/LOC121886466/cspg4ba/lurap1/LOC121912416/neurl2/kcnma1a/wasf1/lrrc39/myh6/flii/ankhd1/rab11fip4b/mybpc1/katnal1/pdgfrb/foxp1b/LOC121895481/LOC121913092/LOC121894656/LOC121896989/LOC121884874/wasf2/LOC121894458/LOC121886003/mybpc2a/src/LOC121898858/prkar1aa"
"10","muscle filament sliding","Biological Process",2.46495549217872,7.98043759525977e-17,7.12413664128839e-14,6.0533719275202e-14,"GO:0030049","54/4959","63/14261",54,"LOC121883517/tpm4a/zgc:153867/desma/mybpc3/LOC121883529/acta1b/LOC121883527/LOC121883514/LOC121894285/LOC121880795/LOC121893745/LOC121887939/LOC121893746/mybpc2b/actn3b/LOC121883509/LOC121883513/LOC121884030/LOC121887940/tnnt3a/tpm3/tpm2/myl1/LOC121883532/LOC121883515/dmd/LOC121883510/actn2b/LOC121883528/LOC121908040/LOC121884663/LOC121883511/LOC121908041/LOC121883530/LOC121907520/tmod1/tnnt2a/LOC121896749/LOC121895055/LOC121895103/LOC121907573/LOC121909171/neb/LOC121884700/LOC121897830/LOC121898476/tnnc1a/LOC121896724/LOC121908042/myh7l/LOC121883377/mybpc1/mybpc2a"
