"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","LOC121912895",-3.46131750893957,-3.68998968691319,-3.23264533096595,5.64862556004913,-30.9993327212756,2.7076021213645e-23,5.33993290375506e-19,42.407275485893,"tubulin beta chain-like",1
"2","gapdh",3.1689002030437,2.95070736775672,3.38709303833068,6.90067089897593,29.7435163839548,8.38253065021469e-23,8.26601347417671e-19,42.1715406482625,"glyceraldehyde-3-phosphate dehydrogenase",2
"3","timp2a",-2.15203111639797,-2.31562767096129,-1.98843456183465,7.14075668374139,-26.9400643055992,1.23926738028301e-21,8.14694375798048e-18,39.3672822204535,"TIMP metallopeptidase inhibitor 2a",3
"4","LOC121885590",-1.66206882823117,-1.79227146430566,-1.53186619215667,7.75300619529024,-26.1428819543345,2.79592225494806e-21,1.37852946780214e-17,38.6844084266621,"betaine--homocysteine S-methyltransferase 1-like",4
"5","s100a10a",-1.60423303341849,-1.73542925502775,-1.47303681180922,8.5460733008832,-25.0420778618314,8.93677103381316e-21,2.6828248696259e-17,37.5182291710912,"S100 calcium binding protein A10a",5
"6","tagln",-1.85574410359968,-2.00786683049452,-1.70362137670483,9.54758791004934,-24.9832090471198,9.52224626679917e-21,2.6828248696259e-17,37.4677519605404,"transgelin",6
"7","LOC121904287",3.2067087141712,2.94394992296112,3.46946750538128,4.62290609669395,24.9934662597416,9.41745013591058e-21,2.6828248696259e-17,37.0748402542599,"uncharacterized LOC121904287",7
"8","anxa13l",-2.09935388916604,-2.27819812724725,-1.92050965108483,7.84567813901301,-24.0400261435827,2.68273147216692e-20,6.42877681720407e-17,36.4173191990522,"annexin A13, like",8
"9","fbln1",2.30665403127085,2.10949459377504,2.50381346876666,7.59862388933903,23.9601275018688,2.93372839239614e-20,6.42877681720407e-17,36.2340775324631,"fibulin 1",9
"10","LOC121912195",-2.59050832248645,-2.81288457325101,-2.36813207172188,5.58612743501043,-23.857274223586,3.29303118489453e-20,6.49451610284899e-17,36.103489985072,"collagen alpha-1(XVII) chain-like",10
"11","adam8a",-2.67235616488629,-2.90866770778192,-2.43604462199066,7.58690443873682,-23.1597377875512,7.29720913299062e-20,1.10704275785262e-16,35.3420480440629,"ADAM metallopeptidase domain 8a",11
"12","lamb1b",2.83766913456675,2.58798361437732,3.08735465475618,4.98146575814281,23.2751577653213,6.38751766265829e-20,1.10704275785262e-16,35.2402466927723,"laminin, beta 1b",12
"13","adam19a",-1.64333284566892,-1.79034118840877,-1.49632450292907,7.95040890205014,-22.8932677915732,9.94620254828512e-20,1.30772671104853e-16,35.118214173102,"ADAM metallopeptidase domain 19a",13
"14","LOC121910885",3.39018596336443,3.08851532720689,3.69185659952198,2.8998704237591,23.0151980655292,8.6285670301482e-20,1.21551856406131e-16,35.0530544174419,"glycogen phosphorylase, muscle form-like",14
"15","LOC121887134",2.22938124598154,2.01816324521037,2.44059924675271,4.31938692612882,21.6161154030351,4.59733300692877e-19,5.3725976134272e-16,33.5946596817652,"thrombospondin-2-like",15
"16","atp2a1",1.72804413108146,1.5642792095198,1.89180905264313,6.33428795712642,21.610169947287,4.63107998317931e-19,5.3725976134272e-16,33.5534044983987,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",16
"17","LOC121888432",-2.2649248954263,-2.48185346880811,-2.0479963220445,7.33149323932885,-21.3826378113222,6.13518699296221e-19,6.72211988195559e-16,33.3156820357912,"collagen alpha-1(XVIII) chain-like",17
"18","myl13",-1.82350886909666,-2.00217731025053,-1.64484042794279,6.29763819790784,-20.9018278305114,1.12145026556718e-18,1.16406537565873e-15,32.6895196429316,"myosin, light chain 13",18
"19","LOC121890410",5.26734391725146,4.80186331560377,5.73282451889914,4.82763969160415,23.1747107792755,7.17200742684106e-20,1.10704275785262e-16,32.471566436135,"23 kDa integral membrane protein-like",19
"20","myom2a",1.76949996215255,1.59385935213542,1.94514057216969,6.22102177023459,20.632405058476,1.58089506332252e-18,1.55892062194234e-15,32.354293614899,"myomesin 2a",20
"21","dbn1",-1.5022114776305,-1.6526661588532,-1.3517567964078,8.28485430410893,-20.447942040216,2.00444334860351e-18,1.88245865338849e-15,32.1341833633562,"drebrin 1",21
"22","LOC121889464",-2.52767913465262,-2.78342342981139,-2.27193483949384,4.29789365278081,-20.2413848938446,2.62063270613011e-18,2.34927810137718e-15,31.5562416062507,"eukaryotic translation initiation factor 5A-1",22
"23","fhl3b",-2.48268469401997,-2.73431874840648,-2.23105063963346,6.06462630257629,-20.2058156393078,2.7450954758785e-18,2.35385969457721e-15,31.4234679124176,"four and a half LIM domains 3b",23
"24","LOC121884171",2.40933286144525,2.15686606463098,2.66179965825951,1.48571854092977,19.5441491652616,6.59446030662791e-18,5.32103647318083e-15,30.9320467393825,"60S ribosomal protein L3-like",24
"25","adam8b",-1.68393346897091,-1.86061078971435,-1.50725614822746,6.96925085384518,-19.5194851564144,6.81683466417161e-18,5.32103647318083e-15,30.9064315724326,"ADAM metallopeptidase domain 8b",25
"26","afap1",-1.84395498247318,-2.03763274389404,-1.65027722105232,6.06065925869471,-19.4982121692055,7.01485388412441e-18,5.32103647318083e-15,30.8597776672766,"actin filament associated protein 1",26
"27","c1qtnf5",-1.85198268258629,-2.04752361614179,-1.65644174903078,6.00144540359658,-19.3965045019119,8.04708173897798e-18,5.66801950200442e-15,30.7473152757587,"C1q and TNF related 5",27
"28","plpp2b",-2.01072998728227,-2.22253676853796,-1.79892320602657,4.83233185191799,-19.4418742083712,7.56850091385661e-18,5.52836944529926e-15,30.7235505389282,"phospholipid phosphatase 2b",28
"29","zgc:153867",-1.38560872926169,-1.5326619138738,-1.23855554464958,8.68593683583001,-19.2970272909346,9.20901389984094e-18,5.91701909377727e-15,30.6100834802005,"uncharacterized LOC121895796",29
"30","cotl1",-2.37362865369024,-2.62469840424691,-2.12255890313358,5.69159784454038,-19.3616613338075,8.43578147653001e-18,5.73691318207327e-15,30.5323900195713,"coactosin-like F-actin binding protein 1",30
"31","LOC121900138",-2.3574640223232,-2.60775368354033,-2.10717436110608,5.17821102433983,-19.2897410495457,9.30065875200768e-18,5.91701909377727e-15,30.5050095866376,"adhesion G-protein coupled receptor D2",31
"32","pfkma",1.93639445338029,1.72701287293862,2.14577603382196,4.50603235516743,18.9399832602386,1.50182591396937e-17,8.97545778039511e-15,30.1294048572185,"phosphofructokinase, muscle a",32
"33","LOC121913571",1.92954861119405,1.72126594756463,2.13783127482348,6.50403378558649,18.9725993488768,1.43573303866653e-17,8.84860218393163e-15,30.0954579070128,"glyceraldehyde-3-phosphate dehydrogenase",33
"34","LOC121914036",-1.0843854139947,-1.20264828180791,-0.9661225461815,9.71458399084192,-18.7784393369524,1.8786969124759e-17,1.08975472081911e-14,29.8191625990147,"14-3-3 protein beta/alpha-1-like",34
"35","si:ch211-156j16.1",-1.16748493696255,-1.29539274302009,-1.03957713090501,9.2350925971043,-18.6929769583688,2.11635795214344e-17,1.1925374723478e-14,29.7391892564864,"uncharacterized LOC121894993",35
"36","LOC121884840",-1.34809570517315,-1.49608987704918,-1.20010153329711,8.34873729206163,-18.6552187821302,2.23105145808033e-17,1.21900362079164e-14,29.7269958386548,"fructose-bisphosphate aldolase A-like",36
"37","LOC121899156",2.80568977343792,2.49738849157114,3.11399105530471,4.64037679536913,18.6375384818911,2.28694523726249e-17,1.21900362079164e-14,29.6718614912285,"alpha-2-macroglobulin",37
"38","fn1b",-2.87951095080867,-3.19824236027674,-2.56077954134059,5.61278389839698,-18.5019756773543,2.76657460043869e-17,1.39903549409877e-14,29.5082340190456,"fibronectin 1b",38
"39","unc5db",-1.72382676811206,-1.91458015005078,-1.53307338617333,5.45721320722817,-18.50740838681,2.74548302287479e-17,1.39903549409877e-14,29.4507366462607,"unc-5 netrin receptor Db",39
"40","itgb2",-1.9883820496402,-2.20941488039393,-1.76734921888648,6.15475057814971,-18.42329399689,3.09151852770527e-17,1.52427321008508e-14,29.2978031364965,"integrin, beta 2",40
"41","myl9b",-1.05968885731393,-1.17795057309849,-0.941427141529363,9.51807576613907,-18.3509447031945,3.42511341183486e-17,1.64756309044408e-14,29.2427843939706,"myosin, light chain 9b, regulatory",41
"42","numbl",1.97334579559284,1.75266650147702,2.19402508970865,3.47551753705097,18.3132676641637,3.61334839344305e-17,1.69672516703533e-14,29.1985321902762,"NUMB like endocytic adaptor protein",42
"43","serpinf1",2.43539400453004,2.16187177740999,2.7089162316501,4.97810768079311,18.2347932271072,4.04049618709388e-17,1.85317827446199e-14,29.1408312469258,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",43
"44","abracl",-1.9907740715175,-2.21755653915357,-1.76399160388144,8.1575298898958,-17.9778078206241,5.84241654332001e-17,2.50487258842081e-14,28.7678875834322,"ABRA C-terminal like",44
"45","nanos1",2.21801418588485,1.9666202845043,2.4694080872654,4.86035332845286,18.0689874429744,5.12326742136533e-17,2.29638818373107e-14,28.6853919251505,"nanos homolog 1",45
"46","nt5c1aa",1.76406323196271,1.56173885077497,1.96638761315044,2.39005141047395,17.85624605669,6.96671248085531e-17,2.92335113930699e-14,28.5670654216411,"5'-nucleotidase, cytosolic IAa",46
"47","ccdc80",-1.57857714982774,-1.76007372753981,-1.39708057211567,7.83394091893501,-17.8123658288721,7.42551733754036e-17,3.0509594360619e-14,28.5455058107274,"coiled-coil domain containing 80",47
