"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko03009  Ribosome biogenesis",1.45466019742346,1.65430372091091e-06,5.2937719069149e-05,4.0051563769422e-05,"ko03009","117/5375","278/18578",117,"hsc70/LOC121911690/gtpbp4/hspa8b/nol6/LOC121907208/noc4l/heatr1/abce1/tbl3/LOC121897932/bmt2/LOC121891944/pum3/dhx37/rbm19/nop58/tmed1b/nsun5/ipo7/pak1ip1/noa1/nop14/utp15/pes/wdr75/pwp2h/nsa2/gnl2/wdr43/ddx56/nop2/dnajc21/ighmbp2/sdad1/nat10/wdr36/ddx24/grwd1/gnl3/pa2g4a/noc2l/dhx15/nvl/atp11b/pdcd11/tmed5/rrp12/utp4/mtrex/ddx51/dusp6/ipo9/LOC121883940/slit1a/LOC121908985/tsr2/noc3l/ddx54/isg20/atp8a1/urb2/dkc1/ddx21/nip7/msl1b/utp20/kri1/imp4/dimt1l/kpnb3/rpp40/tex10/rpf2/LOC121888546/imp3/pwp1/sox7/bysl/spata5/atp8b1/rrp1/wdr3/dhx33/LOC121909392/utp6/ltv1/rpf1/ddx18/dcaf13/rpp30/LOC121904493/gnl3l/znf622/nol10/bop1/senp3b/brd4/cebpz/pno1/ddx31/idh3g/shq1/pop4/rbm34/bxdc2/nop10/eral1/ddx27/mrm1/eif3jb/mrto4/riox2/tmed7/nxf1a/LOC121887059/LOC121910100"
"2","ko04031  GTP-binding proteins",1.40159970701337,4.3268533290688e-05,0.000692296532651008,0.000523776981939908,"ko04031","103/5375","254/18578",103,"rab34a/gng12a/LOC121897560/rab31/LOC121899416/gnai3/gnai1/rab1ba/rhoab/LOC121882938/LOC121891971/LOC121914132/LOC121894458/rnd3a/rhobtb4/LOC121890872/rab41/ralba/LOC121895480/arhgef7a/arhgef6/LOC121895366/rab18a/sar1b/LOC121900713/rem1/LOC121895127/LOC121890414/LOC121891786/LOC121900032/rhogb/LOC121883468/ralaa/arl4ab/LOC121886956/rab2a/LOC121897444/arf1/rras/LOC121898386/srprb/rab32a/LOC121900198/rac3b/arf2b/LOC121899951/rab5c/rab14l/rab13/arf3a/arl2/LOC121895481/gnai2b/LOC121885318/hrasb/arid4b/rras2/LOC121899020/sar1ab/rab4b/LOC121883841/rab1aa/rab3db/gnb2/arf6a/rac1a/gng12b/rab38c/rab38a/gng13b/rasd1/LOC121884808/rab4a/rrad/rab35b/LOC121898440/LOC121900072/LOC121901074/cdc42l/LOC121885628/gnb1b/LOC121907401/rab30/mrasa/LOC121903653/gna12a/gnat2/LOC121900200/kras/gng7/LOC121884852/rab23/LOC121908580/rap1aa/rhot1a/arl5a/LOC121909227/rab5ab/rab7a/arl8bb/LOC121903413/LOC121893812/rab24"
"3","ko00535  Proteoglycans",1.62150789549239,0.000449637487585731,0.00369136408652638,0.00279280835493773,"ko00535","38/5375","81/18578",38,"LOC121888432/LOC121885527/gpc4/col12a1a/p3h2/gpc5a/ecm2/aplp2/tgfbr3/cspg4/LOC121906205/acanb/gpc5c/cd44b/sdc4/sdc2/gpc1b/p3h3/aspn/appa/LOC121894315/aplp1/optc/p3h1/hspg2/LOC121900512/LOC121890299/LOC121882468/LOC121907218/lum/col18a1a/LOC121909394/gpc6a/col15a1b/spock1/LOC121912973/LOC121881182/agrn"
"4","ko00536  Glycosaminoglycan binding proteins",1.34571864277545,0.000461420510815798,0.00369136408652638,0.00279280835493773,"ko00536","95/5375","244/18578",95,"LOC121887134/LOC121888432/fn1b/LOC121909108/LOC121885527/plat/slit3/wnt10b/fgf13a/ntn1b/fgfr1a/thbs4b/LOC121881170/ntn2/cemip2/nbl1/serpine1/LOC121904301/hbegfa/fn1a/thbs1b/wnt1/aplp2/wnt7bb/fgf5/col11a2/acanb/col6a2/LOC121885954/LOC121905978/tgfb1a/col5a1/LOC121880806/cd44b/thbs3a/LOC121901059/LOC121900435/bmp7b/thbs2a/col23a1a/serpine2/fgf10a/plaub/LOC121882333/hyal2b/appa/bmp6/tfpia/LOC121904146/col13a1/il10/LOC121906878/efna1b/col6a1/LOC121885542/LOC121907144/ncam1b/LOC121884961/hpse/slc8a1b/LOC121913690/col11a1a/tnfb/bmp5/fgfr4/tnn/fgfr2/fgf7/wnt9a/wnt7aa/slit1a/col6a3/LOC121907218/hpxb/col18a1a/LOC121909394/LOC121884320/col15a1b/bmp2b/LOC121905979/bmp16/f2/LOC121901374/LOC121896717/tnfaip6/LOC121905371/efna5b/LOC121882797/LOC121896791/LOC121885528/nrg2a/col22a1/LOC121906879/tgfb2/zpr1"
"5","ko03051  Proteasome",1.4813023255814,0.00440588036828996,0.0234980286308798,0.017778113766784,"ko03051","36/5375","84/18578",36,"hsc70/LOC121899173/hspa8b/hsp90aa1.1/psme2/psmd2/psmb10/psmb6/psmd8/psma6a/psmd1/LOC121884750/psma3/psmb8a/psma2a/rad23ab/ubqln4/psmb2/psma1/psme3/LOC121904510/LOC121913823/LOC121882939/psma8/pno1/psmb1/LOC121913824/psme1/LOC121882007/psmd6/LOC121908096/LOC121883473/hsp90aa1.2/psmb3/hsp90ab1/LOC121910100"
"6","ko03110  Chaperones and folding catalysts",1.26055923392613,0.00528785986846306,0.0241730736844026,0.0182888386428046,"ko03110","93/5375","255/18578",93,"hsc70/clu/serpinh1b/hspa5/p3h2/p4hb/htra3b/hexb/serpinh2/LOC121903668/dnajc10/txn/nagk/dnajc3b/serpinh1a/fkbp7/fkbp9/hyou1/hspa8b/tgfb1a/LOC121913803/dnajb5/hsp90aa1.1/hspa13/unc45b/cct2/fkbp15b/txndc5/dnajb2/unc45a/LOC121909369/p3h3/glrx/dnajb11/LOC121895647/LOC121882333/pdia6/fkbp10b/pcsk9/pdia5/trap1/canx/arf3a/ctsa/inhbb/fkbp10a/dnajc21/LOC121884961/fkbp14/p3h1/hspa4l/ctss2.1/hspb6/bag3/stip1/pin1/ppiaa/st13/fkbp4/LOC121909298/pcsk7/ctsc/dnajc1/fkbp2/dnajb9a/dnajc16l/LOC121912973/grpel1/dnajc7/pcsk2/hsp90b1/LOC121890907/pfdn2/fkbp8/dnaja3a/bag4/ppib/dnajb14/pdia4/dnaja2a/dnajc5ab/spg7/afg3l2/LOC121907980/dnajc9/snrpa1/hsp90aa1.2/bag1/LOC121912182/clpxb/hsp90ab1/LOC121910100/cct7"
"7","ko01007  Amino acid related enzymes",1.4960416522041,0.00847226354409164,0.0338890541763665,0.0256397449360668,"ko01007","29/5375","67/18578",29,"tat/bcat2/LOC121895901/LOC121887888/sptlc1/si:ch211-217a12.1/got2b/LOC121905953/gcat/sptlc2b/LOC121912900/tars2/madd/got1/yars1/aars1/dars2/kars1/vars2/psat1/dars1/oat/LOC121885474/alas1/hars/LOC121880601/qars1/vars1/ears2"
"8","ko01003  Glycosyltransferases",1.23123984429584,0.0153648072059639,0.0546304256212048,0.04133222991078,"ko01003","83/5375","233/18578",83,"plod3/LOC121887782/LOC121881793/eogt/gys1/stt3a/plod2/b3gat3/chpfa/b4galt1l/chsy1/LOC121897083/has2/b3gnt5a/ugcg/LOC121894669/LOC121906919/chst7/cercam/mpdu1b/st8sia6/gal3st2/st3gal4/pofut1/LOC121901197/galnt2/cnn3a/LOC121901253/chst11/galnt12/LOC121887271/csgalnact2/mgat5/ext2/galnt14/mgat3b/LOC121882348/mgat1b/fam3a/uggt2/lfng/poc1bl/b3gnt5b/st3gal3b/galnt7/LOC121884996/zgc:101663/colgalt1a/alg6/xylt1/ndst2a/LOC121912345/mgat1a/mgat4b/LOC121896625/has1/dpagt1/galnt1/gal3st4/chst2b/chsy3/LOC121901260/alg13/b3gnt2b/gal3st3/alg5/mfng/LOC121912899/pomt1/c1galt1b/colgalt2b/st3gal2/b4galt4/LOC121901427/LOC121892290/hnrnpk/large1/chst3a/c1galt1c1/mgat4a/uggt1/poglut1/alg3"
"9","ko04052  Cytokines and growth factors",1.19543696450428,0.0904671086979225,0.263177043484866,0.199114210531313,"ko04052","46/5375","133/18578",46,"fgf13a/tgfb3/cxcl18b/lepa/vegfc/fgf5/tnfsf10l/il11a/tgfb1a/bmp7b/fgf10a/LOC121882333/tnfsf11/bmp6/eda/LOC121884629/LOC121904146/il10/efna1b/LOC121885542/angpt1/inhbb/pdgfd/tnfb/gdf10a/bmp5/fgf7/igf1/kitlga/ccl44/bmp2b/bmp16/mstnb/LOC121881185/gdf2/LOC121891770/LOC121896717/faslg/LOC121885905/efna5b/nrg2a/bmp8a/bdnf/efnb1/pdgfc/tgfb2"
"10","ko03029  Mitochondrial biogenesis",1.0834543867755,0.137045135062012,0.365453693498699,0.276494570739148,"ko03029","142/5375","453/18578",142,"hsc70/acta2/actb2/actb1/acta1a/LOC121880795/cpt1b/ryr3/pld7/atg4c/LOC121890155/dhtkd1/hspa8b/samm50l/tfam/vdac1/hsp90aa1.1/LOC121882331/vdac3/chchd3a/LOC121881047/cpt1a2b/LOC121887888/slc25a4/pprc1/isca1/sh3glb1a/pink1/immt/LOC121907258/cpt1ab/tfb2m/acta1b/LOC121912908/atg4b/snx25/birc2/tamm41/LOC121911428/si:dkey-251i10.1/noa1/iscu/LOC121885294/ccnl1a/ryr1b/wipi1/LOC121881346/LOC121884961/vdac2/mtif2/zgc:153993/actc1a/tomm34/lrpprc/LOC121897193/supv3l1/nbr1b/qrsl1/LOC121886877/LOC121881527/LOC121903406/agfg1a/tufm/yars1/LOC121886398/afg1lb/polg/LOC121894829/calcoco2/ND6/letm2/pld3/dars2/tmem126a/ND1/nbr1a/zgc:112271/nedd4a/mcur1/slc25a5/fis1/mrpl32/si:dkey-19e4.5/crtc1a/znf106a/LOC121904289/LOC121911701/rpp40/mterf3/grpel1/ndufaf3/LOC121887599/LOC121908153/ptcd3/ptcd1/mtfp1/nfs1/atg14/lrrfip1a/dnaja3a/map1lc3b/dap3/map1lc3c/mterf4/rpp30/timm8a/dnaja2a/gabpb2a/cmc2/atp23/twnk/LOC121901837/LOC121885235/LOC121899138/iba57/rhot1a/LOC121906740/LOC121892168/nfe2l1b/pop4/sdhaf2/mtch2/eral1/LOC121885842/eif4g2a/timm23a/LOC121891824/fastkd2/si:ch211-11n16.2/dhx30/smurf1/guf1/ulk2/mbtps2/atpaf2/dnm1l/htt/yy1b/hsp90aa1.2/LOC121912182/hsp90ab1/LOC121910100"
