"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","contractile fiber","Cellular Component",1.77470729771362,5.25062751579508e-25,2.68942504545644e-21,2.24741534087439e-21,"GO:0043292","230/4411","419/14261",230,"gapdh/LOC121910885/atp2a1/myom2a/zgc:153867/LOC121884840/itgb2/myl9b/lmod1b/nuak1b/LOC121883403/itgb3a/atp2a1l/LOC121908475/LOC121883529/acta2/LOC121883517/myl2a/tpm4a/csrp1b/LOC121895662/mylpfb/LOC121883527/tnnt2e/LOC121883514/actb1/aldoab/capn3b/itgav/LOC121909097/pgm1/fhl2a/gapdhs/actn1/LOC121883513/itga8/casq1b/LOC121893985/flna/LOC121883509/mybpc2b/clic5a/jupa/gpd1b/lasp1/LOC121884030/gja1b/LOC121883511/LOC121898608/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/LOC121908668/LOC121896922/LOC121880795/tmod2/LOC121899381/LOC121883528/ilk/LOC121887586/LOC121906032/gys1/tmod4/LOC121912256/capn2b/cavin4b/cavin4a/mybpc3/myom3/wdr1/LOC121882009/pdlim5a/LOC121883530/ryr3/mylpfa/cspg4/myl1/LOC121897830/LOC121891066/itga5/LOC121894670/lman1/LOC121884341/LOC121883510/desma/calm3a/ank2b/capn1/LOC121888075/LOC121912146/csrp2/LOC121882242/twf1a/hsp90aa1.1/LOC121899094/txlnba/sdc4/LOC121884700/LOC121894285/LOC121891793/LOC121894656/myoz1a/pak1/arhgef25b/unc45b/csrp1a/obscna/LOC121897829/mypn/LOC121904032/LOC121890607/psma6a/LOC121911171/LOC121896926/LOC121901160/LOC121906924/dst/rock1/tnnc1a/LOC121907988/fbp2/tln2a/acta1b/capzb/LOC121894730/LOC121894574/spon1a/ahnak/tnnt1/clic4/synm/cmya5/actn2b/sgcg/mmp2/LOC121908040/LOC121895103/LOC121906921/LOC121898947/ak1/igfn1.4/ryr1b/ablim2/LOC121896749/tnnt3a/nexn/LOC121892103/parvaa/LOC121895500/LOC121895055/LOC121880591/LOC121909093/LOC121908041/cacna1c/LOC121908042/LOC121880812/slc8a1b/lrpprc/clic2/hspg2/vrk1/bag3/trip6/LOC121911401/LOC121884874/LOC121894571/LOC121882802/LOC121892319/casq2/slc2a1b/LOC121902029/psen1/tln1/LOC121895967/mtm1/rpl7/psen2/sptan1/LOC121905573/jph2/rock2a/myot/klhl40b/tmod1/LOC121889157/LOC121912923/LOC121887251/LOC121883559/LOC121895409/LOC121892381/rpl6/myh7ba/mbnl2/pgm5/smpx/syne1b/igfn1.1/ank1a/daam2/mybpha/csrp3/ankhd1/cfl2/LOC121909443/LOC121882939/LOC121893344/capza1a/LOC121888854/LOC121887276/LOC121897777/myod1/LOC121882041/actn3b/LOC121907980/lmod2b/klhl41a/tnnt2d/sri/LOC121887939/LOC121885296/rnf185/LOC121910053/itgb1a/fhod3a/fbxo32/ctnnb1/pygmb/LOC121887940"
"2","myofibril","Cellular Component",1.8025721559853,6.04229396867319e-25,2.68942504545644e-21,2.24741534087439e-21,"GO:0030016","218/4411","391/14261",218,"gapdh/LOC121910885/atp2a1/myom2a/LOC121884840/itgb2/myl9b/lmod1b/nuak1b/LOC121883403/itgb3a/atp2a1l/LOC121908475/LOC121883529/acta2/LOC121883517/myl2a/tpm4a/csrp1b/LOC121895662/LOC121883527/tnnt2e/LOC121883514/actb1/aldoab/capn3b/itgav/LOC121909097/pgm1/fhl2a/gapdhs/actn1/LOC121883513/itga8/casq1b/LOC121893985/flna/LOC121883509/mybpc2b/jupa/gpd1b/lasp1/LOC121884030/LOC121883511/LOC121898608/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/LOC121908668/LOC121896922/LOC121880795/tmod2/LOC121899381/LOC121883528/ilk/LOC121887586/LOC121906032/gys1/tmod4/LOC121912256/capn2b/cavin4b/cavin4a/mybpc3/myom3/wdr1/LOC121882009/pdlim5a/LOC121883530/ryr3/cspg4/myl1/LOC121897830/LOC121891066/itga5/LOC121894670/lman1/LOC121884341/LOC121883510/desma/calm3a/ank2b/capn1/LOC121888075/LOC121912146/csrp2/LOC121882242/twf1a/hsp90aa1.1/LOC121899094/txlnba/sdc4/LOC121884700/LOC121894285/LOC121891793/LOC121894656/myoz1a/pak1/arhgef25b/unc45b/csrp1a/obscna/LOC121897829/mypn/LOC121904032/LOC121890607/psma6a/LOC121911171/LOC121896926/LOC121901160/LOC121906924/dst/tnnc1a/LOC121907988/fbp2/tln2a/acta1b/capzb/LOC121894730/LOC121894574/spon1a/ahnak/tnnt1/synm/cmya5/actn2b/sgcg/mmp2/LOC121908040/LOC121895103/LOC121906921/LOC121898947/ak1/igfn1.4/ryr1b/ablim2/LOC121896749/tnnt3a/nexn/LOC121892103/parvaa/LOC121895500/LOC121895055/LOC121880591/LOC121909093/LOC121908041/cacna1c/LOC121908042/slc8a1b/lrpprc/vrk1/bag3/trip6/LOC121911401/LOC121884874/LOC121894571/LOC121882802/LOC121892319/casq2/slc2a1b/LOC121902029/psen1/tln1/LOC121895967/mtm1/rpl7/psen2/sptan1/LOC121905573/jph2/myot/klhl40b/tmod1/LOC121889157/LOC121912923/LOC121887251/LOC121883559/LOC121895409/LOC121892381/rpl6/myh7ba/mbnl2/pgm5/smpx/syne1b/igfn1.1/ank1a/daam2/mybpha/csrp3/ankhd1/cfl2/LOC121909443/LOC121882939/LOC121893344/capza1a/LOC121888854/LOC121887276/LOC121897777/myod1/LOC121882041/actn3b/LOC121907980/lmod2b/klhl41a/tnnt2d/sri/LOC121887939/LOC121885296/LOC121910053/itgb1a/fhod3a/fbxo32/ctnnb1/pygmb/LOC121887940"
"3",NA,NA,1.78147858553986,7.8726801659374e-24,2.33608662790582e-20,1.95214844676069e-20,"GO:0044449","216/4411","392/14261",216,"gapdh/LOC121910885/atp2a1/myom2a/zgc:153867/LOC121884840/itgb2/myl9b/lmod1b/nuak1b/LOC121883403/itgb3a/atp2a1l/LOC121908475/LOC121883529/acta2/LOC121883517/myl2a/tpm4a/csrp1b/LOC121895662/mylpfb/LOC121883527/tnnt2e/LOC121883514/actb1/aldoab/capn3b/itgav/pgm1/fhl2a/gapdhs/actn1/LOC121883513/itga8/casq1b/LOC121893985/flna/LOC121883509/mybpc2b/clic5a/jupa/gpd1b/lasp1/LOC121884030/LOC121883511/LOC121898608/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/LOC121908668/LOC121896922/LOC121880795/tmod2/LOC121899381/LOC121883528/ilk/LOC121887586/LOC121906032/tmod4/LOC121912256/capn2b/cavin4b/cavin4a/mybpc3/myom3/LOC121882009/pdlim5a/LOC121883530/ryr3/mylpfa/cspg4/myl1/LOC121897830/LOC121891066/itga5/lman1/LOC121884341/LOC121883510/desma/calm3a/ank2b/capn1/LOC121888075/LOC121912146/csrp2/LOC121882242/hsp90aa1.1/LOC121899094/txlnba/sdc4/LOC121884700/LOC121894285/LOC121891793/LOC121894656/myoz1a/pak1/unc45b/csrp1a/obscna/LOC121897829/mypn/LOC121904032/LOC121890607/psma6a/LOC121911171/LOC121896926/LOC121901160/LOC121906924/dst/tnnc1a/LOC121907988/fbp2/tln2a/acta1b/capzb/LOC121894730/LOC121894574/spon1a/ahnak/tnnt1/clic4/synm/cmya5/actn2b/sgcg/mmp2/LOC121908040/LOC121895103/LOC121906921/ak1/igfn1.4/ryr1b/LOC121896749/tnnt3a/nexn/LOC121892103/parvaa/LOC121895500/LOC121895055/LOC121880591/LOC121909093/LOC121908041/cacna1c/LOC121908042/LOC121880812/slc8a1b/lrpprc/clic2/hspg2/vrk1/bag3/trip6/LOC121911401/LOC121884874/LOC121894571/LOC121882802/LOC121892319/casq2/slc2a1b/LOC121902029/psen1/tln1/LOC121895967/mtm1/rpl7/psen2/sptan1/LOC121905573/jph2/myot/klhl40b/tmod1/LOC121889157/LOC121912923/LOC121887251/LOC121883559/LOC121895409/LOC121892381/rpl6/myh7ba/mbnl2/pgm5/smpx/syne1b/igfn1.1/ank1a/daam2/mybpha/csrp3/ankhd1/cfl2/LOC121909443/LOC121882939/LOC121893344/capza1a/LOC121887276/LOC121897777/actn3b/LOC121907980/lmod2b/klhl41a/tnnt2d/sri/LOC121887939/LOC121885296/rnf185/LOC121910053/itgb1a/fhod3a/fbxo32/ctnnb1/pygmb/LOC121887940"
"4","sarcomere","Cellular Component",1.8174511077212,1.89701124439723e-23,4.22179852440603e-20,3.52794170109347e-20,"GO:0030017","199/4411","354/14261",199,"gapdh/LOC121910885/atp2a1/myom2a/LOC121884840/itgb2/myl9b/lmod1b/nuak1b/LOC121883403/itgb3a/atp2a1l/LOC121883529/acta2/LOC121883517/myl2a/tpm4a/csrp1b/LOC121895662/LOC121883527/tnnt2e/LOC121883514/actb1/aldoab/capn3b/itgav/pgm1/fhl2a/gapdhs/actn1/LOC121883513/itga8/casq1b/LOC121893985/flna/LOC121883509/mybpc2b/jupa/gpd1b/lasp1/LOC121884030/LOC121883511/LOC121898608/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/LOC121908668/LOC121896922/LOC121880795/tmod2/LOC121883528/LOC121887586/LOC121906032/tmod4/LOC121912256/capn2b/cavin4b/cavin4a/mybpc3/myom3/LOC121882009/pdlim5a/LOC121883530/ryr3/cspg4/myl1/LOC121897830/LOC121891066/itga5/lman1/LOC121884341/LOC121883510/desma/calm3a/ank2b/capn1/LOC121888075/LOC121912146/csrp2/LOC121882242/hsp90aa1.1/LOC121899094/txlnba/LOC121884700/LOC121894285/LOC121891793/LOC121894656/myoz1a/pak1/unc45b/csrp1a/obscna/LOC121897829/mypn/LOC121904032/psma6a/LOC121911171/LOC121896926/LOC121901160/LOC121906924/dst/tnnc1a/LOC121907988/fbp2/tln2a/acta1b/capzb/LOC121894730/LOC121894574/spon1a/tnnt1/synm/cmya5/actn2b/mmp2/LOC121908040/LOC121895103/LOC121906921/ak1/igfn1.4/ryr1b/LOC121896749/tnnt3a/nexn/LOC121892103/parvaa/LOC121895500/LOC121895055/LOC121880591/LOC121909093/LOC121908041/cacna1c/LOC121908042/slc8a1b/lrpprc/vrk1/bag3/trip6/LOC121911401/LOC121884874/LOC121894571/LOC121882802/LOC121892319/casq2/slc2a1b/LOC121902029/psen1/tln1/LOC121895967/mtm1/rpl7/psen2/sptan1/LOC121905573/jph2/myot/klhl40b/tmod1/LOC121889157/LOC121912923/LOC121883559/LOC121895409/LOC121892381/rpl6/myh7ba/mbnl2/pgm5/smpx/syne1b/igfn1.1/ank1a/daam2/mybpha/csrp3/ankhd1/cfl2/LOC121909443/LOC121882939/LOC121893344/capza1a/LOC121887276/LOC121897777/actn3b/LOC121907980/lmod2b/klhl41a/tnnt2d/sri/LOC121887939/LOC121885296/LOC121910053/itgb1a/fhod3a/fbxo32/ctnnb1/pygmb/LOC121887940"
"5","actin binding","Molecular Function",1.61266880531368,1.79050695785892e-16,3.18781858777201e-13,2.66389740446083e-13,"GO:0003779","209/4411","419/14261",209,"tagln/myom2a/dbn1/cotl1/LOC121884840/cnn2/mlphb/tmsb4x/LOC121896730/LOC121908475/LOC121883529/ctnna1/LOC121883517/myl2a/tpm4a/LOC121913116/LOC121883527/mical2a/LOC121883514/aldoab/arpc5b/cap1/myo1b/LOC121906858/anxa3b/LOC121913306/smtnb/lima1a/actn1/LOC121883513/LOC121893985/coro1ca/LOC121892330/flna/LOC121883509/mybpc2b/pdlim4/shroom2a/LOC121912730/arpc2/LOC121912416/lasp1/fscn1a/LOC121884030/LOC121883511/dnm3b/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/LOC121908668/wasf3b/LOC121880795/tmod2/LOC121903552/LOC121883528/ezrb/ywhag1/LOC121906032/sept7b/cobll1b/LOC121908577/mybpc3/myom3/wdr1/LOC121900142/pdlim5a/LOC121883530/LOC121897830/LOC121894670/LOC121883510/tns1a/cyfip1/LOC121886467/fmnl3/LOC121888075/cald1a/LOC121911622/LOC121882242/coro1b/twf1a/nav2a/sipa1l1/pfn2b/anxa6/LOC121884700/LOC121908627/LOC121894285/LOC121910633/mical1/homer2/LOC121908547/myoz1a/ehbp1/itprid2/LOC121897829/mypn/nav3/LOC121890607/abl1/LOC121902214/LOC121898364/LOC121911171/LOC121896926/utrn/dst/tnnc1a/LOC121907988/gsna/LOC121910149/gipc1/map2/tln2a/map1sa/arpc4l/capzb/LOC121894730/cnn1b/micall1a/tns1b/sptb/maea/mrtfab/arpc3/LOC121885837/hip1rb/shroom3/actn2b/trpv4/spire1a/flii/aif1l/LOC121895103/svild/emc7b/clip2/LOC121901413/ajuba/ablim2/abl2/macf1a/myo1d/nexn/parvaa/wasf2/iqgap2/ablim1a/LOC121896885/coro6/LOC121895055/ssh2a/dbnlb/shroom4/mrtfbb/LOC121897193/myo6a/LOC121894686/LOC121909749/zgc:153184/LOC121882802/impact/coro2ba/LOC121902029/anln/tln1/ppp1r42/adss1/sptan1/wasf1/LOC121912469/LOC121912151/LOC121905428/tmod1/egfra/tmsb2/LOC121889157/LOC121883559/triobpb/shtn1/LOC121903351/si:cabz01093077.1/syne1b/LOC121887653/LOC121911706/LOC121884384/fmnl2a/LOC121901952/daam2/mybpha/ssh2b/map1b/cfl2/diaph2/tmem201/clip1a/capza1a/actn3b/fer/lmod2b/LOC121885838/cap2/clasp2/vps16/LOC121885296/gas2l3/LOC121910053/itgb1a/fhod3a"
"6","actin filament binding","Molecular Function",1.91523291573438,1.42441801375745e-15,2.11336152641147e-12,1.76602843916209e-12,"GO:0051015","109/4411","184/14261",109,"tagln/myom2a/dbn1/LOC121896730/LOC121908475/LOC121883529/ctnna1/LOC121883517/tpm4a/LOC121883527/LOC121883514/arpc5b/myo1b/LOC121913306/lima1a/actn1/LOC121883513/coro1ca/flna/LOC121883509/mybpc2b/pdlim4/shroom2a/arpc2/lasp1/fscn1a/LOC121884030/LOC121883511/LOC121893746/LOC121883515/LOC121883532/myom2b/LOC121893745/tmod2/LOC121903552/LOC121883528/ezrb/LOC121906032/mybpc3/myom3/wdr1/LOC121900142/LOC121883530/LOC121897830/LOC121883510/cyfip1/LOC121886467/coro1b/nav2a/sipa1l1/anxa6/LOC121884700/LOC121908627/LOC121894285/LOC121910633/LOC121908547/itprid2/LOC121897829/mypn/nav3/abl1/LOC121902214/LOC121898364/tnnc1a/map1sa/capzb/sptb/LOC121885837/hip1rb/actn2b/trpv4/aif1l/LOC121895103/ajuba/ablim2/abl2/macf1a/myo1d/nexn/iqgap2/ablim1a/coro6/LOC121895055/dbnlb/shroom4/myo6a/LOC121894686/zgc:153184/coro2ba/anln/adss1/LOC121912469/tmod1/egfra/LOC121883559/triobpb/shtn1/syne1b/LOC121887653/LOC121884384/mybpha/cfl2/tmem201/actn3b/LOC121885838/clasp2/vps16/LOC121885296/LOC121910053"
"7","striated muscle cell differentiation","Biological Process",1.53792196426098,1.04733346986042e-14,1.33190893552821e-11,1.11300836563964e-11,"GO:0051146","225/4411","473/14261",225,"gapdh/lamb1b/myom2a/pfkma/itgb2/myl9b/lmod1b/nuak1b/LOC121883403/itgb3a/LOC121901062/acta2/myl2a/csrp1b/LOC121895662/tnnt2e/actb1/capn3b/LOC121899291/pkma/itgav/wnt10b/fhl2a/gapdhs/actn1/itga8/casq1b/mybpc2b/cav1/ntn2/elmo1/lasp1/ldha/gpx1b/myom2b/LOC121908668/wasf3b/LOC121880795/camk2d1/tmod2/LOC121906032/tmod4/LOC121912256/LOC121908177/pfkmb/capn2b/cavin4b/rhoab/kirrel1a/cavin4a/mybpc3/myom3/tead1b/wdr1/wnt1/pdlim5a/LOC121895667/pdgfra/cspg4/LOC121897830/glis3/itga5/dtna/snta1/LOC121896914/LOC121894458/capn1/LOC121888075/csrp2/LOC121907292/chrnb1/LOC121908635/LOC121888971/LOC121909672/stim1a/hsp90aa1.1/LOC121895480/met/LOC121896982/nck2a/LOC121894656/cast/myoz1a/unc45b/csrp1a/LOC121895127/obscna/LOC121897829/mypn/LOC121890607/LOC121892100/LOC121896926/LOC121883468/nfatc3a/kirrel1b/LOC121903886/ripor2/hacd1/mef2aa/LOC121894507/vav2/unc45a/tln2a/acta1b/capzb/LOC121894730/dock1/ets1/six4a/srfb/actn2b/flii/sgcg/kdm6ba/LOC121908040/LOC121895103/rac3b/wt1b/LOC121913056/LOC121910427/ryr1b/nfatc2a/LOC121896749/tnnt3a/nexn/LOC121892103/sik1/parvaa/LOC121895500/wasf2/ift20/pfkla/kirrel3l/akt1/sox6/LOC121908041/LOC121895481/LOC121908042/tmtc3/slc8a1b/LOC121905779/LOC121895760/hspg2/spegb/igfbp5a/katnal1/mymk/pfkpa/vrk1/LOC121896089/LOC121884874/cdon/bves/LOC121909107/foxo3b/LOC121892319/LOC121906581/casq2/alpk3a/tln1/LOC121907074/tsc1a/igf1/adss1/LOC121905573/LOC121908543/wasf1/nck1b/LOC121909298/rac1a/klhl40b/LOC121881823/tmod1/etv6/elmo3/LOC121889157/LOC121887251/lef1/dner/sort1b/LOC121883559/LOC121892381/akt2/LOC121908601/myh7ba/pax3b/LOC121894579/orai1b/uchl1/gsk3ba/map2k4a/LOC121908525/bmp2b/pomt1/daam2/mybpha/LOC121908153/csrp3/ankhd1/cfl2/LOC121898233/tead3b/kras/tbxtb/LOC121907117/LOC121898091/eif4ebp2/myod1/afg3l2/lmod2b/prkar1aa/klhl41a/akt3a/tnnt2d/LOC121912251/LOC121911051/LOC121887939/dusp27/bcl9/rnf185/itgb1a/fhod3a/ldhba/acadm/LOC121887940"
"8","actin filament organization","Biological Process",1.62126741264674,5.71220546316763e-14,6.35625662913977e-11,5.3115994747639e-11,"GO:0007015","171/4411","341/14261",171,"myom2a/dbn1/LOC121884840/itgb2/itga6b/lmod1b/itgb3a/acta2/tpm4a/emp2/tnnt2e/mical2a/actb1/aldoab/arpc5b/cap1/myo1b/LOC121906858/LOC121913306/lima1a/actn1/LOC121893985/LOC121892330/flna/mybpc2b/elna/tjp1a/prkci/elmo1/arpc2/prex1/lasp1/fscn1a/myom2b/LOC121908668/wasf3b/LOC121880795/tmod2/ezrb/LOC121906032/tmod4/cobll1b/rhoab/kirrel1a/mybpc3/myom3/wdr1/zyx/LOC121897830/LOC121894670/LOC121894458/LOC121886467/fmnl3/LOC121888075/cald1a/src/LOC121907292/LOC121908635/LOC121888971/LOC121911622/dll4/twf1a/nav2a/hsp90aa1.1/bcar1/LOC121895480/LOC121908627/nck2a/LOC121910633/fat1a/mical1/dpysl3/LOC121895366/LOC121895127/LOC121897829/nav3/dld/LOC121890607/abl1/itga6a/LOC121909022/LOC121902214/itgb5/LOC121883468/LOC121913334/kirrel1b/itga7/gsna/LOC121910149/acta1b/arpc4l/capzb/LOC121909965/arpc3/notch3/srfb/trpv4/spire1a/LOC121895103/LOC121903921/LOC121908136/rac3b/LOC121901413/dla/LOC121885897/abl2/LOC121896749/tnnt3a/LOC121908220/wasf2/LOC121906635/iqgap2/notch1a/kirrel3l/shroom4/LOC121895481/cgnl1/myo6a/LOC121894686/fryb/pi4kab/LOC121906581/anln/LOC121908543/wasf1/nck1b/LOC121912469/mcu/rac1a/LOC121912151/tmod1/jmy/elmo3/LOC121883559/triobpb/fryl/tjp2a/shtn1/itga3b/evla/cdc42l/abi1a/LOC121894579/LOC121908525/raph1a/LOC121884384/LOC121882386/acvr1l/daam2/mybpha/arhgef1a/hsp90b1/cfl2/diaph2/LOC121898233/rflna/LOC121898530/baiap2l2a/capza1a/LOC121911467/fer/lmod2b/prkar1aa/nup155/tnnt2d/cap2/tbk1/arhgef12a/itgb1a/fhod3a/LOC121893812"
"9","I band","Cellular Component",1.77153629003457,1.42788354287454e-13,1.41233547762991e-10,1.18021672485315e-10,"GO:0031674","120/4411","219/14261",120,"gapdh/LOC121910885/atp2a1/myom2a/LOC121884840/myl9b/LOC121883403/atp2a1l/csrp1b/LOC121895662/aldoab/capn3b/pgm1/fhl2a/gapdhs/actn1/casq1b/LOC121893985/flna/mybpc2b/jupa/gpd1b/lasp1/LOC121898608/myom2b/LOC121880795/LOC121906032/cavin4b/cavin4a/mybpc3/myom3/pdlim5a/ryr3/cspg4/LOC121891066/LOC121884341/desma/ank2b/LOC121888075/LOC121912146/csrp2/LOC121882242/hsp90aa1.1/LOC121899094/LOC121891793/LOC121894656/myoz1a/pak1/unc45b/csrp1a/obscna/mypn/LOC121911171/dst/LOC121907988/fbp2/capzb/LOC121894730/LOC121894574/synm/actn2b/LOC121908040/LOC121906921/igfn1.4/ryr1b/nexn/LOC121892103/parvaa/LOC121895500/LOC121880591/LOC121909093/LOC121908041/cacna1c/LOC121908042/slc8a1b/lrpprc/vrk1/bag3/LOC121911401/LOC121884874/LOC121894571/LOC121882802/LOC121892319/casq2/slc2a1b/LOC121902029/psen1/mtm1/psen2/sptan1/LOC121905573/jph2/myot/klhl40b/LOC121889157/LOC121912923/LOC121883559/LOC121895409/myh7ba/mbnl2/pgm5/igfn1.1/ank1a/daam2/mybpha/csrp3/ankhd1/cfl2/LOC121909443/capza1a/LOC121887276/actn3b/LOC121907980/sri/LOC121887939/fhod3a/fbxo32/ctnnb1/pygmb/LOC121887940"
"10","endoplasmic reticulum lumen","Cellular Component",1.68945288862601,2.44622248537408e-13,2.17762725648e-10,1.81973203201459e-10,"GO:0005788","139/4411","266/14261",139,"LOC121912195/lamb1b/LOC121888432/mfge8b/arsj/clu/serpinh1b/calub/hspa5/col12a1a/casq1b/LOC121899090/LOC121881170/p3h2/p4hb/cnpy3/eogt/fn1a/notum1b/dnajc10/thbs1b/wnt1/adamtsl4/aplp2/dnajc3b/serpinh1a/LOC121880638/wnt7bb/LOC121884341/col11a2/col21a1/p4ha1b/col6a2/hyou1/LOC121885954/p4ha2/col5a1/erap1b/LOC121913803/mydgf/rcn1/LOC121911336/fam20cb/bace1/srl/col7a1/ero1a/p4ha3/sdc2/gpx7/adam10a/txndc12/igfbp1a/ano8b/ckap4/vwa1/col23a1a/foxred2/txndc5/ctsz/LOC121894730/dnajb11/erp44/spon1a/pdia6/appa/ganabb/LOC121884629/LOC121893572/col8a2/uggt2/pcsk9/LOC121909303/edem3/col13a1/txndc16/pdia5/tor2a/LOC121906878/canx/col6a1/fkbp14/p3h1/pdgfd/LOC121912125/mia3/col11a1a/colgalt1a/igfbp5a/LOC121911492/LOC121893892/LOC121903365/casq2/LOC121912345/arsg/wnt7aa/col6a3/LOC121907218/lamc1/LOC121909298/pcsk7/unm_hu7910/col18a1a/LOC121881823/fuca2/ctsc/dnajc1/LOC121912553/LOC121897527/dnajb9a/LOC121909225/esd/col15a1b/LOC121891705/LOC121901711/LOC121912973/f2/wfs1b/prkcsh/colgalt2b/pcsk2/hsp90b1/LOC121890907/lrpap1/LOC121882797/LOC121889090/LOC121908035/ppib/arsb/pdia4/col22a1/bdnf/mgat4a/uggt1/pdgfc/poglut1/LOC121895604/LOC121898115/LOC121907029"
