"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko03110  Chaperones and folding catalysts",1.30207600584914,4.43789723107259e-09,1.42012711394323e-07,9.3429415391002e-08,"ko03110","191/10687","255/18578",191,"hsp90aa1.1/clu/serpinh1b/unc45b/p4hb/serpinh1a/LOC121909298/fkbp7/hspb8/hsp90b1/tgfb1a/dnajc7/hyou1/fkbp9/pdia3/hspa5/LOC121906130/serpinh2/dnajb2/hsp90aa1.2/canx/pdia6/pdia5/zgc:92429/pdia4/LOC121903668/txndc5/fkbp4/LOC121913803/dnajc3b/bag3/txn/dnajc10/tpp1/LOC121881350/inhbb/LOC121909827/hsc70/dnajb11/hspa8b/hspa13/fkbp11/LOC121912182/hspb7/furina/LOC121910100/p3h3/unc45a/hspa1b/hexb/ctss2.1/clpb/dnajc1/arf3a/calr/LOC121910655/fkbp10b/hspa4b/dnaja/fkbp8/dnajb13/dnajc5gb/LOC121890907/hspb6/ppiaa/pcsk9/trap1/LOC121884464/sec63/ppil4/hsp90ab1/hspbp1/dnajc14/LOC121884463/dnajc16l/ctsc/hspa4l/dnajc3a/fkbp14/ranbp2/dnajc9/ctsa/fkbp1b/cwc27/fkbp1ab/LOC121884465/cct7/mettl21e/mbtps1/gba3/LOC121912973/ctsba/dnajc21/ppib/htra1b/rrp8/fkbpl/LOC121907980/ngfa/dnajb9a/bag1/fkbp2/LOC121895647/pin4/p3h2/dnajb4/dnajc15/rabggtb/LOC121897032/bag2/inhbaa/LOC121884518/LOC121898398/dnajc4/pfdn2/ppih/calr3a/LOC121883956/nktr/dnajc28/gak/htra4/tmx3b/p3h1/dnaja2a/ppil2/dnajb12a/LOC121911736/hspb1/dnajc2/dnajb14/dnajc18/tm2d2/vwf/bag5/ppil1/hspbap1/dnaja3a/ppifa/cct6a/nagk/hspa9/ppwd1/ppig/ctsla/ppid/st13/dnaja1/dnajb5/si:ch211-122f10.4/dnajc30b/dnajc5ga/LOC121894172/fkbp5/pin1/LOC121891819/dnajc19/hscb/afg3l2/pcsk5b/dnajb12b/arf3b/p3h4/bag4/stip1/pfdn5/LOC121888303/clpxb/dnajc16/spg7/LOC121906711/glrx5/stub1/fkbp16/htra3b/glrx/ppil3/pfdn1/cdc37l1/ppiab/cct2/med10/dnajc5ab/fkbp15b/bcl3/cct3/pfdn4/txn2/LOC121884079/fkbp3/LOC121887472"
"2","ko03032  DNA replication proteins",1.38308566448492,4.0105060739757e-08,6.41680971836112e-07,4.22158534102705e-07,"ko03032","109/10687","137/18578",109,"pcna/mcm5/mcm2/dnmt1/lig1/mcm3/rpa1/mcm4/ccnb1/parp4/fen1/rpa3/pold1/gins4/orc3/pola2/cdk2/mcm7/mcm6/gins2/ccna2/orc1/ccnb3/orc5/rpa2/cdc6/rfc2/LOC121910233/pola1/pole/gins1/pold2/cul4a/top2a/zgc:173742/puraa/rfc4/rfc3/LOC121903834/pole2/prim1/gins3/cdk1/blm/prim2/pif1/snrpd3l/rfc5/rnaseh2a/snrpd2/pold3/recql4/mcm10/smg5/rufy2/pold4/purbb/cdc45/orc4/LOC121890481/rfc1/cdc7/nbn/mcm8/polg/exo1/usp19/ccne2/parp3/dnmt3ab/smg6/mrps34/polg2/dna2/rif1/purab/atm/snrpg/parp1/rtel1/LOC121902957/dkc1/sox7/mcm9/LOC121894652/snrpe/ccnl1a/cul4b/ccne1/snrpf/snrpd1/rnaseh1/terfa/LOC121882237/snrpb/terf1/tep1/tert/pign/pole3/pole4/pot1/parp2/top3a/rnaseh2c/rnaseh2b/rad50/prkdc/mre11a"
"3","ko03051  Proteasome",1.34517014441221,0.000108403581160172,0.0011563048657085,0.000760726885334538,"ko03051","65/10687","84/18578",65,"hsp90aa1.1/hsp90aa1.2/hsc70/hspa8b/LOC121910100/LOC121908096/hspa1b/psmd8/LOC121884750/LOC121882939/psmb1/pno1/LOC121910655/LOC121895607/psma6a/psma2a/rad23ab/LOC121884464/hsp90ab1/LOC121884463/ubqln4/psmd6/LOC121899173/psmg4/psmd2/LOC121884465/psmd1/psmb6/psmb7/ecpas/psma1/LOC121883473/psmd10/psmc3/psmb4/psme2/psmb3/psmd5/psmc5/LOC121913823/psma3/psmd14/psmb2/psmb8a/psme4b/psme1/psma5/LOC121898740/psma8/eif3eb/adrm1/psme3/psmd12/psmc4/psmd9/LOC121884097/LOC121903639/psmf1/LOC121882007/psme4a/psmb10/psmd7/psmd13/psmd3/psmc6"
"4","ko02044  Secretion system",1.62972536726864,0.00183604441915255,0.0146883553532204,0.00966339167975027,"ko02044","15/10687","16/18578",15,"sec61a1/sec61b/sec62/srp14/srpra/LOC121894019/sec61g/dctd/sec63/srp9/srp54/srp72/srprb/oxa1l/srp68"
"5","ko03029  Mitochondrial biogenesis",1.11286618162274,0.00254395982211746,0.0154043159589392,0.0101344183940389,"ko03029","290/10687","453/18578",290,"actc1a/LOC121881047/acta1b/znf106a/hsp90aa1.1/vdac3/actb2/acta1a/actb1/slc25a28/cpt1a2b/pld7/ulk2/LOC121909650/hsp90aa1.2/smurf1/bnip3lb/dhtkd1/ryr1b/LOC121880795/hsc70/hspa8b/LOC121911428/lrrfip1a/pink1/LOC121912182/LOC121882331/LOC121910100/LOC121883474/sh3glb1a/atg13/hspa1b/ppargc1a/zgc:153993/prkaa2/noa1/acta2/ryr3/myo5c/LOC121903410/LOC121909162/pop1/nfe2l1b/slc25a5/LOC121886398/LOC121890536/mterf3/LOC121910655/dnm1l/dnaja/LOC121903406/LOC121886397/ptcd1/calcoco2/LOC121899980/ttc19/foxred1/LOC121887887/LOC121884464/atg14/LOC121887022/LOC121913942/LOC121909763/hsp90ab1/LOC121904289/LOC121893682/LOC121884463/pmpca/LOC121894200/LOC121887888/LOC121897193/chchd4a/nfs1/map1lc3a/dars2/map1lc3b/LOC121908153/agfg1b/zgc:56235/mffb/si:dkey-19e4.5/pif1/samm50l/LOC121885842/LOC121909885/pld3/afg1la/becn1/iscu/sil1/qrsl1/birc2/acaa2/LOC121884465/nkpd1/atg2a/tfb2m/snx25/eif4g2a/rb1cc1/LOC121885847/LOC121886528/LOC121906715/guf1/LOC121887460/LOC121901806/lonp1/LOC121894752/zgc:112271/LOC121895833/bnip3la/eci2/phb2b/vdac1/atp23/nbr1a/tamm41/eral1/fundc1/ecsit/sqstm1/nubpl/ccdc90b/crebbpb/mtch2/dnajc15/mbtps2/cpt1b/LOC121899138/polg/ktn1/ethe1/LOC121881294/LOC121908886/nfe2l2a/rpp38/LOC121907258/supv3l1/hcfc1a/immt/prkaa1/yy1a/ulk1a/tmem70/creb1b/LOC121896321/ndufaf5/tecpr1b/atpaf2/ptcd2/LOC121890155/tax1bp1a/dnaja2a/letm2/smtnl/si:dkey-110c1.10/mterf4/atg7/dhx29/sp1/polg2/mtif2/naa25/mcur1/ndufaf1/twnk/esrra/chchd3a/hcfc2/LOC121896144/si:dkey-32e23.4/ulk1b/agfg1a/LOC121889226/plpp6/mrps22/LOC121906740/sdhaf2/mtif3/si:ch211-11n16.2/tfam/LOC121892156/LOC121913976/tomm20a/dnaja3a/lrpprc/dnlz/iba57/hspa9/timm44/trmt10c/si:ch1073-143l10.2/atg9a/zgc:110319/rhot1a/LOC121897746/smurf2/pde12/nfu1/ccnl1a/gfm1/dnaja1/timm23a/dhx57/zgc:92606/zfyve28/rhot1b/atg10/LOC121881527/LOC121888193/lars1b/nsun3/immp2l/sdhaf1/slc25a4/yy1b/LOC121906725/dennd6b/dnajc19/hscb/timm9/LOC121887599/ND6/ndufaf7/gatb/ndufaf6/dennd6aa/LOC121889042/tomm70a/esrrb/LOC121890527/ND4L/mpc1/mterf2/LOC121911730/mgme1/oxa1l/atg3/fis1/mtg1/rars2/crtc1a/timm10/LOC121881819/timm50/pmpcb/gfm2/LOC121906711/LOC121884122/timm13/gatc/glrx5/nbr1b/fastkd2/hexdc/LOC121883914/pop5/kti12/fdx2/sumo2a/LOC121880594/tomm22/ttc14/mrps16/pprc1/cdc37l1/LOC121900376/fbxl4/phb/atpaf1/med10/atad3/dhx30/LOC121884124/tomm34/clec16a/rpp30/tecpr1a/atg16l1/acad9/ptcd3/sirt1/endog/LOC121885294/afg1lb/LOC121893709/nrip1b/si:dkey-251i10.1/timm21/poldip2"
"6","ko04031  GTP-binding proteins",1.14979049533284,0.0028883092423011,0.0154043159589392,0.0101344183940389,"ko04031","168/10687","254/18578",168,"LOC121911286/LOC121894458/LOC121894039/LOC121897560/LOC121914132/LOC121886956/rab31/LOC121882938/rhoab/arl4aa/rap1aa/LOC121895480/arf1/rhogb/LOC121883468/LOC121895366/LOC121899951/gnai1/rab12/rab34a/rab1aa/LOC121894035/rab2a/sar1b/LOC121883841/LOC121897444/rab41/LOC121912898/LOC121903626/rab1ba/gng12a/kras/LOC121901074/arf6a/ran/rras/LOC121900032/rhebl1/arf2b/rab24/rab18a/LOC121890872/gnb2/arl1/rrad/LOC121890414/LOC121891117/arf3a/LOC121900713/rhoub/arl9/hrasb/LOC121908890/cdc42l/ralba/rab11al/rab22a/LOC121896379/rab23/rac1a/LOC121899416/LOC121894742/LOC121891971/rem1/LOC121893854/rap2c/LOC121903413/LOC121885318/rab27a/rab5c/rhoua/LOC121897603/rfc5/ralaa/arl6/rras2/LOC121893812/LOC121893909/mrasa/sar1ab/gnai3/arl8ba/zgc:101559/rac3b/LOC121897394/LOC121909227/LOC121903671/rab32a/arl5c/LOC121908997/LOC121907309/LOC121913501/zgc:55558/LOC121896034/gng13a/LOC121898386/rab14l/sf3b4/trim23/LOC121885317/rab11a/rab38b/LOC121900200/rnd2/nkiras2/rhogd/LOC121895481/rab5b/gng12b/zgc:162171/rab35b/cracr2ab/rab13/LOC121903526/gnb1b/rab39bb/LOC121891820/LOC121912073/rhot1a/rab4b/rheb/rab33a/aldh3b1/rerg/arl8bb/LOC121891786/rhot1b/rab9b/LOC121911695/LOC121884808/rab38c/gnai2b/rasl12/LOC121895127/LOC121884852/srprb/rasl11b/LOC121900072/ift22/rab30/rnd3a/rab3db/rab40b/arhgef6/arf3b/LOC121886525/rasl10a/gna12a/gnal/rab42b/LOC121898440/rab7a/LOC121885622/zgc:162879/rhobtb4/rab6ba/arid4b/arl5a/LOC121890117/LOC121906992/arid4a/rab10/rab33ba/arfrp1/LOC121907477/LOC121900198/gna11b/aldh3a2b"
"7","ko03011  Ribosome",1.16201452211668,0.00548914232824133,0.0250932220719604,0.0165086987315529,"ko03011","125/10687","187/18578",125,"LOC121900367/rpl3/cand2/rpl11/rps3a/pebp1/rsl24d1/dnajc1/rps7/eloa/rpl7/LOC121897777/rpl6/rpl8/rps6/rpl22/rps2/rpl17/rpl28/rpl30/rpl18/LOC121900605/kif22/rpl19/rpl10a/rpl15/uprt/mrpl3/mrps2/rps8a/rps3/rps9/rpl9/rpl26/rps13/rpl34/rps18/rpl27a/rps15/rps4x/faua/mrpl27/nars1/washc3/LOC121884171/mrpl23/mrpl1/rps16/rpl31/rplp2/pyroxd1/igf2bp1/igf2bp3/rps10/rps14/mrps34/rps24/rps5/cand1/rpl7a/rps11/mrps15/rpsa/pex6/LOC121900133/rps27l/rps21/mrps22/rpl18a/rps12/mrpl9/rpl21/mrps31/mrps5/rps27.2/rpl37a/rpl32/mrps23/rps20/rpl29/ctns/mrpl46/rpl12/rpl13/mrps11/igf2bp2a/rpl23a/mccc2/LOC121893783/rpl35/rars2/rps27a/rps25/rpl27/mrps36/rpl38/rplp1/mrpl43/rpl36a/mrpl53/rpl14/mrps25/rpl37/mrpl45/rpl13a/LOC121897098/mrps16/rplp2l/rps15a/rpl24/rpl5a/rps19/rpl23/rpl39/tpd52/mrpl44/mrpl51/rpl35a/mrpl16/mrpl2/mrpl39/mrpl40/mrps9/rps23/rpl36"
"8","ko01006  Prenyltransferases",1.52107700945073,0.0112223502855691,0.0385787461774298,0.0253807540640986,"ko01006","14/10687","16/18578",14,"dhdds/fdps/rabggtb/pdss1/fnta/pggt1b/fdft1/fntb/trit1/pdss2/LOC121887599/ptar1/polk/coq2"
"9","ko01007  Amino acid related enzymes",1.2454020717038,0.0120558581804468,0.0385787461774298,0.0253807540640986,"ko01007","48/10687","67/18578",48,"tat/gpt/alas1/LOC121905953/LOC121887267/sptlc2b/madd/abat/sptlc1/alg12/aadat/si:ch211-217a12.1/LOC121887887/qars1/psat1/farsb/got2b/LOC121887888/dars2/mars1/vars2/cars1/pars2/sptlc3/aars1/ears2/nars1/bcat2/fars2/LOC121895901/hars/nars2/tars1/cars2/LOC121900458/gcat/LOC121912900/lars1b/LOC121885474/rars2/sars1/dars1/farsa/tars2/kars1/vars1/iars1/LOC121880601"
"10","ko03012  Translation factors",1.15891581672437,0.030488151348127,0.088692803921824,0.0583505288959369,"ko03012","74/10687","111/18578",74,"LOC121912691/eef1g/LOC121908547/eif4a2/LOC121894006/gspt1/LOC121889464/cenpe/eif4e1c/eif2s2/LOC121894235/eef1da/eif1axb/si:ch211-166a6.5/eif2b3/ighmbp2/LOC121890536/mterf3/eif4g1a/LOC121911667/LOC121894200/eif3ba/si:dkey-19e4.5/secisbp2l/n6amt1/eef1db/LOC121900172/eif4e2/hemk1/eif2b4/eif4g2a/eif2b5/ovca2/abcf3/dnajc24/dph7/etf1a/LOC121898492/abcf1/mtrf1/eif5b/slit2/mterf4/dhx29/eefsec/dph3/mtif2/LOC121912692/eef1b2/LOC121896144/mtif3/gfm1/ptrh1/dhx57/eif3f/mtrf1l/gspt1l/eif3eb/LOC121904020/mterf2/cluha/eif4eb/eif3k/eif6/eif4e2rs1/LOC121884547/gfm2/eif5a/eif2b1/eif2s1b/eif2a/eif3jb/dph2/eif3g"
