"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","angptl2b",4.7092189176672,4.54732068822902,4.87111714710538,8.25870596979838,59.5704684348072,3.76550112932635e-31,7.42632132725743e-27,60.8963292417297,"angiopoietin-like 2b",1
"2","cdh15",3.93390766603061,3.79337059217151,4.07444473988972,8.775491455692,57.3267722666685,1.09946678099567e-30,1.08418419273983e-26,60.1165158262479,"cadherin 15, type 1, M-cadherin (myotubule)",2
"3","anxa13l",-4.62176954822521,-4.8017638814171,-4.44177521503332,7.84567813901301,-52.5864300718321,1.21969786790341e-29,8.01829378359703e-26,57.7962497131299,"annexin A13, like",3
"4","znf106a",5.73597140868816,5.51017298744502,5.96176982993131,8.96858326531471,52.024787057868,1.64495125572527e-29,8.11043216635343e-26,57.3621846102922,"zinc finger protein 106a",4
"5","hsp90aa1.1",5.37960492281582,5.15845875308332,5.60075109254832,10.1928203665904,49.8190217009944,5.49502789034727e-29,2.16745880106858e-25,56.3750699420183,"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1",5
"6","pef1",-3.19522018217776,-3.33259204247454,-3.05784832188098,6.39600426865694,-47.6351180268717,1.91180533396244e-28,5.38637497091532e-25,55.0242817859565,"penta-EF-hand domain containing 1",6
"7","aebp1b",5.18691176076206,4.96502887001761,5.40879465150652,7.60462135273853,47.8750542376156,1.66257456774785e-28,5.38637497091532e-25,54.9995353147007,"AE binding protein 1b",7
"8","nes",4.97342770571822,4.74975690267952,5.19709850875692,9.5758568315627,45.5376638432916,6.68038812813923e-28,1.59305604844975e-24,53.8472065393894,"nestin",8
"9","LOC121895103",4.07434145505918,3.88841362311594,4.26026928700241,8.38652639937935,44.8783883202477,1.00147149770264e-27,1.97510208776915e-24,53.4030053025382,"tropomyosin alpha-1 chain-like",9
"10","tktb",-2.79855516492267,-2.92695926268353,-2.67015106716181,9.14127654389694,-44.6353786124288,1.16435992839062e-27,2.0875915007018e-24,53.355679972461,"transketolase b",10
"11","emilin2a",-2.76238752319053,-2.89218592920285,-2.63258911717822,8.71192602625302,-43.5852437459448,2.25402856998407e-27,3.28872585850058e-24,52.6953063064488,"elastin microfibril interfacer 2a",11
"12","fhl3b",-4.24496842398097,-4.44243058214437,-4.04750626581757,6.06462630257629,-44.0265666799274,1.70447369336043e-27,2.80130251503787e-24,52.6845436350073,"four and a half LIM domains 3b",12
"13","dyrk3",4.15676965678453,3.96120498910892,4.35233432446014,6.88006120951849,43.53011347731,2.33455846359437e-27,3.28872585850058e-24,52.4456046109164,"dual specificity tyrosine phosphorylation regulated kinase 3",13
"14","LOC121912139",8.00649888271914,7.64532312608133,8.36767463935694,8.62469557883914,45.3992094632414,7.26980247239012e-28,1.59305604844975e-24,52.4321512198159,"spectrin beta chain, non-erythrocytic 1",14
"15","gtpbp4",1.96015928368718,1.86712814566897,2.05319042170539,9.77369234707195,43.150642309325,2.97613636381873e-27,3.66846008545206e-24,52.4029617428223,"GTP binding protein 4",15
"16","itgb2",-4.03734735687869,-4.22782878311109,-3.84686593064629,6.15475057814971,-43.4077940797162,2.5240456471058e-27,3.3186152168147e-24,52.3615580824535,"integrin, beta 2",16
"17","LOC121912691",5.93244786405867,5.64747043557522,6.21742529254212,8.3756479080119,42.6331774089623,4.15822067018857e-27,4.82402517985053e-24,51.9023017665787,"elongation factor 1-alpha",17
"18","tat",-3.90029132895797,-4.09056680460519,-3.71001585331075,5.16853225668989,-41.9796163907302,6.38013629655402e-27,6.99050266892436e-24,51.5910340739497,"tyrosine aminotransferase",18
"19","s100a10a",-2.48476977721166,-2.61116231871384,-2.35837723570948,8.5460733008832,-40.261406608183,2.02924400508882e-26,1.81912501219826e-23,50.4973247112631,"S100 calcium binding protein A10a",19
"20","taldo1",-2.22012022864171,-2.33303615355785,-2.10720430372557,8.97046288486973,-40.2666529937387,2.02194138074659e-26,1.81912501219826e-23,50.4943921767781,"transaldolase 1",20
"21","LOC121887076",5.75678435296008,5.46548046810102,6.04808823781915,7.69695544461248,40.4723031330679,1.75610327396976e-26,1.73169343846158e-23,50.2413955317258,"synaptopodin 2-like protein",21
"22","crip2",4.82218229228567,4.57869948366836,5.06566510090298,6.4721975398135,40.5601502948486,1.65383101923577e-26,1.71667659796673e-23,50.1533311030631,"cysteine-rich protein 2",22
"23","si:ch211-156j16.1",-2.27552666670886,-2.39395726864513,-2.15709606477259,9.2350925971043,-39.3497726185974,3.82329798370683e-26,3.27839490585505e-23,49.834544525044,"uncharacterized LOC121894993",23
"24","p4hb",-2.13609035053834,-2.24779895750166,-2.02438174357501,10.2335158549417,-39.1613104877833,4.36593882261008e-26,3.53744194833031e-23,49.6719012921071,"prolyl 4-hydroxylase, beta polypeptide",24
"25","LOC121910123",3.77832594118966,3.57999276619697,3.97665911618234,8.67389578354934,39.0147016553459,4.84286241785409e-26,3.53744194833031e-23,49.6241765860232,"neuronal migration protein doublecortin-like",25
"26","itga11b",-3.93302344917538,-4.13924701878276,-3.726799879568,3.70894576592951,-39.0582220606591,4.69590958969778e-26,3.53744194833031e-23,49.5800526106437,"integrin, alpha 11b",26
"27","lima1a",-3.08568137294404,-3.25060703106069,-2.92075571482738,6.9584508677883,-38.3166107882142,7.97542746718824e-26,5.36387153637429e-23,49.1180665010366,"LIM domain and actin binding 1a",27
"28","pabpc4",7.41043061531213,7.02226137397411,7.79859985665016,8.26799626895466,39.0972814764085,4.56794968232242e-26,3.53744194833031e-23,49.1111830439933,"poly(A) binding protein, cytoplasmic 4 (inducible form)",28
"29","ddost",-2.44902227575191,-2.58151100972934,-2.31653354177447,8.39942544567412,-37.8562873685764,1.11354103056522e-25,6.65492612266887e-23,48.786977157139,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)",29
"30","LOC121909298",-2.32084308131834,-2.44635631673238,-2.19532984590429,9.2504696164872,-37.8687079241329,1.10350131649826e-25,6.65492612266887e-23,48.7600388412023,"calreticulin-like",30
"31","ldha",-2.27199064648454,-2.39531872360244,-2.14866256936663,10.0813665321848,-37.7284369620998,1.22254974244841e-25,6.94293672795569e-23,48.6585412299412,"lactate dehydrogenase A4",31
"32","cnn2",-2.67470254094742,-2.82043199443056,-2.52897308746428,8.82779833938449,-37.5882743921426,1.35483113359995e-25,7.42221656023839e-23,48.5761200750248,"calponin 2",32
"33","unc5db",-3.7594177550788,-3.96354404822112,-3.55529146193647,5.45721320722817,-37.7177583389741,1.23214068288434e-25,6.94293672795569e-23,48.4472541125383,"unc-5 netrin receptor Db",33
"34","LOC121881047",8.95643597798548,8.4853444952479,9.42752746072306,8.72596619231739,38.9362577296837,5.11988071239326e-26,3.60622455035071e-23,48.3518683262146,"actin, alpha cardiac muscle",34
"35","anxa6",4.03532113557123,3.81205971760612,4.25858255353635,7.5259485271668,37.0159293738527,2.06899458855742e-25,1.10283003447377e-22,48.120518538032,"annexin A6",35
"36","cfl1",-2.35958934334269,-2.49181145852575,-2.22736722815964,9.29703674218199,-36.5474062013653,2.93984818544659e-25,1.52578120824678e-22,47.7828178310472,"cofilin 1",36
