"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","LOC121890410",4.35889022303168,4.19228273053714,4.52549771552622,4.82763969160415,53.580361316356,7.23882426446891e-30,1.42764092143856e-25,57.3004709647218,"23 kDa integral membrane protein-like",1
"2","alpl",4.19015376520918,3.9323352569764,4.44797227344196,4.04992767843297,33.2843518054383,3.85439178524451e-24,3.80081573942961e-20,44.4575432398583,"alkaline phosphatase, biomineralization associated",2
"3","clu",2.84897011152138,2.66141368599086,3.03652653705191,8.9064384147029,31.1085794779387,2.45912851285077e-23,1.6166310843481e-19,43.321051408131,"clusterin",3
"4","nes",-3.39341298908589,-3.62784413586542,-3.15898184230636,9.5758568315627,-29.6446031120666,9.18029710085037e-23,4.28573459908979e-19,42.0035391753083,"nestin",4
"5","lpl",3.64201767805744,3.38885299332716,3.89518236278771,8.30914803008289,29.4620634433891,1.08653650722284e-22,4.28573459908979e-19,41.5637799788346,"lipoprotein lipase",5
"6","bmp7b",2.15821781512693,1.99094147910056,2.32549415115331,2.88298750490652,26.4231749528245,2.09487928047076e-21,6.88586819490739e-18,38.8482905374246,"bone morphogenetic protein 7b",6
"7","si:dkey-56m19.5",2.12650421361253,1.95552180080778,2.29748662641727,6.85004514476327,25.4705920922606,5.65391982907928e-21,1.59295152670145e-17,37.92196355961,"cell surface glycoprotein 1",7
"8","ucp2",2.52613198075888,2.32045190596222,2.73181205555554,4.08638654519848,25.1528991730026,7.93344298977956e-21,1.95579203305541e-17,37.5973081013707,"uncoupling protein 2",8
"9","fscn1a",-2.43257091532127,-2.63445088240223,-2.23069094824031,8.87202003997913,-24.6772362607679,1.32721879340607e-20,2.90837878261716e-17,37.1318208835017,"fascin actin-bundling protein 1a",9
"10","fzd2",2.15459840033776,1.97018888161882,2.33900791905671,4.05433957080833,23.9280459005006,3.04123188603582e-20,5.99791752563985e-17,36.2290182232877,"frizzled class receptor 2",10
