"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko01007  Amino acid related enzymes",2.3169431779417,1.95942265342566e-07,6.2701524909621e-06,4.95012038760166e-06,"ko01007","34/4069","67/18578",34,"LOC121887888/tat/alas1/sptlc2b/bcat2/farsb/LOC121880601/LOC121905953/nars1/LOC121912900/oat/sars1/rars1/eprs1/mars1/dars1/si:ch211-217a12.1/LOC121887887/got1/psat1/lars2/alg12/LOC121895901/tars1/LOC121885474/qars1/hars/vars1/farsa/iars1/aars2/LOC121880811/lars1b/kars1"
"2","ko00536  Glycosaminoglycan binding proteins",1.4595401456031,0.000160531081322203,0.00256849730115525,0.00202776102722783,"ko00536","78/4069","244/18578",78,"lpl/bmp7b/wnt6b/tncb/plat/fn1a/LOC121885527/hbegfa/nbl1/LOC121888432/ntn1a/fgfr4/cd44b/wnt7aa/fn1b/fgf13a/LOC121901059/aplp2/fbn2b/pdgfab/fgf5/vegfab/thbs4b/slc8a1b/hyal1/tfpia/col23a1a/tgfb1a/LOC121896717/cemip2/slit1a/ctsba/cxcl12b/LOC121894435/LOC121882333/efna5b/thbs1b/bmp16/col18a1a/LOC121913506/smc1a/serpine2/ntn2/wnt4/col6a2/efna1a/LOC121881170/fgfr2/tnfb/thbs2a/wnt10b/hmmr/si:dkey-246i14.3/acanb/kdrl/vegfaa/col27a1b/slit3/LOC121906878/LOC121886103/LOC121910151/bmp4/fgf7/apoeb/LOC121912090/thbs4a/wnt5a/LOC121903452/anxa5b/slit2/cdc37l1/thbs3a/serpine1/fgf2/bmp6/LOC121900435/LOC121909108/LOC121907218"
"3","ko00535  Proteoglycans",1.63464800099518,0.00292250276509852,0.0284272901681352,0.0224425975011594,"ko00535","29/4069","81/18578",29,"LOC121885527/bgnb/LOC121900512/p3h2/LOC121888432/cd44b/aplp2/dcn/gpc4/col18a1a/LOC121913506/sdc4/aplp1/srgn/sdc3/LOC121894315/acanb/smc3/gpc5c/tgfbr3/LOC121903452/cspg4ba/gpc5a/gpc6a/col12a1a/hspg2/LOC121906205/col12a1b/LOC121907218"
"4","ko04050  Cytokine receptors",1.3814293186129,0.00389676653880728,0.0284272901681352,0.0224425975011594,"ko04050","59/4069","195/18578",59,"fgfr4/pdgfra/met/kitb/LOC121910427/tnfrsf11a/tie1/tgfbr1b/LOC121913625/LOC121893833/tgfbr2b/crlf1a/acvrl1/il11ra/epha2a/LOC121885773/ephb4a/epha4l/tgfbr2l/LOC121906856/LOC121898567/hdr/nradd/ackr3a/ror1/fgfr2/relt/LOC121895308/egfra/epha3/LOC121911203/LOC121913904/LOC121912754/kdrl/ackr4b/tnfrsf19/LOC121896155/ackr4a/ephb2b/il13ra2/lepr/LOC121882015/ghra/bmpr1bb/il10rb/ifnlr1/LOC121907099/LOC121889235/insra/il15ra/LOC121895803/LOC121907378/LOC121902846/LOC121906845/tyro3/LOC121901722/LOC121904884/epha7/il17ra1a"
"5","ko03110  Chaperones and folding catalysts",1.32496012413321,0.00444176408877113,0.0284272901681352,0.0224425975011594,"ko03110","74/4069","255/18578",74,"clu/dnajb13/p3h2/LOC121906130/hsp90b1/pdia4/LOC121909298/serpinh1b/hexb/cct7/LOC121913803/hyou1/tgfb1a/hspb6/dnajb5/unc45b/ctsla/pdia6/calr/serpinh2/dnajc9/unc45a/ctsba/pdia3/LOC121882333/grpel1/LOC121884079/pfdn2/ppib/si:ch211-122f10.4/hspb8/txndc5/cct3/zgc:92429/ctss2.1/dnajb2/ctsc/LOC121881350/hspa9/fkbp7/dnajc3b/rrp8/ppil6/LOC121911736/canx/ppil1/htra4/pcsk7/LOC121898398/arf3a/fkbp11/ctsa/cct4/p4hb/hspa8b/LOC121913021/sec63/hspb11/fkbp1ab/gba3/cdc37l1/hspa4l/bcl3/inhbaa/bag5/LOC121887945/hspb7/furina/rabggtb/htra3b/LOC121888303/fkbp3/ppiaa/cct6a"
"6","ko04052  Cytokines and growth factors",1.44181293735691,0.00601748820450362,0.0320932704240193,0.0253367924400152,"ko04052","42/4069","133/18578",42,"bmp7b/lepa/gas6/bmp8a/fgf13a/gdf10a/pdgfab/cxcl18b/fgf5/vegfab/tnfsf10l/tgfb1a/LOC121896717/angptl4/cxcl12b/LOC121882333/LOC121903253/kitlga/efna5b/bmp16/LOC121881185/efna1a/tnfb/ntf3/bmp1a/si:dkey-246i14.3/ndr2/vegfaa/LOC121885905/LOC121886103/bmp4/fgf7/angpt1/clcf1/angpt4/bdnf/gdf2/efnb1/inhbaa/fgf2/bmp6/il11a"
"7","ko03310  Nuclear receptors",1.45850058709484,0.0311540433204956,0.124616173281983,0.0983811894331441,"ko03310","23/4069","72/18578",23,"LOC121908587/pparg/LOC121894132/nr2f6b/esr2b/nr1d4a/nr1d2a/rarga/nr2f1a/nr3c2/nr3c1/nr2f2/nr2e3/rxraa/raraa/nr1d2b/LOC121912520/roraa/nr1h3/rorca/LOC121909011/LOC121894836/ppardb"
"8","ko03032  DNA replication proteins",1.26640990361519,0.0629519760141493,0.223829248050309,0.176707301092349,"ko03032","38/4069","137/18578",38,"purbb/dnmt1/mcm2/mcm7/rufy2/rpa3/orc3/gins2/rpa1/mcm6/mcm3/lig1/mcm4/rfc2/ccnl1a/top2a/rfc1/pcna/rpa2/fen1/gmnn/prkdc/pold2/cdk2/cdk1/pold1/nop10/pola2/mcm5/parp4/cdc7/cdc6/gins4/ccna2/rfc3/top2b/pole/ccnb1"
"9","ko02044  Secretion system",1.71215286311133,0.116742225460105,0.364804375837085,0.288003454608225,"ko02044","6/4069","16/18578",6,"oxa1l/srpra/srprb/srp14/sec63/LOC121894019"
"10","ko03016  Transfer RNA biogenesis",1.17262199732215,0.125401504193998,0.364804375837085,0.288003454608225,"ko03016","47/4069","183/18578",47,"LOC121887888/nfs1/aimp1b/farsb/xpo1b/LOC121880601/LOC121905953/xrn1/rnaset2/nars1/trmt44/scdb/sars1/rars1/eprs1/mars1/dars1/fam98a/LOC121887887/trmt10a/trmt10b/aimp2/pus1/sephs1/trnt1/rpp21/pxk/lars2/elp1/tsen54/alg12/trmt13/tars1/qars1/ddx1/mocs3/hars/vars1/farsa/iars1/tsen34/aars2/heatr1/lars1b/xpo1a/rpp40/kars1"
