"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","adherens junction","Cellular Component",1.69953640683095,6.59359412403797e-14,5.82675912741236e-10,4.73420058105926e-10,"GO:0005912","161/3369","401/14261",161,"nexn/anxa6/LOC121911622/tgm1l1/asap3/itgb2/LOC121899291/itga7/afap1/kirrel3l/myl9b/itga5/tns2a/ndrg1a/thbs4b/LOC121899381/tanc2b/parvb/niban2a/itga2.2/LOC121908577/actn1/pak1/ctnnd1/cadm2b/actb1/dsc2l/LOC121908668/csrp1b/fat2/desma/limk1a/shroom2a/cav1/jak2a/vaspb/epha2a/dlg5a/itgb3a/si:ch73-22o12.1/ajuba/itgb6/LOC121892127/focad/magi3a/magi1b/LOC121888075/mtf2/efna5b/nrp1a/keap1b/add1/LOC121891921/sdc4/enah/LOC121884975/tns1b/rsu1/LOC121906858/mpp7a/ptprsa/LOC121912372/map2k1/nectin3a/LOC121894730/flii/pals1a/prkci/ezrb/syne2b/mapk3/si:dkey-151g10.3/LOC121899278/LOC121886476/kank1a/LOC121891934/LOC121909901/itgav/LOC121887586/dspa/pdlim7/ctnna1/ctnnb1/LOC121901160/LOC121893985/dlg3/LOC121891951/frmd6/ssx2ipa/arhgap24/LOC121895014/LOC121887522/pip5k1ca/fermt2/plpp3/trip6/itga9/actb2/LOC121895350/sh3kbp1/pik3r2/macf1a/LOC121894558/diaph2/cdca3/flot1b/LOC121882015/LOC121887641/LOC121910149/ccdc88c/tln2b/aif1l/abl1/frmd4bb/LOC121897080/LOC121892428/LOC121903457/thbs4a/zyx/gypc/LOC121893344/LOC121884874/lasp1/itga6b/LOC121895767/LOC121899981/cspg4ba/magi2a/LOC121907944/frmd4ba/thbs3a/LOC121894686/tns1a/LOC121906769/dlc1/armc5/ppfia1/LOC121897715/cdc42ep4b/ahi1/tp53bp2a/nedd9/gja1b/pdpk1b/lima1a/notch2/afdna/itgb5/LOC121907308/nectin1b/LOC121909077/ptk2aa/LOC121909861/sorbs3/nhsa/LOC121888149/pleca/tjp1a/trpv4/ptprk/tln1"
"2",NA,NA,1.99951076247966,2.09911756711327e-13,9.27495097028998e-10,7.53583206593664e-10,"GO:0005924","94/3369","199/14261",94,"nexn/anxa6/LOC121911622/asap3/itgb2/LOC121899291/itga7/afap1/itga5/tns2a/thbs4b/LOC121899381/parvb/itga2.2/LOC121908577/actn1/pak1/actb1/LOC121908668/csrp1b/limk1a/cav1/jak2a/vaspb/epha2a/itgb3a/ajuba/itgb6/focad/LOC121888075/mtf2/nrp1a/keap1b/sdc4/enah/tns1b/rsu1/ptprsa/map2k1/LOC121894730/flii/syne2b/mapk3/LOC121899278/kank1a/itgav/LOC121887586/pdlim7/LOC121901160/LOC121893985/arhgap24/LOC121895014/LOC121887522/pip5k1ca/fermt2/trip6/itga9/actb2/sh3kbp1/pik3r2/macf1a/LOC121894558/LOC121882015/LOC121887641/tln2b/aif1l/abl1/thbs4a/zyx/LOC121893344/lasp1/itga6b/LOC121899981/cspg4ba/thbs3a/LOC121894686/tns1a/dlc1/armc5/ppfia1/LOC121897715/nedd9/pdpk1b/lima1a/afdna/itgb5/LOC121909077/ptk2aa/sorbs3/nhsa/LOC121888149/pleca/trpv4/tln1"
"3","anchoring junction","Cellular Component",1.65860604036806,5.31675197090276e-13,1.56613790556226e-09,1.27247597170273e-09,"GO:0070161","163/3369","416/14261",163,"nexn/anxa6/LOC121911622/tgm1l1/asap3/itgb2/LOC121899291/itga7/afap1/kirrel3l/myl9b/itga5/tns2a/ndrg1a/thbs4b/LOC121899381/tanc2b/parvb/niban2a/itga2.2/LOC121908577/actn1/pak1/ctnnd1/cadm2b/actb1/dsc2l/LOC121908668/csrp1b/fat2/desma/limk1a/shroom2a/cav1/jak2a/vaspb/epha2a/dlg5a/itgb3a/si:ch73-22o12.1/ajuba/itgb6/LOC121892127/focad/magi3a/magi1b/LOC121888075/mtf2/efna5b/nrp1a/keap1b/add1/LOC121891921/sdc4/enah/LOC121884975/tns1b/rsu1/LOC121906858/mpp7a/ptprsa/LOC121912372/map2k1/nectin3a/LOC121894730/flii/pals1a/prkci/ezrb/syne2b/mapk3/si:dkey-151g10.3/LOC121899278/LOC121886476/kank1a/LOC121891934/LOC121909901/itgav/LOC121887586/dspa/pdlim7/ctnna1/ctnnb1/LOC121901160/LOC121893985/dlg3/LOC121891951/frmd6/ssx2ipa/arhgap24/LOC121895014/LOC121887522/pip5k1ca/fermt2/plpp3/trip6/itga9/actb2/ppl/LOC121895350/sh3kbp1/pik3r2/macf1a/LOC121894558/diaph2/cdca3/flot1b/LOC121882015/LOC121887641/LOC121910149/ccdc88c/tln2b/aif1l/abl1/frmd4bb/LOC121897080/LOC121892428/LOC121903457/thbs4a/zyx/gypc/LOC121893344/LOC121884874/lasp1/itga6b/LOC121895767/LOC121899981/cspg4ba/magi2a/LOC121907944/frmd4ba/thbs3a/LOC121894686/tns1a/LOC121906769/dlc1/armc5/ppfia1/LOC121897715/cdc42ep4b/ahi1/tp53bp2a/nedd9/gja1b/pdpk1b/lima1a/notch2/afdna/itgb5/b4galt1l/LOC121907308/nectin1b/LOC121909077/ptk2aa/LOC121909861/sorbs3/nhsa/LOC121888149/pleca/tjp1a/trpv4/ptprk/tln1"
"4","regulation of actin cytoskeleton organization","Biological Process",1.60998977606279,9.92982911151166e-13,2.19374749646071e-09,1.78240432551634e-09,"GO:0032956","178/3369","468/14261",178,"fscn1a/fzd2/LOC121895103/tmeff2a/cav3/asap3/itgb2/LOC121899291/LOC121913056/pdgfra/dnm3b/LOC121887076/met/myl9b/itga5/capgb/LOC121897829/pdgfab/LOC121910427/LOC121899381/plekhg2/parvb/tgfbr1b/arhgef15b/LOC121913625/pak1/ctnnd1/prex1/tgfb1a/dbn1/stmn1b/LOC121897830/f2rl1.2/kank3/gmfg/LOC121908668/limk1a/tgfbr2b/tmod1/shroom2a/LOC121913306/ctsla/vaspb/LOC121898953/itgb3a/LOC121886496/LOC121911868/myadma/LOC121882333/LOC121892127/rapgef3/arhgef5/efna5b/LOC121912469/flna/sh3pxd2b/nrp1a/add1/LOC121880911/sema5a/pik3r1/lrp1ab/sdc4/pdlim4/enah/LOC121898530/LOC121884840/LOC121884975/tmsb2/wnt4/washc2c/tec/LOC121906858/plekhh2/arpc5b/LOC121891909/LOC121882364/fnbp1l/ntf3/epha3/aurkb/lmod3/ezrb/LOC121911286/LOC121903351/wasla/kank1a/itgav/elna/LOC121914078/LOC121885302/ctnnb1/LOC121896107/kank4/spire1a/slc9a1a/bcas3/LOC121913666/wdr1/mef2cb/celsr1a/jmy/baiap2a/LOC121907338/map2k7/triobpb/fhod3b/phldb2a/fermt2/stk11/rgcc/LOC121888854/nck2a/pik3r2/csnk1g2b/LOC121901074/LOC121894558/diaph2/pfn2b/LOC121905206/LOC121910149/dvl2/plek/daam2/arhgef10/si:ch211-203d1.3/abl1/arhgap17b/aldoab/cyth1a/aurka/LOC121893344/capza1a/arfgef1/cpda/LOC121912819/cdc42ep5/LOC121899981/slit2/wash1/cfl2/prkcq/LOC121907944/lpar1/LOC121911706/LOC121908220/lmod1b/crkl/rack1/LOC121901722/LOC121894686/arhgap1/myo3b/LOC121906769/LOC121894670/dlc1/ppfia1/arpc4l/cdc42ep4b/LOC121894735/cyfip1/LOC121906050/lima1a/akap1b/capzb/cdc42ep3/LOC121891815/tsc1b/arhgap18/LOC121907308/inpp5b/LOC121881849/myoc/LOC121909861/sorbs3/gnb2/wasf2/ccn2a"
"5","focal adhesion","Cellular Component",2.00888459584145,2.90306662296369e-12,4.60416088350734e-09,3.74084815475645e-09,"GO:0005925","84/3369","177/14261",84,"anxa6/LOC121911622/asap3/itgb2/LOC121899291/itga7/afap1/itga5/tns2a/LOC121899381/parvb/itga2.2/LOC121908577/actn1/pak1/actb1/LOC121908668/csrp1b/limk1a/cav1/jak2a/vaspb/epha2a/itgb3a/ajuba/itgb6/focad/LOC121888075/mtf2/nrp1a/keap1b/sdc4/enah/tns1b/rsu1/ptprsa/map2k1/LOC121894730/flii/syne2b/mapk3/LOC121899278/itgav/LOC121887586/pdlim7/LOC121901160/LOC121893985/arhgap24/LOC121895014/LOC121887522/pip5k1ca/fermt2/trip6/itga9/actb2/sh3kbp1/pik3r2/LOC121894558/LOC121882015/tln2b/aif1l/zyx/LOC121893344/lasp1/itga6b/LOC121899981/LOC121894686/tns1a/dlc1/armc5/ppfia1/LOC121897715/nedd9/pdpk1b/lima1a/itgb5/LOC121909077/ptk2aa/sorbs3/nhsa/LOC121888149/pleca/trpv4/tln1"
"6","regulation of actomyosin structure organization","Biological Process",2.06359082813891,3.12605695383547e-12,4.60416088350734e-09,3.74084815475645e-09,"GO:0110020","78/3369","160/14261",78,"LOC121895103/tmeff2a/cav3/asap3/itgb2/LOC121899291/LOC121913056/met/itga5/LOC121897829/parvb/tgfbr1b/arhgef15b/LOC121913625/pak1/stmn1b/LOC121897830/kank3/LOC121908668/limk1a/tgfbr2b/LOC121898953/itgb3a/LOC121886496/LOC121882333/rapgef3/arhgef5/sh3pxd2b/nrp1a/LOC121880911/pik3r1/sdc4/pdlim4/LOC121898530/LOC121884975/wnt4/LOC121891909/LOC121882364/aurkb/LOC121903351/itgav/LOC121914078/LOC121896107/kank4/slc9a1a/LOC121913666/mef2cb/fhod3b/phldb2a/stk11/rgcc/LOC121888854/pik3r2/LOC121894558/pfn2b/LOC121905206/daam2/arhgef10/abl1/cyth1a/aurka/LOC121893344/LOC121912819/LOC121899981/prkcq/lpar1/arhgap1/LOC121906769/dlc1/ppfia1/LOC121891815/tsc1b/inpp5b/LOC121881849/myoc/sorbs3/wasf2/ccn2a"
"7","mesenchyme development","Biological Process",1.80264929512769,5.79505298464636e-12,7.31584046075998e-09,5.94406863282298e-09,"GO:0060485","112/3369","263/14261",112,"bmp7b/sema3c/anxa6/loxl3b/fn1a/msx1a/pdgfra/tead1b/vegfab/LOC121910427/nrp2a/LOC121891214/tgfbr1b/LOC121913625/acta2/tgfb1a/LOC121896717/wt1b/edn3b/hey1/cemip2/tgfbr2b/pkd2/ednrba/ednraa/dlg5a/LOC121898953/robo1/frzb/LOC121897079/LOC121882333/kitlga/thbs1b/flna/nrp1a/LOC121909664/pax3b/pef1/acta1b/mdm2/hoxc9a/pdcd6/aldh1a2/wnt4/loxl2a/efna1a/LOC121881170/LOC121906230/fgfr2/hoxd9a/LOC121895308/LOC121905833/epha3/LOC121911203/smo/LOC121883610/mapk3/LOC121899278/LOC121886476/phactr4b/zeb2b/ctnnb1/stat1a/lrp6/LOC121913116/ndr2/rxraa/LOC121909214/zeb2a/fam83d/sh3pxd2aa/vegfaa/hif1aa/mef2cb/hnrnpaba/has2/LOC121889962/her9/tgfbr3/LOC121887119/lgr4/cited4a/LOC121880985/LOC121886103/LOC121903535/pdcd4b/bnc1/bmp4/LOC121908944/foxf1/adam15/LOC121905428/irx1a/spry1/wnt5a/LOC121909008/rdh10a/tbx2b/nusap1/msx2b/LOC121893598/efnb1/tle3a/gja1b/nup133/bnc2/fgf2/htt/nfatc1/pwwp2a/meox1/gsk3ba"
"8","positive regulation of cell adhesion","Biological Process",1.62728729600573,7.27722833093241e-12,8.03860834505622e-09,6.53131242701184e-09,"GO:0045785","158/3369","411/14261",158,"bmp7b/LOC121895103/fbln1/fstl3/fn1a/gli2a/cd44b/LOC121899090/LOC121909298/itga5/adam8a/LOC121906491/LOC121897829/vegfab/LOC121899381/LOC121909219/hyal1/itga2.2/LOC121913625/pak1/prex1/nid1a/tgfb1a/dbn1/LOC121897830/dab2/LOC121904435/LOC121908668/pik3ca/adam19b/tgfbr2b/tfr1b/cav1/slit1a/tgm2b/jak2a/LOC121898953/calr/itgb3a/cxcl12b/myadma/robo1/LOC121894435/LOC121903253/ephb4a/thbs1b/flna/nrp1a/LOC121909664/LOC121892072/LOC121889732/hacd1/stat5a/LOC121885487/LOC121889735/ap3b1a/xbp1/pik3r1/sec24d/sdc4/ada/LOC121884975/LOC121909478/wnt4/prkcaa/washc2c/rsu1/LOC121881170/LOC121889734/tnfb/LOC121909481/sdc3/LOC121894730/hsd17b12a/LOC121903351/dpp4/LOC121908417/LOC121909901/itgav/kifap3a/tenm3/smad7/LOC121909480/ndr2/zmiz1a/vegfaa/ninj1/has2/LOC121887276/slit3/bcl6aa/LOC121882877/triobpb/fhod3b/LOC121897994/raraa/ndnf/cd36/plpp3/LOC121890861/cited4a/washc4/LOC121886103/smoc1/LOC121910151/nck2a/pik3r2/LOC121909107/LOC121887114/LOC121894558/foxf1/flot1b/angpt1/malt1/LOC121885369/LOC121909299/abl1/ccdc80/bmi1a/washc3/smoc2/wnt5a/ptpn11a/akt1/gli3/badb/LOC121912819/cylda/itga6b/LOC121895767/LOC121899981/hmgb1a/slit2/wash1/LOC121893636/gpam/prkcq/efnb1/runx3/LOC121911706/crkl/LOC121897715/sec24c/LOC121906481/ift74/pdpk1b/LOC121906050/tsc1b/LOC121894002/washc5/cdk6/anxa1a/LOC121900435/tfe3b/ptk2aa/LOC121893854/myoc/gsk3ba"
"9","cell-substrate junction","Cellular Component",1.87266661468827,1.41168120551743e-11,1.38611409035083e-08,1.12620789506835e-08,"GO:0030055","96/3369","217/14261",96,"nexn/anxa6/LOC121911622/asap3/itgb2/LOC121899291/itga7/afap1/itga5/tns2a/thbs4b/LOC121899381/parvb/itga2.2/LOC121908577/actn1/pak1/actb1/LOC121908668/csrp1b/limk1a/cav1/jak2a/vaspb/epha2a/itgb3a/ajuba/itgb6/focad/LOC121888075/mtf2/nrp1a/keap1b/sdc4/enah/tns1b/rsu1/LOC121906858/ptprsa/map2k1/LOC121894730/flii/syne2b/mapk3/LOC121899278/kank1a/itgav/LOC121887586/pdlim7/LOC121901160/LOC121893985/arhgap24/LOC121895014/LOC121887522/pip5k1ca/fermt2/trip6/itga9/actb2/sh3kbp1/pik3r2/macf1a/LOC121894558/LOC121882015/LOC121887641/tln2b/aif1l/abl1/thbs4a/zyx/LOC121893344/lasp1/itga6b/LOC121899981/cspg4ba/thbs3a/LOC121894686/tns1a/dlc1/armc5/ppfia1/LOC121897715/nedd9/pdpk1b/lima1a/afdna/LOC121912195/itgb5/LOC121909077/ptk2aa/sorbs3/nhsa/LOC121888149/pleca/trpv4/tln1"
"10","regulation of actin filament bundle assembly","Biological Process",2.05771165199037,4.74903862917344e-11,4.06541703244048e-08,3.30312258604986e-08,"GO:0032231","70/3369","144/14261",70,"fzd2/LOC121895103/tmeff2a/asap3/itgb2/LOC121899291/LOC121887076/met/itga5/LOC121897829/tgfbr1b/arhgef15b/LOC121913625/pak1/dbn1/stmn1b/LOC121897830/kank3/LOC121908668/limk1a/tgfbr2b/LOC121898953/itgb3a/LOC121882333/LOC121892127/rapgef3/arhgef5/flna/sh3pxd2b/nrp1a/pik3r1/sdc4/pdlim4/LOC121898530/wnt4/LOC121891909/LOC121903351/itgav/LOC121914078/kank4/slc9a1a/LOC121913666/LOC121907338/map2k7/fhod3b/phldb2a/rgcc/pik3r2/LOC121894558/pfn2b/dvl2/plek/arhgef10/abl1/LOC121893344/LOC121912819/LOC121899981/prkcq/lpar1/arhgap1/LOC121906769/dlc1/ppfia1/LOC121891815/tsc1b/LOC121907308/myoc/sorbs3/wasf2/ccn2a"
