"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","LOC121890410",3.29796161871743,3.09301501704646,3.5029082203884,4.82763969160415,32.9555914345761,5.06176620897545e-24,9.98281531734138e-20,44.0408690495037,"23 kDa integral membrane protein-like",1
"2","thbs4b",2.2041827825966,2.03737527133866,2.37099029385455,9.01781195945259,27.0617724121166,1.09665813883298e-21,7.20943060468802e-18,39.5438381943148,"thrombospondin 4b",2
"3","loxa",2.65915644694999,2.45804293508355,2.86026995881644,6.27201097959734,27.0786415724661,1.07827562893274e-21,7.20943060468802e-18,39.3521853530067,"lysyl oxidase a",3
"4","LOC121885590",-1.6963511303469,-1.83038536561562,-1.56231689507818,7.75300619529024,-25.9193583522615,3.52689979408479e-21,1.41727400383512e-17,38.4381215285044,"betaine--homocysteine S-methyltransferase 1-like",4
"5","myl13",-2.24312764210265,-2.42048646627796,-2.06576881792734,6.29763819790784,-25.9015301315505,3.59312950977366e-21,1.41727400383512e-17,38.433687109556,"myosin, light chain 13",5
"6","fbln1",1.87552572893706,1.72279513119456,2.02825632667956,7.59862388933903,25.1490282819222,7.96644706639527e-21,2.5646074799601e-17,37.6225051206296,"fibulin 1",6
"7","atp2a1",2.29267819944244,2.10412042465558,2.4812359742293,6.33428795712642,24.9013499398607,1.04030320655516e-20,2.5646074799601e-17,37.3694165006991,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",7
"8","LOC121897605",4.72832154757862,4.33951816467355,5.11712493048369,4.63335779364651,24.9058404919992,1.03525968148881e-20,2.5646074799601e-17,36.8942802338167,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",8
"9","elna",-1.75593923256005,-1.90987226755914,-1.60200619756096,5.63838304758909,-23.3615623966085,5.78380274222479e-20,1.26742397424619e-16,35.5813862213877,"elastin a",9
"10","gapdh",2.96313327199984,2.69751743157098,3.22874911242869,6.90067089897593,22.8465931656751,1.05041648839999e-19,2.07163139842247e-16,35.0640941045197,"glyceraldehyde-3-phosphate dehydrogenase",10
"11","LOC121904287",2.68405591913144,2.44001871544056,2.92809312282232,4.62290609669395,22.5247383092666,1.53467543948345e-19,2.75153354704477e-16,34.486631687344,"uncharacterized LOC121904287",11
"12","atp2a1l",1.93734740210268,1.7507230212248,2.12397178298056,8.16514636935053,21.2600048460569,7.1472713118364e-19,1.08429603701567e-15,33.1242050160753,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like",12
"13","LOC121912895",-4.14026803209651,-4.52052917212949,-3.76000689206353,5.64862556004913,-22.2982482325606,2.00981999765894e-19,3.30313916615247e-16,32.6666737745868,"tubulin beta chain-like",13
"14","myom2a",2.06478820369396,1.85920607469918,2.27037033268875,6.22102177023459,20.5690571838247,1.71480412236762e-18,2.25462446008895e-15,32.2917682150623,"myomesin 2a",14
"15","LOC121910722",1.94865007138265,1.75371559785278,2.14358454491252,7.6145827767825,20.4724322564247,1.94204818324236e-18,2.39381714186911e-15,32.1658723594462,"periostin-like",15
"16","hsc70",2.15206836819208,1.9354077423985,2.36872899398565,5.35677666817478,20.3423117358641,2.29824241018977e-18,2.66623157728015e-15,31.9754979120274,"heat shock cognate 70",16
"17","abi3bpb",3.44485020973021,3.10256408520872,3.78713633425169,2.65918270480718,20.6112951677519,1.62427492600081e-18,2.25462446008895e-15,31.9573599291114,"ABI family, member 3 (NESH) binding protein b",17
"18","itgbl1",1.99634601300066,1.787496474474,2.20519555152732,5.47435482384925,19.5761160642681,6.31734216526576e-18,6.92170123240952e-15,30.9177961033141,"integrin, beta-like 1",18
"19","LOC121882471",2.04386221524816,1.82449951241508,2.26322491808125,7.09317680201192,19.0815241292493,1.23596734915943e-17,1.21878740300611e-14,30.3195232124654,"serine protease 23-like",19
"20","LOC121889464",-2.85587115939151,-3.15561981442669,-2.55612250435632,4.29789365278081,-19.5121713873567,6.88425508161214e-18,7.1458567747134e-15,30.2756862849815,"eukaryotic translation initiation factor 5A-1",20
"21","LOC121908475",2.03446333069885,1.81287469020286,2.25605197119484,3.77011477427134,18.8029767036367,1.81568691603139e-17,1.70518939799862e-14,29.8739155763129,"supervillin-like",21
"22","tgfbi",1.86971897625062,1.66462477544344,2.0748131770578,10.0566042268591,18.6701234561461,2.1850290594952e-17,1.95877923233475e-14,29.7263248561894,"transforming growth factor, beta-induced",22
"23","serpinf1",1.73462167463861,1.5389891520476,1.93025419722962,4.97810768079311,18.1588335679232,4.50374521551566e-17,3.86186361479999e-14,29.0096531834876,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",23
"24","LOC121897792",2.50899499882883,2.22281857380714,2.79517142385053,7.43470426314387,17.9551970640023,6.03637960089975e-17,4.96039493703937e-14,28.6907098483618,"myosin heavy chain, fast skeletal muscle-like",24
"25","LOC121897791",2.55018789529307,2.25495145419316,2.84542433639298,7.63370998137794,17.6899437892329,8.87787691693156e-17,6.73421109829709e-14,28.2905207455352,"myosin heavy chain, fast skeletal muscle-like",25
"26","frem1b",3.66403377395319,3.2398953169574,4.08817223094898,5.35589099721085,17.6919641455364,8.85166765050044e-17,6.73421109829709e-14,27.8987521891126,"Fras1 related extracellular matrix 1b",26
"27","frem1a",-2.86212054635938,-3.19671130510134,-2.52752978761741,3.42203076068566,-17.5185523001891,1.14205406966248e-16,8.04413941495837e-14,27.8498115133765,"Fras1 related extracellular matrix 1a",27
"28","colec12",2.38268009317246,2.10132836079934,2.66403182554558,4.80515940777066,17.3436450676325,1.47991355872647e-16,1.00644328293805e-13,27.7144333105987,"collectin sub-family member 12",28
"29","LOC121899156",2.385240397453,2.10135192015814,2.66912887474786,4.64037679536913,17.207137345349,1.81441756012839e-16,1.15432074583394e-13,27.6504195998595,"alpha-2-macroglobulin",29
"30","LOC121911359",-2.84102186741424,-3.17212429661493,-2.50991943821354,3.33959285290057,-17.5726170135367,1.05459905629239e-16,7.70326021785128e-14,27.3632772136292,"high-affinity choline transporter 1-like",30
"31","alpl",1.75689040836947,1.54491985574832,1.96886096099062,4.04992767843297,16.9743586547699,2.57637639734324e-16,1.5878529783876e-13,27.3037802466866,"alkaline phosphatase, biomineralization associated",31
"32","myl2a",-3.70067945391309,-4.13839635157219,-3.262962556254,2.17206966340348,-17.3145971263777,1.54532548136988e-16,1.01589697145256e-13,27.2853370293625,"myosin, light chain 2a, regulatory, cardiac, slow",32
"33","numbl",2.39848098559214,2.10206549384693,2.69489647733734,3.47551753705097,16.5714158802922,4.77229125165804e-16,2.85209478985454e-13,26.3999448106205,"NUMB like endocytic adaptor protein",33
"34","tnnt2e",-2.20031895411081,-2.47550737895418,-1.92513052926745,2.96566345792723,-16.3749397973497,6.47459628921198e-16,3.7556467063482e-13,26.2770269778509,"troponin T2e, cardiac",34
"35","nanos1",1.34216426590624,1.16787330303148,1.51645522878099,4.86035332845286,15.7708476779515,1.68589293891051e-15,9.49976586891231e-13,25.4435144350237,"nanos homolog 1",35
"36","srpx2",1.33834690393904,1.1608809881788,1.51581281969929,7.30188436148212,15.4446467143856,2.86167002092601e-15,1.56771822646397e-12,24.9054327792049,"sushi-repeat containing protein X-linked 2",36
"37","tagln",-1.13542987847996,-1.28966305448613,-0.981196702473791,9.54758791004934,-15.0767158933438,5.25400670412099e-15,2.80052757347768e-12,24.1689066988978,"transgelin",37
"38","crispld2",-1.67152658035427,-1.90128248453583,-1.44177067617271,5.78945869429632,-14.899470716834,7.07008338347969e-15,3.48590461222466e-12,24.0127278599519,"cysteine-rich secretory protein LCCL domain containing 2",38
"39","pcolcea",1.24449965018149,1.07411385847271,1.41488544189027,9.37691665855263,14.9584170250075,6.40342051563205e-15,3.32337524761303e-12,24.0014314471212,"procollagen C-endopeptidase enhancer a",39
"40","aebp1b",1.05007002899269,0.906031847915545,1.19410821006983,7.60462135273853,14.9301739978999,6.71435119147526e-15,3.39539574867372e-12,23.9145319116902,"AE binding protein 1b",40
"41","LOC121897794",2.63117988918463,2.26350530044116,2.99885447792811,4.66392826132875,14.6558550202479,1.06810021235674e-14,4.96160211116424e-12,23.6009845427153,"myosin heavy chain, fast skeletal muscle-like",41
"42","LOC121911893",-1.0864502090917,-1.23834545229111,-0.934554965892284,1.38904891104536,-14.6483898169726,1.08178121275764e-14,4.96160211116424e-12,23.5740057787466,"protein snail homolog Sna-like",42
"43","myom2b",1.36674149055879,1.17540600425575,1.55807697686183,5.60328561342177,14.6290151117532,1.11813744319377e-14,5.01179696696991e-12,23.4594428720088,"myomesin 2b",43
