"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko03011  Ribosome",1.5181320956722,0.000341982988205671,0.00414447566787671,0.00327195447463951,"ko03011","59/3861","187/18578",59,"rps4x/LOC121884171/tpd52/LOC121899952/rpl34/mrps22/mrps18a/mrps23/LOC121889849/mrpl28/mrpl52/mrpl47/rplp0/mrps15/dap3/mrpl19/mrpl42/mrps28/mrpl53/mrpl21/mrpl12/dnajc1/pebp1/mrpl44/mrps7/mrps21/cand2/mrpl36/mrps25/LOC121900133/igf2bp2a/rps25/mrpl41/mrpl16/rpl22l1/mccc2/mrpl46/mrpl49/mrpl3/mrps34/mrps6/mrpl27/mrpl17/mrpl11/rpl5a/rpl36/mrpl35/mrps18b/rpl23a/mrpl1/mrpl30/rpl21/rpl35a/rps3/rps24/LOC121886909/LOC121900605/rpl39/LOC121900367"
"2","ko03110  Chaperones and folding catalysts",1.4340773242734,0.000388544593863441,0.00414447566787671,0.00327195447463951,"ko03110","76/3861","255/18578",76,"hsc70/clu/pcsk9/grpel1/unc45b/hexb/hspa8b/cct7/ctsa/dnajb5/pdia3/ctsba/LOC121882333/nagk/fkbp9/txn/pfdn2/LOC121903668/hsp90b1/furina/ctsc/LOC121909298/hspb7/hspa4l/pin1/LOC121895647/dnajc15/glrx/LOC121893690/unc45a/LOC121884079/calr/tgfb1a/hsp90aa1.1/gba3/fkbp7/dnajc5ab/dnaja2b/ppifa/dnajc1/serpinh2/calr3a/LOC121906711/inhbb/vwf/clgn/p3h2/dnaja2a/inhbaa/LOC121883956/ppie/pdia5/pcsk5b/dnajb1a/pfdn4/ppil1/tpp1/ppiaa/ctss2.1/rrp8/dnajc19/glrx5/LOC121907980/txndc5/tpp2/dnajc8/fkbp2/dnajc9/LOC121909827/pcsk7/dnajc10/hspd1/pdia6/LOC121906130/fkbp3/ctsla"
"3","ko03009  Ribosome biogenesis",1.33273893705548,0.00339647338019155,0.0271717870415324,0.0214514108222624,"ko03009","77/3861","278/18578",77,"hsc70/abce1/ncl/hspa8b/slit1a/nop10/bud23/pelp1/atp8a1/LOC121884395/atp8a2/dhx15/ebna1bp2/LOC121911690/bxdc2/wdr18/emg1/LOC121888247/cmss1/rcl1/styx/senp3b/nop58/rpf1/LOC121895902/pa2g4b/tnpo1/nhp2/ftsj1/nop53/eif4a3/tsr1/gtf2h2/sbds/LOC121887041/utp11/LOC121889226/LOC121904493/rrs1/rpf2/nop56/tbl2/lsg1/ftsj3/tfb1m/rrp8/mrto4/ddx52/rrp9/fcf1/smfn/lyar/ighmbp2/nmd3/gtpbp4/rsl1d1/utp23/utp18/bop1/mak16/bmt2/LOC121908985/mrm3a/utp25/wdr12/imp3/LOC121883940/ak6/gar1/riok2/ddx10/pak1ip1/ipo9/dkc1/znf593/eif2a/fbl"
"4","ko00536  Glycosaminoglycan binding proteins",1.28180714246288,0.0161655487705541,0.0738996515225331,0.0583418301493682,"ko00536","65/3861","244/18578",65,"thbs4b/thbs2a/col6a2/col6a1/ntn1b/nbl1/bmp7b/ntn1a/col11a2/LOC121887134/serpine1/serpine2/thbs4a/slit1a/LOC121913506/fbn2b/wnt6b/fn1b/fgfr1a/bmp5/LOC121885954/ctsba/LOC121882333/plat/LOC121881170/col5a1/LOC121899965/plaub/LOC121910151/LOC121885527/proza/LOC121896717/col23a1a/fgf18a/col6a3/LOC121883727/fn1a/hbegfa/ntn2/tnn/tgfb1a/LOC121904301/mrvi1/ncam1b/col13a1/fgfr4/thbs1b/LOC121906878/fgf8b/tlr18/fgfr2/bmp16/bmp4/il10/fgf5/LOC121888794/LOC121910242/LOC121909394/hmmr/LOC121912673/cd44b/tncb/LOC121909108/fgf13a/LOC121905979"
"5","ko03041  Spliceosome",1.16182442378342,0.0465775402667621,0.186310161067048,0.147086969263459,"ko03041","106/3861","439/18578",106,"hsc70/LOC121912691/LOC121888854/sf3b2/serbp1b/thrap3a/hspa8b/LOC121884395/LOC121901491/dhx15/LOC121898580/LOC121906115/LOC121911690/ybx1/acin1b/LOC121912560/LOC121912702/snrpa/LOC121906921/hnrnph1/taf15/LOC121889136/magoh/u2af1/LOC121889523/ccdc12/rbm14b/rbm8a/zmat2/LOC121904691/srsf3b/LOC121882570/hnrnpa1b/sf3b5/prmt5/cirbpa/prpf38a/gemin6/lsm7/eif4a3/b3gat3/LOC121882041/prpf38b/LOC121885442/LOC121908544/khdrbs1a/LOC121887041/pqbp1/LOC121900668/ncbp2/lsm4/thoc7/cdk11b/LOC121884827/LOC121889408/ppie/srsf1a/snw1/LOC121908128/thoc5/hnrnpm/tcerg1b/slc30a7/slx1b/igf2bp2a/ints11/ppil1/ilf2/znf830/wdr83/tet2/LOC121884269/prpf39/rbfox1l/fubp3/bud13/hnrnpul1/alyref/snrpb/xrcc6/LOC121908382/snrpe/LOC121899224/zgc:158803/snrpd1/dnajc8/snrpf/srsf11/ints2/LOC121910760/lsm8/rbm39a/thrap3b/sf3b4/snrpd3l/LOC121887979/nono/txnl4a/snrpc/LOC121884644/bud31/LOC121888619/srsf4/LOC121880783/srrm2/rbm25b"
"6","ko03012  Translation factors",1.3004613004613,0.0688310329775049,0.244732561697795,0.193209917129838,"ko03012","30/3861","111/18578",30,"LOC121889464/LOC121912691/dph7/eif4a1a/slit1a/eef1db/gfm1/LOC121908547/eif4e2rs1/eif3k/eif2s1b/eif1axb/eif5/abcf3/eif2b5/eif4a3/tsfm/eif4eb/LOC121898492/LOC121894006/eif3g/dph2/eif2b3/mterf3/abcf1/ighmbp2/trmt112/LOC121884547/eif5b/eif2a"
"7","ko03029  Mitochondrial biogenesis",1.12591815020071,0.0928436868815764,0.297099798021045,0.234552472121877,"ko03029","106/3861","453/18578",106,"hsc70/LOC121887888/ryr3/grpel1/oxa1l/hspa8b/actc1a/sh3glb1a/acta2/gfm1/nfs1/si:dkey-251i10.1/fis1/mrps22/ccnl1a/zgc:112271/calcoco2/nfe2l1b/LOC121890155/myo5c/LOC121898843/ecsit/dnajc15/timm22/actb1/slc25a5/LOC121885842/mffa/slc25a4/immp2l/LOC121881346/hsp90aa1.1/tomm20a/bnip3la/nubpl/timm13/atg4b/dap3/dnaja2b/LOC121909162/atad3/acta1b/timm9/ryr1b/nedd4a/cpt1ab/timm8b/LOC121907359/tsfm/LOC121906711/LOC121889226/LOC121912908/timm17a/dnaja2a/atg4c/atg9a/chchd4a/immp1l/crtc1a/pink1/fdx2/LOC121888193/LOC121883696/atg12/chchd4b/letm2/timm44/tomm5/atpaf1/gabarapl2/ulk2/ttc19/LOC121881294/LOC121893709/mterf3/LOC121911730/sdhaf1/tfb1m/zgc:110319/dnajc19/myo5aa/tomm40/LOC121893682/mrps6/glrx5/lyrm7/LOC121900376/LOC121903410/birc2/sumo2a/LOC121883914/acaa2/LOC121908996/LOC121886711/phb/polg/atg16l1/LOC121881047/LOC121901076/LOC121880594/atp5mj/hsd17b10/hspd1/atp5md/nfe2l2a/lonp1"
"8","ko04050  Cytokine receptors",1.15974471871908,0.144934323844028,0.404709361488718,0.319507390648988,"ko04050","47/3861","195/18578",47,"pdgfra/epha2a/tnfrsf1a/LOC121908664/bmpr1ba/ackr3a/bmpr1bb/nradd/ackr4b/LOC121910427/fgfr1a/LOC121899214/LOC121913625/ghra/il11ra/egfra/ror1/ddr2a/tgfbr2l/tie1/LOC121907292/tnfrsfa/LOC121893833/lepr/epha4l/fgfr4/tnfrsf11a/LOC121892016/LOC121904884/ptk7b/fgfr2/LOC121896924/LOC121895308/LOC121888167/ephb2b/ddr2l/kitb/ddr1/LOC121911203/LOC121887719/LOC121892375/epha2b/LOC121882015/musk/acvrl1/tnfrsf19/LOC121892361"
"9","ko03310  Nuclear receptors",1.26975596420041,0.151766010558269,0.404709361488718,0.319507390648988,"ko03310","19/3861","72/18578",19,"pparg/LOC121894706/LOC121901900/nr1d2a/nr3c1/nr2e3/LOC121894132/nr2f1a/roraa/LOC121903474/nr3c2/LOC121885442/nr2f6b/ar/pgr/nr5a2/nr2f2/nr1h3/LOC121887979"
"10","ko04052  Cytokines and growth factors",1.157703894546,0.20205465384493,0.487356498889441,0.38475513070219,"ko04052","32/3861","133/18578",32,"lepa/bmp7b/cxcl18b/gas6/bmp1a/angpt1/pdgfd/LOC121891770/ccl44/bmp5/angptl4/LOC121882333/gdf10a/vegfd/LOC121896717/fgf18a/LOC121883727/tgfb1a/LOC121881185/fgf8b/inhbb/bmp16/il11a/bmp4/inhbaa/il10/igf1/fgf5/ntf3/LOC121910242/mstnb/fgf13a"
