"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","myofibril","Cellular Component",1.90233406837356,6.49971124693012e-19,5.71844595504912e-15,5.03009232499265e-15,"GO:0030016","162/3106","391/14261",162,"atp2a1/gapdh/atp2a1l/myom2a/LOC121908475/myl2a/tnnt2e/myom2b/LOC121883517/pdlim5a/LOC121893746/LOC121893745/LOC121909097/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121888854/LOC121883513/LOC121912146/LOC121883509/LOC121894285/itgb2/LOC121884030/LOC121883515/LOC121883532/capn3b/ryr3/mypn/LOC121892103/actn1/LOC121910885/LOC121883511/myl1/LOC121904032/LOC121894670/casq2/myh7l/unc45b/lmod1b/mybpha/igfn1.1/LOC121883528/capzb/obscna/csrp1b/cavin4b/nexn/itga8/syne2b/ablim2/LOC121896926/fermt2/acta2/LOC121894558/casq1b/LOC121895500/itgav/itgb1a/LOC121888075/LOC121908040/LOC121890607/itga5/LOC121884840/arhgef25b/tnnc1a/myot/myoz1a/LOC121912256/gpd1b/arhgef25a/daam2/myom3/LOC121894571/LOC121887586/aldoab/tmod4/LOC121895103/pgm1/capn1/cmya5/cacna1c/smpx/LOC121897830/LOC121883530/calm3a/tmod2/csrp1a/desma/actb1/LOC121895409/LOC121892319/LOC121906921/LOC121880591/scn1laa/LOC121909093/csrp2/LOC121894730/LOC121907988/hsp90aa1.1/cavin4a/synm/myom1b/sgcg/LOC121887276/acta1b/mybpc3/LOC121906924/adra1ab/tnnt2a/ryr1b/capn2b/LOC121882041/LOC121882242/LOC121883377/LOC121908544/LOC121882802/LOC121897829/LOC121889157/LOC121906789/actn3b/pak1/LOC121906032/LOC121900514/igfn1.4/capn8/itgb3b/LOC121884700/flna/LOC121898947/myoz2b/LOC121883510/LOC121882009/pgm5/cspg4/pgk1/myod1/psma6a/LOC121887522/LOC121895055/fbp2/dmd/glrx3/tpm4a/LOC121883403/svila/LOC121908041/ankhd1/myl9b/actn2b/LOC121907980/cops5/LOC121899381/jupa/gapdhs/wdr1/klhl40b/capza1b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"2","contractile fiber","Cellular Component",1.8299995235951,1.71335833487318e-17,7.53706331510712e-14,6.62979498841454e-14,"GO:0043292","167/3106","419/14261",167,"atp2a1/gapdh/atp2a1l/myom2a/LOC121908475/myl2a/tnnt2e/myom2b/LOC121883517/pdlim5a/LOC121893746/LOC121893745/LOC121909097/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121888854/LOC121883513/LOC121912146/LOC121883509/LOC121894285/itgb2/LOC121884030/LOC121883515/LOC121883532/capn3b/ryr3/mypn/LOC121892103/actn1/LOC121910885/LOC121883511/myl1/LOC121904032/LOC121894670/casq2/myh7l/unc45b/lmod1b/mybpha/igfn1.1/LOC121883528/capzb/obscna/csrp1b/cavin4b/nexn/itga8/syne2b/ablim2/LOC121896926/fermt2/acta2/zgc:153867/LOC121894558/casq1b/LOC121895500/itgav/itgb1a/LOC121888075/LOC121908040/LOC121890607/itga5/LOC121884840/arhgef25b/mylpfb/tnnc1a/myot/myoz1a/LOC121912256/gpd1b/arhgef25a/daam2/myom3/LOC121894571/LOC121887586/aldoab/tmod4/LOC121895103/pgm1/capn1/cmya5/cacna1c/smpx/LOC121897830/LOC121883530/calm3a/tmod2/csrp1a/desma/actb1/LOC121895409/LOC121892319/LOC121906921/LOC121880591/scn1laa/LOC121909093/csrp2/LOC121894730/LOC121907988/hsp90aa1.1/cavin4a/synm/myom1b/sgcg/LOC121887276/acta1b/mybpc3/LOC121906924/adra1ab/tnnt2a/ryr1b/capn2b/LOC121882041/LOC121882242/LOC121883377/LOC121908544/LOC121882802/LOC121897829/LOC121889157/LOC121906789/actn3b/pak1/LOC121906032/LOC121900514/igfn1.4/capn8/itgb3b/LOC121884700/flna/LOC121898947/myoz2b/LOC121883510/LOC121882009/pgm5/cspg4/pgk1/myod1/psma6a/LOC121887522/LOC121895055/fbp2/dmd/glrx3/tpm4a/LOC121883403/svila/LOC121908041/ankhd1/myl9b/actn2b/LOC121907980/cops5/LOC121882695/LOC121899381/jupa/dbi/LOC121880812/gapdhs/wdr1/klhl40b/capza1b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"3","sarcomere","Cellular Component",1.8936430673637,5.93460366973422e-17,1.74042143621072e-13,1.53091951508372e-13,"GO:0030017","146/3106","354/14261",146,"atp2a1/gapdh/atp2a1l/myom2a/myl2a/tnnt2e/myom2b/LOC121883517/pdlim5a/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121912146/LOC121883509/LOC121894285/itgb2/LOC121884030/LOC121883515/LOC121883532/capn3b/ryr3/mypn/LOC121892103/actn1/LOC121910885/LOC121883511/myl1/LOC121904032/casq2/myh7l/unc45b/lmod1b/mybpha/igfn1.1/LOC121883528/capzb/obscna/csrp1b/cavin4b/nexn/itga8/syne2b/LOC121896926/fermt2/acta2/LOC121894558/casq1b/LOC121895500/itgav/itgb1a/LOC121888075/LOC121908040/itga5/LOC121884840/tnnc1a/myot/myoz1a/LOC121912256/gpd1b/daam2/myom3/LOC121894571/LOC121887586/aldoab/tmod4/LOC121895103/pgm1/capn1/cmya5/cacna1c/smpx/LOC121897830/LOC121883530/calm3a/tmod2/csrp1a/desma/actb1/LOC121895409/LOC121892319/LOC121906921/LOC121880591/scn1laa/LOC121909093/csrp2/LOC121894730/LOC121907988/hsp90aa1.1/cavin4a/synm/myom1b/LOC121887276/acta1b/mybpc3/LOC121906924/adra1ab/tnnt2a/ryr1b/capn2b/LOC121882242/LOC121883377/LOC121908544/LOC121882802/LOC121897829/LOC121889157/LOC121906789/actn3b/pak1/LOC121906032/LOC121900514/igfn1.4/capn8/itgb3b/LOC121884700/flna/myoz2b/LOC121883510/LOC121882009/pgm5/cspg4/pgk1/psma6a/LOC121887522/LOC121895055/fbp2/dmd/glrx3/tpm4a/LOC121883403/LOC121908041/ankhd1/myl9b/actn2b/LOC121907980/cops5/jupa/gapdhs/klhl40b/capza1b/LOC121895662/LOC121892381/tnnt3a"
"4",NA,NA,1.82720409477378,2.39916979998006e-16,5.27697397505615e-13,4.64176220248775e-13,"GO:0044449","156/3106","392/14261",156,"atp2a1/gapdh/atp2a1l/myom2a/LOC121908475/myl2a/tnnt2e/myom2b/LOC121883517/pdlim5a/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121912146/LOC121883509/LOC121894285/itgb2/LOC121884030/LOC121883515/LOC121883532/capn3b/ryr3/mypn/LOC121892103/actn1/LOC121910885/LOC121883511/myl1/LOC121904032/casq2/myh7l/unc45b/lmod1b/mybpha/igfn1.1/LOC121883528/capzb/obscna/csrp1b/cavin4b/nexn/itga8/syne2b/LOC121896926/fermt2/acta2/zgc:153867/LOC121894558/casq1b/LOC121895500/itgav/itgb1a/LOC121888075/LOC121908040/LOC121890607/itga5/LOC121884840/mylpfb/tnnc1a/myot/myoz1a/LOC121912256/gpd1b/daam2/myom3/LOC121894571/LOC121887586/aldoab/tmod4/LOC121895103/pgm1/capn1/cmya5/cacna1c/smpx/LOC121897830/LOC121883530/calm3a/tmod2/csrp1a/desma/actb1/LOC121895409/LOC121892319/LOC121906921/LOC121880591/scn1laa/LOC121909093/csrp2/LOC121894730/LOC121907988/hsp90aa1.1/cavin4a/synm/myom1b/sgcg/LOC121887276/acta1b/mybpc3/LOC121906924/adra1ab/tnnt2a/ryr1b/capn2b/LOC121882242/LOC121883377/LOC121908544/LOC121882802/LOC121897829/LOC121889157/LOC121906789/actn3b/pak1/LOC121906032/LOC121900514/igfn1.4/capn8/itgb3b/LOC121884700/flna/myoz2b/LOC121883510/LOC121882009/pgm5/cspg4/pgk1/psma6a/LOC121887522/LOC121895055/fbp2/dmd/glrx3/tpm4a/LOC121883403/svila/LOC121908041/ankhd1/myl9b/actn2b/LOC121907980/cops5/LOC121882695/LOC121899381/jupa/LOC121880812/gapdhs/klhl40b/capza1b/LOC121895662/LOC121896866/LOC121892381/tnnt3a"
"5","muscle tissue development","Biological Process",1.69214892272718,4.38411646847936e-13,7.71429133793628e-10,6.78568932131795e-10,"GO:0060537","157/3106","426/14261",157,"elna/LOC121908475/myl2a/pdlim5a/dcn/hey1/LOC121901062/pdgfra/LOC121908042/LOC121888854/LOC121899291/LOC121895699/bmp7b/lamb1b/mypn/LOC121892103/actn1/LOC121894507/myh7l/unc45b/lamb1a/angpt1/hspa8b/csrp1b/cavin4b/nexn/cav1/itga8/LOC121910427/LOC121896926/fermt2/acta2/zgc:153867/fgfr1a/casq1b/bmp5/LOC121895500/schip1/tead1b/sema3c/itgb1a/ctsba/skila/LOC121908040/LOC121912251/tgfbr3/mylpfb/tnnc1a/itga7/popdc2/smyd1b/map2k4a/LOC121908547/LOC121882004/LOC121894706/spegb/pax7a/kdm6ba/LOC121907117/LOC121895103/LOC121909298/ripor2/LOC121884818/LOC121880985/LOC121881849/acadm/bves/LOC121897830/sox6/notch2/csrp1a/LOC121908601/LOC121899333/disp1/actb1/kif5ab/LOC121892319/LOC121909214/LOC121907292/tp63/alpk3a/eya1/calr/LOC121908635/csrp2/LOC121896089/dspa/tgfb1a/LOC121887119/cavin4a/cited4a/tbx18/sgcg/acta1b/mybpc3/gja5a/adra1ab/tnnt2a/maml1/dla/nfatc3a/ryr1b/hmg20b/LOC121905833/LOC121882041/tead1a/aldh1a2/LOC121883377/p2rx5/LOC121908544/osr1/calr3a/fgfr2/LOC121897829/LOC121894579/LOC121906032/sin3b/bmp4/sirt6/snw1/LOC121887066/arid1ab/timm44/nr2f2/myod1/foxo3b/slc9a1a/sik1/psma6a/LOC121910242/dmd/LOC121905206/smad1/LOC121911203/mstnb/svila/LOC121908041/rbfox1l/fadd/LOC121913056/LOC121907944/myog/LOC121892100/actn2b/LOC121903818/LOC121903410/nr1h3/gpx1b/mef2aa/chd7/notch1a/ptenb/kat2a/rbm24a/chrnd/klhl40b/LOC121892381"
"6","muscle filament sliding","Biological Process",2.91519741616329,1.13144765207563e-12,1.65907940716023e-09,1.45936897158948e-09,"GO:0030049","40/3106","63/14261",40,"myl2a/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/myl1/myh7l/LOC121883528/zgc:153867/LOC121908040/tnnc1a/LOC121895103/LOC121897830/LOC121883530/desma/acta1b/mybpc3/tnnt2a/LOC121883377/LOC121897829/actn3b/LOC121884700/LOC121909171/LOC121883510/LOC121895055/dmd/tpm4a/LOC121908041/actn2b/tnnt3a"
"7","actin-myosin filament sliding","Biological Process",2.80968467386186,3.45165638753345e-12,4.33823898535989e-09,3.81602673099938e-09,"GO:0033275","41/3106","67/14261",41,"myl2a/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/myl1/myh7l/LOC121883528/zgc:153867/LOC121908040/tnnc1a/LOC121895103/LOC121897830/LOC121883530/desma/LOC121900142/acta1b/mybpc3/tnnt2a/LOC121883377/LOC121897829/actn3b/LOC121884700/LOC121909171/LOC121883510/LOC121895055/dmd/tpm4a/LOC121908041/actn2b/tnnt3a"
"8","muscle myosin complex","Cellular Component",3.15661220218931,4.03671031561299e-12,4.43937216959539e-09,3.90498608426141e-09,"GO:0005859","33/3106","48/14261",33,"myom2a/myom2b/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/myl1/myh7l/mybpha/LOC121883528/obscna/zgc:153867/LOC121908040/mylpfb/myom3/LOC121883530/myom1b/mybpc3/LOC121883377/LOC121884700/LOC121883510/LOC121908041/myl9b"
"9","myosin II complex","Cellular Component",3.03208033143399,5.47025219639617e-12,5.34747542487706e-09,4.70377709332218e-09,"GO:0016460","35/3106","53/14261",35,"myom2a/myom2b/LOC121883517/LOC121893746/LOC121893745/LOC121883514/LOC121883529/LOC121908042/LOC121883527/LOC121883513/LOC121883509/LOC121894285/LOC121884030/LOC121883515/LOC121883532/LOC121883511/myl1/myh7l/mybpha/LOC121883528/obscna/zgc:153867/LOC121908040/mylpfb/myom3/LOC121883530/myom1b/mybpc3/LOC121883377/LOC121906032/LOC121884700/LOC121883510/LOC121883403/LOC121908041/myl9b"
"10","striated muscle tissue development","Biological Process",1.6675364324546,1.05627088260488e-11,9.29307122515775e-09,8.17442476727483e-09,"GO:0014706","146/3106","402/14261",146,"elna/LOC121908475/myl2a/pdlim5a/dcn/hey1/LOC121901062/pdgfra/LOC121908042/LOC121888854/LOC121899291/LOC121895699/bmp7b/lamb1b/mypn/LOC121892103/actn1/LOC121894507/myh7l/unc45b/lamb1a/angpt1/hspa8b/cavin4b/nexn/cav1/LOC121910427/LOC121896926/fermt2/acta2/zgc:153867/fgfr1a/casq1b/bmp5/LOC121895500/tead1b/sema3c/itgb1a/ctsba/skila/LOC121908040/LOC121912251/tgfbr3/mylpfb/tnnc1a/itga7/popdc2/smyd1b/map2k4a/LOC121908547/LOC121882004/LOC121894706/spegb/pax7a/kdm6ba/LOC121907117/LOC121895103/LOC121909298/ripor2/LOC121884818/LOC121880985/LOC121881849/acadm/bves/LOC121897830/sox6/notch2/LOC121908601/disp1/actb1/kif5ab/LOC121892319/LOC121909214/LOC121907292/alpk3a/eya1/calr/LOC121908635/LOC121896089/dspa/tgfb1a/cavin4a/cited4a/tbx18/sgcg/acta1b/mybpc3/gja5a/adra1ab/tnnt2a/maml1/dla/nfatc3a/ryr1b/hmg20b/LOC121905833/LOC121882041/tead1a/aldh1a2/LOC121883377/p2rx5/LOC121908544/calr3a/fgfr2/LOC121897829/LOC121894579/LOC121906032/sin3b/bmp4/sirt6/snw1/LOC121887066/arid1ab/timm44/nr2f2/myod1/slc9a1a/sik1/psma6a/LOC121910242/dmd/LOC121905206/smad1/LOC121911203/mstnb/svila/LOC121908041/rbfox1l/fadd/LOC121913056/myog/LOC121892100/actn2b/LOC121903818/LOC121903410/nr1h3/gpx1b/mef2aa/chd7/notch1a/ptenb/kat2a/rbm24a/chrnd/klhl40b/LOC121892381"
