"","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","description","hit_num"
"1","LOC121897605",4.05219450724127,3.75618610170704,4.3482029127755,4.63350184270939,28.1814959586139,1.37947764562609e-20,2.5847272646096e-16,36.839231984081,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",1
"2","LOC121904287",2.96508068426815,2.73011590964101,3.2000454588953,4.62305014575683,25.9783497830726,1.00617964136728e-19,9.42639397014936e-16,34.9251506420362,"uncharacterized LOC121904287",2
"3","lepa",2.56958810056346,2.35636443122925,2.78281176989766,3.55763402573717,24.8088082693494,3.08254912072618e-19,1.92525742916821e-15,33.4982488262683,"leptin a",3
"4","LOC121899156",2.56278375737694,2.32242011088473,2.80314740386915,4.64052084443202,21.9493155430167,5.92808311318922e-18,2.33067258005663e-14,31.0994110030004,"alpha-2-macroglobulin",4
"5","LOC121890410",3.99955936455069,3.6236900750522,4.37542865404919,4.82778374066703,21.90549681457,6.21943902454137e-18,2.33067258005663e-14,30.9879891547396,"23 kDa integral membrane protein-like",5
"6","bmp7b",2.06939749087257,1.86528233609742,2.27351264564772,2.8831315539694,20.8711543873117,1.98083521460432e-17,6.18581823600685e-14,29.5811443595814,"bone morphogenetic protein 7b",6
"7","adam19a",-1.30217327087954,-1.43485579279858,-1.16949074896051,7.95055295111302,-20.2037907548655,4.29971274030782e-17,9.36281429842703e-14,29.1675628605055,"ADAM metallopeptidase domain 19a",7
"8","fbln1",2.14992783321457,1.93056677203023,2.3692888943989,7.59876793840191,20.1763288077755,4.44120756595612e-17,9.36281429842703e-14,29.1375339209761,"fibulin 1",8
"9","filip1l",-3.48763107087505,-3.84366802322979,-3.13159411852032,4.2485428181223,-20.1656983426622,4.49726896973065e-17,9.36281429842703e-14,29.0042108604708,"filamin A interacting protein 1-like",9
"10","LOC121907976",1.68738159732544,1.51349626186022,1.86126693279066,4.00502630231478,19.9769026808771,5.62506811289891e-17,1.04150131464954e-13,28.832348205308,"KN motif and ankyrin repeat domain-containing protein 4-like",10
"11","gapdh",2.73057463820166,2.44819875747409,3.01295051892923,6.90081494803881,19.9069285071638,6.11438034965308e-17,1.04150131464954e-13,28.82442733946,"glyceraldehyde-3-phosphate dehydrogenase",11
"12","ptx3a",-1.61096516588761,-1.78507549433805,-1.43685483743717,5.86280991410788,-19.0475629707102,1.74037500544821e-16,2.32924331979165e-13,27.7836439164574,"pentraxin 3, long a",12
"13","numbl",2.20143805889522,1.96463841848812,2.43823769930232,3.47566158611385,19.1382945746565,1.55538545185445e-16,2.29549177969411e-13,27.7787920891059,"NUMB like endocytic adaptor protein",13
"14","plat",-1.63725581745834,-1.81689450140716,-1.45761713350953,4.80763977761921,-18.762663104435,2.4844124163662e-16,3.10336236303023e-13,27.4224516561884,"plasminogen activator, tissue",14
"15","LOC121908485",-3.01621718868769,-3.34098414261554,-2.69145023475985,2.32140584749979,-19.1191500525214,1.59264520126079e-16,2.29549177969411e-13,27.155661787118,"transmembrane protein 200C",15
"16","nt5c1aa",1.56948896594456,1.39421495480022,1.74476297708889,2.39019545953683,18.4339559048419,3.76821146263519e-16,4.17317362574276e-13,26.9803567757042,"5'-nucleotidase, cytosolic IAa",16
"17","LOC121885527",-3.74548340604394,-4.17072699155598,-3.32023982053191,3.28298605573659,-18.1320917971071,5.55590283895328e-16,5.78338619408153e-13,26.407719651596,"versican core protein-like",17
"18","colec12",1.90316449195199,1.68343063513027,2.12289834877371,4.80530345683354,17.8302384333596,8.2377433556979e-16,7.35002844074817e-13,26.2357421324214,"collectin sub-family member 12",18
"19","LOC121909097",1.87903529900043,1.65999471480303,2.09807588319784,3.96544250785387,17.6598964490294,1.03142756568854e-15,8.40254708622005e-13,25.9974412302403,"myomegalin-like",19
"20","myom2a",1.85784123237407,1.64058423269549,2.07509823205264,6.22116581929747,17.604051188212,1.11076388463147e-15,8.67182621097496e-13,25.9317768263862,"myomesin 2a",20
"21","LOC121884171",2.40952210145857,2.12874546846295,2.69029873445419,1.48586258999265,17.666387638351,1.02259481359257e-15,8.40254708622005e-13,25.8574962673469,"60S ribosomal protein L3-like",21
"22","LOC121899291",-1.72467689689423,-1.92890591607664,-1.52044787771181,4.32305306899535,-17.3847358891674,1.48888415338358e-15,1.11588889527793e-12,25.6411158178381,"NADPH oxidase 4",22
"23","LOC121910653",-4.02007172844678,-4.46910799628256,-3.571035460611,1.51379726229722,-18.4302058346391,3.78630259046949e-16,4.17317362574276e-13,25.6068509786327,"histone H2A",23
"24","dio3a",1.21542304641457,1.07036614553468,1.36047994729445,4.87993315637275,17.2491172992493,1.78742758508965e-15,1.24040854303055e-12,25.4679949649843,"iodothyronine deiodinase 3a",24
"25","lum",3.43517320460611,3.02763314802068,3.84271326119153,1.08239486887677,17.3522637871399,1.5553076984929e-15,1.1208384748716e-12,25.3540482333775,"lumican",25
"26","LOC121884428",2.74987775847138,2.43265111614448,3.06710440079829,-0.0702973624393717,17.8452048211377,8.07734546024711e-16,7.35002844074817e-13,25.2643083983623,"protein phosphatase 1 regulatory subunit 27",26
"27","tmem204",1.78013940813769,1.56650588954683,1.99377292672854,2.90476013171742,17.1538822331648,2.03366846910193e-15,1.36088736091296e-12,25.224199405623,"transmembrane protein 204",27
"28","si:dkey-112a7.4",-1.36708323033398,-1.53313805844942,-1.20102840221853,3.77225914166218,-16.9481091237718,2.69337493929852e-15,1.74019883578057e-12,25.0326795524711,"uncharacterized si:dkey-112a7.4",28
"29","hsc70",1.69970064472072,1.49212749727224,1.90727379216919,5.35692071723767,16.8569528328087,3.05316483165781e-15,1.90690498169241e-12,24.9252751810162,"heat shock cognate 70",29
"30","LOC121911895",-2.91414285230561,-3.27692651329994,-2.55135919131128,3.98496536198207,-16.5363981824729,4.76681385406521e-15,2.82315215650412e-12,24.4452781503233,"kinase non-catalytic C-lobe domain-containing protein 1",30
"31","fhl1a",-1.2849134074667,-1.44495197864153,-1.12487483629186,7.97044670787474,-16.5282547706079,4.82152260277162e-15,2.82315215650412e-12,24.4137786833998,"four and a half LIM domains 1a",31
"32","plcl5",-2.12908627096375,-2.39474921162014,-1.86342333030735,3.18640726806124,-16.4983338315195,5.02818705878943e-15,2.85494366425872e-12,24.3368056418896,"phospholipase C like 5",32
"33","tat",1.06808861972533,0.933647600631831,1.20252963881883,5.16867630575277,16.3551034316258,6.15246724840686e-15,3.39055231862939e-12,24.2329667838787,"tyrosine aminotransferase",33
"34","nbl1",5.05013219404223,4.47216278114863,5.62810160693582,1.27754727833809,17.9877024188393,6.70298916371915e-16,6.61020568213714e-13,24.2184519242467,"NBL1, DAN family BMP antagonist",34
"35","pdgfra",2.35246450949385,2.05440456539079,2.65052445359692,4.32572518146885,16.2479011260729,7.16247252437212e-15,3.81932856874448e-12,24.0877606197086,"platelet-derived growth factor receptor, alpha polypeptide",35
"36","afap1",-1.38059899481002,-1.5568093630286,-1.20438862659145,6.06080330775759,-16.1292397417876,8.48314883155541e-15,4.18286209623299e-12,23.8785917126698,"actin filament associated protein 1",36
"37","LOC121889097",-0.772678577187829,-0.871213198940699,-0.674143955434958,6.92445663957102,-16.1431328470938,8.31627939524189e-15,4.18286209623299e-12,23.8754640957602,"RNA-binding protein with multiple splicing-like",37
"38","loxa",2.22411083718292,1.93909575597385,2.50912591839199,6.27215502866022,16.0644695091415,9.30813861781179e-15,4.36016483204849e-12,23.7846835081014,"lysyl oxidase a",38
"39","olfml3b",2.29088793217576,1.99769660669405,2.58407925765746,2.36588491345729,16.0853505764153,9.03345940697575e-15,4.33999817714115e-12,23.5995590869309,"olfactomedin-like 3b",39
"40","nradd",-1.04440170728766,-1.18166378782589,-0.907139626749429,6.04623099814829,-15.6637159457498,1.66447927467136e-14,7.4255590879803e-12,23.201892177723,"neurotrophin receptor associated death domain",40
"41","LOC121897897",3.64612181773197,3.18366901031335,4.10857462515058,1.61606388556689,16.2308609537645,7.33819866973375e-15,3.81932856874448e-12,23.1571906581378,"leucine-rich repeat-containing protein 17-like",41
"42","pfkma",2.10710044403237,1.82886172170819,2.38533916635654,4.50617640423032,15.5899768874545,1.85481660772815e-14,7.8985679043187e-12,23.1317933219175,"phosphofructokinase, muscle a",42
"43","cnpy3",-0.906812308908268,-1.02697369576267,-0.786650922053861,5.01330161203677,-15.5356803689124,2.00928682117042e-14,8.36622381517116e-12,23.0394679114161,"canopy FGF signaling regulator 3",43
"44","LOC121904575",2.06005606764823,1.790135193437,2.32997694185945,2.03413861164951,15.7115984759958,1.55182034909516e-14,7.09181899536488e-12,23.0301974672162,NA,44
"45","cadm2b",-2.04250283158999,-2.31410036831482,-1.77090529486516,2.06167648947672,-15.4815572680863,2.1765615971752e-14,8.8657031839721e-12,22.6711586680934,"cell adhesion molecule 2b",45
"46","LOC121883513",1.42890734102929,1.23451799469093,1.62329668736765,4.4602952302612,15.1324556977429,3.6659535817539e-14,1.43102025544422e-11,22.4380857617834,"myosin heavy chain, fast skeletal muscle-like",46
"47","ctsh",1.46289388755929,1.26333504770436,1.66245272741422,4.14379720132386,15.0910569455175,3.90226970874576e-14,1.49218015372999e-11,22.4027847503584,"cathepsin H",47
"48","LOC121902232",2.2856188458981,1.98464408319373,2.58659360860247,1.27883386833905,15.6333312711017,1.74033286533447e-14,7.58339927855161e-12,22.1974738134311,"protocadherin gamma-A2-like",48
"49","phka1a",1.1654084073652,1.0040085231177,1.32680829161271,3.42494120580851,14.864583022006,5.50563482018078e-14,2.02272705148485e-11,22.0658238064831,"phosphorylase kinase, alpha 1a (muscle)",49
"50","tagln",-1.60631404685269,-1.82780272353586,-1.38482537016951,9.54773195911222,-14.9298942602811,4.98321672349446e-14,1.86741063496231e-11,22.02586025613,"transgelin",50
"51","tead1b",-0.840514950176238,-0.957725984044588,-0.723303916307888,5.753057838165,-14.7623245480869,6.44031029709187e-14,2.32061719301174e-11,21.835255711279,"TEA domain family member 1b",51
"52","acta2",-2.43908215252491,-2.78169254649896,-2.09647175855087,4.3754975875137,-14.6556031727994,7.59245692283997e-14,2.56437723641903e-11,21.7416554630171,"actin alpha 2, smooth muscle",52
"53","si:ch211-195o20.7",-0.810326608937097,-0.923810182901298,-0.696843034972895,5.9701471080204,-14.6995790678289,7.09381222092608e-14,2.50786338836777e-11,21.7301584070229,"cytospin-A",53
"54","LOC121900476",1.19056993489966,1.02334158554333,1.357798284256,2.72679815922803,14.6562482082049,7.58488644277413e-14,2.56437723641903e-11,21.6927331015481,"isocitrate dehydrogenase [NADP], mitochondrial",54
"55","sertad4",1.32064973606836,1.13420392838703,1.50709554374969,3.2179343959854,14.5818568179804,8.51170221538044e-14,2.7979607791155e-11,21.6224803197896,"SERTA domain containing 4",55
"56","hexb",0.761798438284168,0.654746502392464,0.868850374175872,7.18297020728852,14.6495186758864,7.66425389547238e-14,2.56437723641903e-11,21.6219531059844,"hexosaminidase B (beta polypeptide)",56
"57","LOC121890906",0.955807819122125,0.820689019107969,1.09092661913628,8.10012571045187,14.5623881432175,8.77309726958068e-14,2.83416419896781e-11,21.4704290951624,"aldo-keto reductase family 1 member B1-like",57
"58","cdkn2a/b",-1.00247815760284,-1.14546067518563,-0.859495640020044,5.23280182532903,-14.4334377076298,1.07279515127179e-13,3.40694283887789e-11,21.3451086932199,"cyclin-dependent kinase inhibitor 2A/B (p15, inhibits CDK4)",58
"59","shroom2a",-0.928461047665288,-1.06211207579468,-0.794810019535892,5.76127413988058,-14.3010915662381,1.32076942935786e-13,4.12454279964636e-11,21.1180364981609,"shroom family member 2a",59
"60","LOC121883509",1.51742571340708,1.29736085446247,1.73749057235169,3.78471979848289,14.1949721372691,1.56213500621617e-13,4.79831534614303e-11,20.9783622035022,"myosin heavy chain, fast skeletal muscle-like",60
"61","LOC121897794",2.03102708003736,1.73505609542661,2.32699806464811,4.66407231039163,14.1268189672174,1.74083733386754e-13,5.17747128963112e-11,20.8628107437868,"myosin heavy chain, fast skeletal muscle-like",61
"62","ddah1",-1.00773723829731,-1.15451818791605,-0.860956288678574,6.06748002949922,-14.1336852988635,1.72191201022057e-13,5.17747128963112e-11,20.8299194825494,"dimethylarginine dimethylaminohydrolase 1",62
"63","prr5a",-1.47061878188891,-1.68550585894249,-1.25573170483533,2.88063308692624,-14.0885926639128,1.85020643990448e-13,5.41676844757659e-11,20.8218685937071,"proline rich 5a (renal)",63
"64","LOC121882134",3.54000297415801,3.06617830550926,4.01382764280677,-1.41730729082259,15.3802630187206,2.52950502363281e-14,1.00841139633634e-11,20.7561331246591,"uncharacterized LOC121882134",64
"65","si:ch211-236l14.4",-1.01192905147725,-1.16047018935304,-0.863387913601458,4.84375810650337,-14.0242976599978,2.05047876464038e-13,5.76939471052543e-11,20.7115267849962,"SITS-binding protein",65
"66","mybpc2b",1.93752514637678,1.65277292815509,2.22227736459846,1.79597869570178,14.0074162632874,2.10669305747347e-13,5.80486879674712e-11,20.6969256424561,"myosin binding protein Cb",66
"67","rgma",0.868278295210601,0.740802752600474,0.995753837820728,5.14376788006485,14.0219972860805,2.05804664411166e-13,5.76939471052543e-11,20.6934754742975,"repulsive guidance molecule BMP co-receptor a",67
"68","mgst3a",-0.819716160336755,-0.940075048652155,-0.699357272021355,7.38220179456604,-14.0204880769834,2.06302740889792e-13,5.76939471052543e-11,20.6131495358271,"microsomal glutathione S-transferase 3a",68
"69","LOC121880951",1.72163679761933,1.46710095362023,1.97617264161843,2.57844606969962,13.9242044313221,2.40802883480737e-13,6.44560518254082e-11,20.5863966791368,"glutaminyl-peptide cyclotransferase",69
"70","pcolcea",1.00935960636997,0.860876694788292,1.15784251795164,9.37706070761551,13.9941733323355,2.1519063749262e-13,5.84351735463654e-11,20.540164667653,"procollagen C-endopeptidase enhancer a",70
"71","cobll1b",-0.660457678833528,-0.75919981342394,-0.561715544243116,6.49273934489407,-13.7695670605612,3.09228835611609e-13,8.16059252514748e-11,20.2203368509859,"cordon-bleu WH2 repeat protein-like 1b",71
"72","si:dkey-19b23.8",-1.40815979693777,-1.61965959293052,-1.19666000094502,5.80602069737929,-13.7062860504864,3.42769292554414e-13,8.79790169122199e-11,20.1473031998944,"low density lipoprotein receptor adapter protein 1",72
"73","fam13a",1.1104131909584,0.942531403889986,1.27829497802681,5.36164647595907,13.6162912341898,3.97080523736593e-13,9.92013036433671e-11,20.0281998086936,"family with sequence similarity 13 member A",73
"74","qdpra",1.08191284822775,0.918428206163096,1.2453974902924,7.02221949296363,13.6236387940267,3.92329744789517e-13,9.92013036433671e-11,19.972875109752,"quinoid dihydropteridine reductase a",74
"75","capn3b",2.34941829708693,1.99306250546128,2.70577408871259,1.68344162261999,13.5723274266302,4.26777649259872e-13,1.05217537028713e-10,19.954790006589,"calpain 3b",75
"76","LOC121901062",-1.0001102748784,-1.15224016231279,-0.847980387444012,6.69032306230264,-13.5335318172383,4.54891073521911e-13,1.10692130449092e-10,19.8252619547772,"zinc finger protein GLIS1",76
"77","LOC121884397",1.78600512652553,1.51254797218257,2.05946228086848,2.39181672825096,13.4453222037654,5.26174201947636e-13,1.26396487460165e-10,19.8120988608938,"pyruvate dehydrogenase (acetyl-transferring) kinase isozyme 2, mitochondrial-like",77
"78","lamb1b",2.23628084833681,1.89074021173647,2.58182148493715,4.9816098072057,13.3230917456494,6.44557640336565e-13,1.52874386164383e-10,19.5713875620285,"laminin, beta 1b",78
"79","pcdh19",1.52555510134388,1.28824360756239,1.76286659512538,2.74632203829333,13.2338719625773,7.48138200350934e-13,1.73060067407104e-10,19.480429817288,"protocadherin 19",79
"80","bsk146",-3.34760967575454,-3.8486616657303,-2.84655768577877,0.695240652596975,-13.754025532936,3.17138322596112e-13,8.25308437567133e-11,19.4746672448833,"brain specific kinase 146",80
"81","drd2a",1.88463831585189,1.59150653999151,2.17777009171226,2.35424814160695,13.2355782621201,7.46003691153726e-13,1.73060067407104e-10,19.4082101962968,"dopamine receptor D2a",81
"82","osgin2",-0.787387033522932,-0.910628837897775,-0.664145229148089,4.28383436332412,-13.1524910092058,8.57639798391704e-13,1.93609601234522e-10,19.3038368940582,"oxidative stress induced growth inhibitor family member 2",82
"83","tom1",-1.63915656493999,-1.89820782754089,-1.38010530233909,3.29239836678722,-13.0260435904115,1.06177391388015e-12,2.28671929015774e-10,19.1359868728175,"target of myb1 membrane trafficking protein",83
"84","LOC121883528",1.15586737686742,0.973640111968527,1.33809464176632,3.54954517933293,13.0578733714745,1.0060667459394e-12,2.22358765504872e-10,19.1234555265106,"myosin heavy chain, fast skeletal muscle-like",84
"85","LOC121882400",-0.758522185541281,-0.878120631237234,-0.638923739845327,4.64382698506245,-13.0563130694617,1.00872578683429e-12,2.22358765504872e-10,19.117852776268,"NF-kappa-B inhibitor alpha-like",85
"86","LOC121883532",1.4505476223615,1.22165278008048,1.67944246464252,3.4932428809552,13.0458922685934,1.02667210936239e-12,2.23683201315385e-10,19.0856344619467,"myosin heavy chain, fast skeletal muscle-like",86
