"","category","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","ko00536  Glycosaminoglycan binding proteins",1.33053382623465,0.000270209882716361,0.0089169261296399,0.00767964929825446,"ko00536","102/6104","223/17756",102,"bmp7b/plat/LOC121885527/nbl1/col23a1a/ntn1b/hbegfa/col6a2/cd44b/wnt7aa/wnt6b/col11a2/LOC121888432/LOC121882333/LOC121881170/serpine1/fgf13a/fgfr4/LOC121885542/ntn1a/ntn2/LOC121906878/LOC121896717/tgfb1a/col6a3/LOC121887134/LOC121885954/col13a1/col6a1/wnt9a/LOC121880806/fgf5/ctsba/cemip2/LOC121896791/nrg2a/slc8a1b/thbs3a/LOC121904301/aplp2/thbs4b/tnn/thbs4a/tnfb/ncam1b/wnt7bb/col27a1b/vegfab/il10/LOC121905978/bmp16/efna1a/LOC121905979/LOC121913690/fgfr1a/fgf7/hpxb/LOC121906879/plaua/slit1a/LOC121909394/thbs2a/pex1/fn1a/efna1b/kdrl/bmp4/wnt11/LOC121909108/slit2/hpse/wnt1/acanb/tnfaip6/zpr1/f2/tlr18/col27a1a/wnt2/LOC121901374/fgf11a/bmp2b/LOC121892362/LOC121891216/LOC121907144/LOC121900435/col11a1a/hyal1/LOC121882774/LOC121899965/fgfr1b/LOC121888794/flt1/LOC121903452/col22a1/fgf14/tfpia/si:dkey-246i14.3/fbn2b/apoeb/tgfb2/appa"
"2","ko03032  DNA replication proteins",1.31439735935149,0.00583548710089827,0.0551524090103127,0.0474996824012263,"ko03032","61/6104","135/17756",61,"ccnl1a/rufy2/dnmt1/purg/purbb/nop10/parp1/mcm2/pold4/mcm4/mcm7/pola2/rpa3/pold2/gins2/smg5/lig1/rfc1/pold1/pole/LOC121903834/pign/mcm5/cdk2/tert/orc3/ccna2/mcm6/terf1/top2a/fen1/pcna/mcm3/gins4/polg/cul4b/usp19/ccnb1/zgc:110269/cdc6/topbp1/orc2/LOC121902957/rpa2/sox7/cdk1/prim2/parp2/gmnn/cdc45/pola1/blm/pole2/gins1/gins3/prim1/puraa/nbn/rpa1/tep1/rad50"
"3","ko04052  Cytokines and growth factors",1.33119710331652,0.00668514048609851,0.0551524090103127,0.0474996824012263,"ko04052","54/6104","118/17756",54,"lepa/bmp7b/gdf10a/cxcl18b/LOC121882333/fgf13a/LOC121885542/LOC121896717/tgfb1a/gas6/tnfsf10l/pdgfd/fgf5/angpt1/kitlga/bmp8a/nrg2a/LOC121911828/ntf3/ccl44/tnfsf11/pgfb/mstnb/tnfb/vegfab/il10/inhbaa/gdf2/gdf10b/bmp16/efna1a/fgf7/pdgfc/efnb1/efna1b/igf1/bmp4/LOC121894042/LOC121891770/vegfc/bmp1a/inhbb/fgf11a/bmp2b/LOC121906570/LOC121891216/tgfb3/clcf1/angptl4/angpt2b/fgf14/si:dkey-246i14.3/LOC121903253/tgfb2"
"4","ko04031  GTP-binding proteins",1.17798923345212,0.0266292499998125,0.146460874998968,0.126138552630691,"ko04031","98/6104","242/17756",98,"arl4ab/gnai3/LOC121900032/gng12a/srprb/rab18a/rab1ba/rab3db/arl2/ralaa/LOC121900198/rhobtb4/rab34a/sar1ab/LOC121898386/rab4b/rab32a/LOC121900072/gnai2b/rab31/rhot1a/LOC121901074/rab20/LOC121885318/LOC121895127/LOC121907401/LOC121898440/LOC121908580/arf3b/rab41/LOC121891786/gnat2/rheb/arl8ba/LOC121899020/rem1/arf1/LOC121909227/LOC121914132/LOC121897672/rab5c/LOC121899416/rab4a/aldh3b1/LOC121891183/LOC121894458/rerg/rac3b/LOC121891117/gnav1/rab38c/LOC121882938/rhogb/rab6ba/LOC121907477/rab27a/arl4aa/LOC121897560/rab30/arhgef7a/cdc42l/LOC121903653/rnd3a/rab12/si:dkey-204f11.64/si:ch211-286b5.5/rnd2/gna11b/LOC121885628/mrasa/LOC121895366/arl3b/rhoab/rab40b/LOC121904245/LOC121895480/rab38a/nkiras2/hrasb/LOC121899951/LOC121897444/LOC121908997/ralba/arl5a/LOC121908160/rrad/arl8/sar1b/arl5c/LOC121885317/rab2a/arid4a/arl9/gnai1/arid4b/LOC121911286/LOC121890414/arf2b"
"5","ko00535  Proteoglycans",1.19339987229895,0.131989675729498,0.543733483513088,0.468287210681129,"ko00535","32/6104","78/17756",32,"LOC121885527/lum/LOC121900512/cd44b/p3h2/tgfbr3/LOC121888432/gpc5a/dcn/bgnb/LOC121906205/gpc5c/aplp2/hspg2/optc/srgn/LOC121907457/col12a1a/LOC121909394/acanb/col14a1a/agrn/LOC121892362/LOC121882468/cspg4/LOC121894315/LOC121903452/sdc3/gpc1b/LOC121912973/cspg4ba/appa"
"6","ko02044  Secretion system",1.45445609436435,0.14646926019117,0.543733483513088,0.468287210681129,"ko02044","8/6104","16/17756",8,"srprb/srp14/oxa1l/srpra/sec61b/sec62/sec61g/sec61a1"
"7","ko04050  Cytokine receptors",1.11508300567934,0.148290950049024,0.543733483513088,0.468287210681129,"ko04050","69/6104","180/17756",69,"pdgfra/nradd/epha2a/ghra/il11ra/LOC121908664/epha4l/fgfr4/bmpr1bb/tgfbr2l/LOC121895308/tie1/bmpr1ba/LOC121899214/lepr/LOC121882015/tnfrsf11a/ackr4b/LOC121893833/met/tgfbr2b/LOC121898567/LOC121907292/LOC121892265/LOC121904884/LOC121892016/egfra/LOC121896924/insra/LOC121913904/LOC121889585/LOC121907378/lifra/tnfrsfa/LOC121912754/fgfr1a/LOC121885773/csf1rb/ephb6/tnfrsf21/pex1/osmr/epha3/kdrl/ackr4a/LOC121905670/LOC121901722/LOC121896155/si:ch73-40a2.1/ltk/epha8/ifngr1l/ghrb/LOC121895803/alk/fgfr1b/flt1/LOC121911203/prlra/LOC121892375/ryk/ephb2b/LOC121908708/LOC121907551/tyro3/epha2b/tnfrsf1a/acvr1l/LOC121889369"
"8","ko03110  Chaperones and folding catalysts",1.08646117892277,0.176637045345553,0.582902249640323,0.502021076245255,"ko03110","93/6104","249/17756",93,"hsc70/hexb/dnajb5/unc45a/serpinh2/p3h2/LOC121913803/LOC121882333/ctsc/tgfb1a/hspa4l/grpel1/dnajc3b/nagk/clu/pcsk7/dnajb2/LOC121884079/ctss2.1/serpinh1b/ctsba/cct7/ctsa/hspa13/LOC121903668/pfdn2/txn/LOC121893690/LOC121895647/arf3b/pin1/hspb7/dnajb13/inhbaa/fkbp14/LOC121897333/fkbp10b/dnajc5ab/hspb6/si:ch211-122f10.4/ppiaa/dnajc1/dnajc10/LOC121911736/hspa5/hsp90aa1.1/gba3/dnajb14/serpinh1a/afg3l2/dnajb1a/vwf/fkbp11/ranbp2/fkbp7/trap1/spg7/nfkbil1/htra3a/fkbp15b/inhbb/calr/hspa1b/cct2/hspa8b/glrx/fkbp4/zgc:122979/dnaja2a/LOC121896821/LOC121913021/dnajb11/ctsla/dnajc15/dnajb9a/furina/unc45b/clpxb/LOC121907980/chordc1b/dnajc30b/st13/stip1/fkbp8/pdia3/pfdn4/ppiab/LOC121912973/dnaja3a/clgn/LOC121909298/nktr/tpp2"
"9","ko03310  Nuclear receptors",1.1471766378085,0.217947693660163,0.652935125391317,0.562336471628885,"ko03310","28/6104","71/17756",28,"pparg/nr3c2/nr1d2a/nr2e3/nr2f6b/nr2f2/LOC121882331/LOC121903474/nr3c1/nr2f1a/LOC121894706/nr1d1/LOC121901900/esr2b/nr1d2b/LOC121885442/rxrba/LOC121886456/roraa/rxrgb/ptbp1a/nr1h3/raraa/esr2a/LOC121894016/ptbp1b/LOC121894132/mapkapk3"
"10","ko00199  Cytochrome P450",1.19339987229895,0.237430954687752,0.652935125391317,0.562336471628885,"ko00199","16/6104","39/17756",16,"LOC121904285/LOC121909123/LOC121897527/LOC121912486/LOC121911823/LOC121911449/LOC121907923/LOC121911448/LOC121892099/tbxas1/LOC121888453/LOC121889192/LOC121897063/LOC121895189/LOC121895651/osgepl1"
