"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"1","actin cytoskeleton","Cellular Component",1.47793702672107,3.15070100226523e-15,2.76726069028955e-11,2.33218204715043e-11,"GO:0015629","259/4888","493/13751",259,"myom2a/afap1/LOC121883513/acta2/shroom2a/LOC121883509/mybpc2b/capn3b/LOC121883528/LOC121883532/LOC121888899/LOC121883529/LOC121883511/LOC121908475/vaspb/LOC121884030/LOC121900142/llgl1/LOC121883514/LOC121883515/dbn1/LOC121883527/myadma/capgb/mark2b/LOC121908664/LOC121893745/myom2b/bin2b/pdlim5a/mlphb/LOC121890607/LOC121906032/LOC121883530/tmod4/obscna/LOC121883517/myl9b/pdlim4/myoz1a/LOC121883510/flna/LOC121887586/capn1/arpc5b/cgnl1/LOC121890155/actn1/myl1/adam8a/mapk8a/LOC121884840/smtnb/LOC121906858/tax1bp3/coro1b/abl1/dynll2a/LOC121911171/fscn1a/csrp1b/wdr1/LOC121894285/cnn2/LOC121884700/lmod1b/LOC121891899/pdlim7/LOC121893746/LOC121913306/zgc:153867/LOC121888971/LOC121887862/aldoab/dynll2b/cdc42ep3/myl2a/LOC121912256/sh3pxd2b/trip6/arpc4l/map2/LOC121896926/LOC121893985/capzb/LOC121907988/LOC121911622/wasf1/actb1/LOC121912730/tpm4a/LOC121901160/prkci/LOC121895055/arpc3/LOC121883403/LOC121893833/arpc2/clic4/clic5a/dlc1/zgc:153184/LOC121892330/cttnbp2nla/zyx/arhgap32a/kalrna/LOC121909093/lasp1/rflna/tln2b/LOC121895830/LOC121886467/hdac4/sh3pxd2aa/LOC121904032/mylpfb/LOC121883559/LOC121880795/ndc1/aif1l/mybpc3/LOC121908627/LOC121883377/iqgap1/actb2/tnnc1a/LOC121909965/iqgap2/keap1b/cap1/tnnt3a/myot/hspb7/LOC121910633/LOC121891909/actr10/plekhh2/adam17a/LOC121907308/LOC121908525/myo1b/ezrb/LOC121885837/actn3b/clcn2a/dctn1b/cavin2b/LOC121901952/LOC121887522/dst/LOC121902489/tnnt2d/myh7ba/arhgap35a/LOC121892243/dapk3/src/fgd/fgd4a/LOC121908220/pof1b/LOC121884384/coro1ca/slc2a1b/LOC121908635/coro6/rac3b/fblim1/arhgap35b/fhod3a/parvaa/LOC121898364/myh11a/arhgef11/LOC121897224/pgm1/myo6b/mylpfa/myo6a/mapk8b/dbnlb/cald1b/arhgef12a/LOC121913334/sept9b/capn8/LOC121912819/myo1d/LOC121887653/add1/raraa/sptb/LOC121891828/myo5aa/lima1a/LOC121911191/macf1a/tmod2/sept5a/LOC121895014/LOC121880911/notch3/LOC121889408/actr3b/tnnt1/myo9aa/klhl17/LOC121886466/dub/LOC121896749/topbp1/bcar1/apc2/LOC121898715/flt1/LOC121885838/LOC121882386/fyna/gsna/baiap2a/tmod1/ttc17/taf5/vps18/sept7b/ppp1r9ala/LOC121905547/ppp1r12a/fhl3a/LOC121889323/LOC121910394/myom1b/tars1/cdc42ep4b/coro2ba/tnnt2a/ncoa5/myh7l/LOC121902029/LOC121903410/LOC121885296/LOC121908128/dctn4/mybphb/kntc1/enah/cald1a/capn2b/myadmb/vps16/LOC121892127/LOC121911286/tnnt2e/ints6/dctn2/LOC121895103/sept2/acta1b"
"2","contractile fiber","Cellular Component",1.48894605005788,2.21330879672729e-13,9.71974558082787e-10,8.19157234662435e-10,"GO:0043292","217/4888","410/13751",217,"gapdh/LOC121909097/myom2a/LOC121883513/acta2/LOC121883509/mybpc2b/capn3b/LOC121883528/LOC121883532/itga5/LOC121883529/pak1/LOC121883511/LOC121908475/LOC121884030/atp2a1/gpd1b/itgb2/LOC121883514/LOC121883515/LOC121883527/LOC121910885/LOC121893745/myom2b/atp2a1l/pdlim5a/itgav/LOC121890607/LOC121906032/LOC121899381/mypn/LOC121883530/tmod4/obscna/LOC121883517/myl9b/myoz1a/LOC121883510/flna/LOC121887586/capn1/LOC121899094/LOC121911401/LOC121912146/actn1/LOC121898947/myl1/casq1b/gja1b/itgb3a/LOC121884341/LOC121908668/LOC121884840/ryr3/itga8/LOC121911171/LOC121888854/csrp1b/wdr1/LOC121894285/cavin4b/LOC121884700/lmod1b/LOC121880812/LOC121893746/LOC121894571/cmya5/LOC121894670/zgc:153867/ryr1b/aldoab/nuak1b/csrp2/myl2a/LOC121912256/trip6/clic2/LOC121896926/LOC121893985/cacna1c/capzb/LOC121907988/casq2/smpx/actb1/tpm4a/LOC121901160/LOC121895055/LOC121895662/LOC121900514/igfn1.1/psma6a/LOC121883403/LOC121898608/clic4/gys1/clic5a/arhgef25b/slc8a1b/ankhd1/LOC121895500/LOC121909093/calm3a/lasp1/tln2b/LOC121884874/hdac4/hspg2/scn3b/LOC121904032/mylpfb/LOC121883559/LOC121880795/mybpc3/sgcg/LOC121882695/LOC121883377/fhl2a/LOC121880591/tnnc1a/adra1ab/ak1/tnnt3a/LOC121895409/myot/LOC121882242/ank1a/dmd/cavin4a/LOC121894656/LOC121892319/LOC121882041/LOC121896922/LOC121882009/tln1/scn1laa/LOC121884663/txlnba/actn3b/mtm1/LOC121887522/dst/LOC121891793/tnnt2d/myh7ba/trpc1/hsp90aa1.1/ilk/LOC121888075/psen2/lman1/gapdhs/slc2a1b/LOC121914010/fhod3a/LOC121906789/parvaa/myh11a/lrpprc/jupa/pgm1/mylpfa/LOC121906921/capn8/fbp2/mbnl2/LOC121882802/jph2/LOC121911191/l1cama/rock1/tmod2/mmp2/nuak2/rpl7/sqstm1/LOC121895767/LOC121892103/LOC121880911/cspg4/dek/tnnt1/LOC121886466/LOC121896749/synm/LOC121891716/LOC121890392/LOC121892381/psen1/tmod1/parvb/ppp1r12a/fhl3a/unc45b/myom1b/syne2b/LOC121889603/sri/LOC121907980/LOC121900042/LOC121887276/klhl41a/tnnt2a/myh7l/LOC121902029/trim9/LOC121881883/LOC121885296/LOC121912923/mybphb/capn2b/tnnt2e/cfl2/LOC121895103/cspg4ba/acta1b"
"3",NA,NA,1.50184710430306,3.44458487343993e-13,1.00845963144743e-09,8.49905994036125e-10,"GO:0044449","205/4888","384/13751",205,"gapdh/myom2a/LOC121883513/acta2/LOC121883509/mybpc2b/capn3b/LOC121883528/LOC121883532/itga5/LOC121883529/pak1/LOC121883511/LOC121908475/LOC121884030/atp2a1/gpd1b/itgb2/LOC121883514/LOC121883515/LOC121883527/LOC121910885/LOC121893745/myom2b/atp2a1l/pdlim5a/itgav/LOC121890607/LOC121906032/LOC121899381/mypn/LOC121883530/tmod4/obscna/LOC121883517/myl9b/myoz1a/LOC121883510/flna/LOC121887586/capn1/LOC121899094/LOC121911401/LOC121912146/actn1/myl1/casq1b/itgb3a/LOC121884341/LOC121908668/LOC121884840/ryr3/itga8/LOC121911171/csrp1b/LOC121894285/cavin4b/LOC121884700/lmod1b/LOC121880812/LOC121893746/LOC121894571/cmya5/zgc:153867/ryr1b/aldoab/nuak1b/csrp2/myl2a/LOC121912256/trip6/clic2/LOC121896926/LOC121893985/cacna1c/capzb/LOC121907988/casq2/smpx/actb1/tpm4a/LOC121901160/LOC121895055/LOC121895662/LOC121900514/igfn1.1/psma6a/LOC121883403/LOC121898608/clic4/clic5a/slc8a1b/ankhd1/LOC121895500/LOC121909093/calm3a/lasp1/tln2b/LOC121884874/hdac4/hspg2/scn3b/LOC121904032/mylpfb/LOC121883559/LOC121880795/mybpc3/sgcg/LOC121882695/LOC121883377/fhl2a/LOC121880591/tnnc1a/adra1ab/ak1/tnnt3a/LOC121895409/myot/LOC121882242/ank1a/dmd/cavin4a/LOC121894656/LOC121892319/LOC121896922/LOC121882009/tln1/scn1laa/LOC121884663/txlnba/actn3b/mtm1/LOC121887522/dst/LOC121891793/tnnt2d/myh7ba/trpc1/hsp90aa1.1/ilk/LOC121888075/psen2/lman1/gapdhs/slc2a1b/LOC121914010/fhod3a/LOC121906789/parvaa/myh11a/lrpprc/jupa/pgm1/mylpfa/LOC121906921/capn8/fbp2/mbnl2/LOC121882802/jph2/LOC121911191/l1cama/tmod2/mmp2/nuak2/rpl7/sqstm1/LOC121895767/LOC121892103/LOC121880911/cspg4/tnnt1/LOC121886466/LOC121896749/synm/LOC121891716/LOC121890392/LOC121892381/psen1/tmod1/parvb/ppp1r12a/fhl3a/unc45b/myom1b/syne2b/LOC121889603/sri/LOC121907980/LOC121887276/klhl41a/tnnt2a/myh7l/LOC121902029/trim9/LOC121881883/LOC121885296/LOC121912923/mybphb/capn2b/tnnt2e/cfl2/LOC121895103/cspg4ba/acta1b"
"4","actin binding","Molecular Function",1.48208454752305,4.63576901134131e-13,1.01789898066527e-09,8.57861254940844e-10,"GO:0003779","216/4888","410/13751",216,"myom2a/LOC121883513/tagln/shroom2a/LOC121883509/mybpc2b/cobll1b/LOC121883528/LOC121883532/LOC121883529/LOC121883511/LOC121908475/ajuba/LOC121884030/LOC121900142/LOC121883514/LOC121883515/dbn1/LOC121883527/mical2a/tmsb4x/LOC121893745/myom2b/pdlim5a/mlphb/LOC121890607/LOC121906032/dnm3b/tmsb2/mypn/LOC121883530/cotl1/LOC121883517/tns1a/pdlim4/myoz1a/LOC121883510/flna/arpc5b/actn1/LOC121908668/LOC121884840/smtnb/LOC121906858/coro1b/abl1/tns1b/LOC121911171/fscn1a/wdr1/LOC121894285/cnn2/LOC121884700/ctnna1/LOC121893746/tns2a/LOC121894670/LOC121913306/aldoab/wasf3b/mical2b/myl2a/arpc4l/map2/LOC121896926/LOC121893985/capzb/LOC121907988/LOC121911622/wasf1/nav3/map1sa/LOC121912730/tpm4a/cyfip1/LOC121910149/LOC121895055/arpc3/LOC121908577/LOC121912416/impact/shroom4/arpc2/LOC121912151/zgc:153184/LOC121892330/LOC121884772/LOC121905409/lasp1/tln2b/LOC121886467/nav2a/LOC121883559/LOC121880795/aif1l/mybpc3/LOC121896989/ptenb/LOC121908627/pfn2b/tnnc1a/LOC121886235/iqgap2/egfra/keap1b/cap1/LOC121882242/LOC121910633/dmd/plekhh2/adss1/tln1/LOC121907308/ywhag1/myo1b/flii/ezrb/LOC121885837/actn3b/micall1a/myo16/cnn1b/LOC121901952/LOC121887522/dst/si:ch211-203d1.3/clip2/LOC121892243/mrtfab/kif18a/fgd4a/LOC121908547/LOC121888075/shroom3/pof1b/diaph2/sipa1l1/LOC121884384/LOC121903552/coro1ca/coro6/fhod3a/parvaa/ywhag2/LOC121898364/myh11a/tmem201/gipc1/myo6b/myo6a/dbnlb/cald1b/ssh1a/LOC121882802/myo1d/LOC121887653/add1/sptb/fmnl3/LOC121891828/myo5aa/ankrd12/lima1a/LOC121911191/macf1a/ctnna2/tmod2/itprid2/cobl/shroom1/mical1/ssh2a/ppp1r42/LOC121880911/homer2/naa25/hip1rb/klhl17/anxa3a/mrtfba/dub/hip1/anxa3b/camsap3/LOC121885838/mrtfbb/LOC121909861/LOC121896730/LOC121899278/gsna/tmod1/svild/vps18/sept7b/parvb/ppp1r9ala/emc7b/fhl3a/myom1b/syne2b/coro2ba/map1aa/tnnt2a/LOC121902029/LOC121903351/LOC121885296/mybphb/enah/cald1a/LOC121884185/vps16/LOC121892127/lrrk2/cfl2/bloc1s6/LOC121895103"
"5","sarcomere","Cellular Component",1.519783377542,8.0537085892006e-13,1.41471445077898e-09,1.19228797472123e-09,"GO:0030017","188/4888","348/13751",188,"gapdh/myom2a/LOC121883513/acta2/LOC121883509/mybpc2b/capn3b/LOC121883528/LOC121883532/itga5/LOC121883529/pak1/LOC121883511/LOC121884030/atp2a1/gpd1b/itgb2/LOC121883514/LOC121883515/LOC121883527/LOC121910885/LOC121893745/myom2b/atp2a1l/pdlim5a/itgav/LOC121906032/mypn/LOC121883530/tmod4/obscna/LOC121883517/myl9b/myoz1a/LOC121883510/flna/LOC121887586/capn1/LOC121899094/LOC121911401/LOC121912146/actn1/myl1/casq1b/itgb3a/LOC121884341/LOC121908668/LOC121884840/ryr3/itga8/LOC121911171/csrp1b/LOC121894285/cavin4b/LOC121884700/lmod1b/LOC121893746/LOC121894571/cmya5/ryr1b/aldoab/nuak1b/csrp2/myl2a/LOC121912256/trip6/LOC121896926/LOC121893985/cacna1c/capzb/LOC121907988/casq2/smpx/actb1/tpm4a/LOC121901160/LOC121895055/LOC121895662/LOC121900514/igfn1.1/psma6a/LOC121883403/LOC121898608/slc8a1b/ankhd1/LOC121895500/LOC121909093/calm3a/lasp1/tln2b/LOC121884874/hdac4/scn3b/LOC121904032/LOC121883559/LOC121880795/mybpc3/LOC121883377/fhl2a/LOC121880591/tnnc1a/adra1ab/ak1/tnnt3a/LOC121895409/myot/LOC121882242/ank1a/dmd/cavin4a/LOC121894656/LOC121892319/LOC121896922/LOC121882009/tln1/scn1laa/LOC121884663/txlnba/actn3b/mtm1/LOC121887522/dst/LOC121891793/tnnt2d/myh7ba/trpc1/hsp90aa1.1/LOC121888075/psen2/lman1/gapdhs/slc2a1b/LOC121914010/fhod3a/LOC121906789/parvaa/myh11a/lrpprc/jupa/pgm1/LOC121906921/capn8/fbp2/mbnl2/LOC121882802/jph2/LOC121911191/l1cama/tmod2/mmp2/nuak2/rpl7/sqstm1/LOC121895767/LOC121892103/LOC121880911/cspg4/tnnt1/LOC121886466/LOC121896749/synm/LOC121891716/LOC121890392/LOC121892381/psen1/tmod1/parvb/ppp1r12a/fhl3a/unc45b/myom1b/syne2b/sri/LOC121907980/LOC121887276/klhl41a/tnnt2a/myh7l/LOC121902029/LOC121885296/LOC121912923/mybphb/capn2b/tnnt2e/cfl2/LOC121895103/cspg4ba/acta1b"
"6","myofibril","Cellular Component",1.47986885399618,3.22990470295076e-12,4.72804216766942e-09,3.98468243353504e-09,"GO:0030016","202/4888","384/13751",202,"gapdh/LOC121909097/myom2a/LOC121883513/acta2/LOC121883509/mybpc2b/capn3b/LOC121883528/LOC121883532/itga5/LOC121883529/pak1/LOC121883511/LOC121908475/LOC121884030/atp2a1/gpd1b/itgb2/LOC121883514/LOC121883515/LOC121883527/LOC121910885/LOC121893745/myom2b/atp2a1l/pdlim5a/itgav/LOC121890607/LOC121906032/LOC121899381/mypn/LOC121883530/tmod4/obscna/LOC121883517/myl9b/myoz1a/LOC121883510/flna/LOC121887586/capn1/LOC121899094/LOC121911401/LOC121912146/actn1/LOC121898947/myl1/casq1b/itgb3a/LOC121884341/LOC121908668/LOC121884840/ryr3/itga8/LOC121911171/LOC121888854/csrp1b/wdr1/LOC121894285/cavin4b/LOC121884700/lmod1b/LOC121893746/LOC121894571/cmya5/LOC121894670/ryr1b/aldoab/nuak1b/csrp2/myl2a/LOC121912256/trip6/LOC121896926/LOC121893985/cacna1c/capzb/LOC121907988/casq2/smpx/actb1/tpm4a/LOC121901160/LOC121895055/LOC121895662/LOC121900514/igfn1.1/psma6a/LOC121883403/LOC121898608/gys1/arhgef25b/slc8a1b/ankhd1/LOC121895500/LOC121909093/calm3a/lasp1/tln2b/LOC121884874/hdac4/scn3b/LOC121904032/LOC121883559/LOC121880795/mybpc3/sgcg/LOC121883377/fhl2a/LOC121880591/tnnc1a/adra1ab/ak1/tnnt3a/LOC121895409/myot/LOC121882242/ank1a/dmd/cavin4a/LOC121894656/LOC121892319/LOC121882041/LOC121896922/LOC121882009/tln1/scn1laa/LOC121884663/txlnba/actn3b/mtm1/LOC121887522/dst/LOC121891793/tnnt2d/myh7ba/trpc1/hsp90aa1.1/ilk/LOC121888075/psen2/lman1/gapdhs/slc2a1b/LOC121914010/fhod3a/LOC121906789/parvaa/myh11a/lrpprc/jupa/pgm1/LOC121906921/capn8/fbp2/mbnl2/LOC121882802/jph2/LOC121911191/l1cama/tmod2/mmp2/nuak2/rpl7/sqstm1/LOC121895767/LOC121892103/LOC121880911/cspg4/tnnt1/LOC121886466/LOC121896749/synm/LOC121891716/LOC121890392/LOC121892381/psen1/tmod1/parvb/ppp1r12a/fhl3a/unc45b/myom1b/syne2b/sri/LOC121907980/LOC121900042/LOC121887276/klhl41a/tnnt2a/myh7l/LOC121902029/LOC121885296/LOC121912923/mybphb/capn2b/tnnt2e/cfl2/LOC121895103/cspg4ba/acta1b"
"7","adherens junction","Cellular Component",1.45337503819574,2.8035685019337e-11,3.51767745035481e-08,2.96461559482673e-08,"GO:0005912","202/4888","391/13751",202,"LOC121899291/afap1/cadm2b/shroom2a/itga5/pak1/vaspb/ajuba/epha2a/itgb2/niban2a/si:ch73-22o12.1/LOC121908664/arhgap24/ctnnd1/itgav/si:dkey-151g10.3/magi1b/LOC121899381/itga2.2/ndrg1a/mpp7a/myl9b/LOC121885542/tns1a/LOC121887586/actn1/gja1b/oxtrb/itgb3a/LOC121908668/map2k1/focad/LOC121906858/nectin3a/abl1/tns1b/itga8/asap3/arl2/csrp1b/LOC121897678/kirrel3l/ctnna1/pdlim7/tns2a/tes/trip6/dlg3/LOC121882015/LOC121893985/ptprfa/LOC121912372/notch1a/LOC121911622/smpx/pik3r2/actb1/dixdc1a/LOC121901160/prkci/sh3kbp1/LOC121910149/dld/LOC121908577/LOC121881499/schip1/arpc2/LOC121912151/dlc1/jcada/LOC121892330/thbs3a/zyx/jak2a/thbs4b/lasp1/kirrel1a/LOC121880708/tln2b/LOC121884874/LOC121904032/aif1l/thbs4a/itga7/pip5k1ca/fat2/actb2/LOC121909354/rsu1/keap1b/itga6b/rassf8b/LOC121882242/itga6a/magi3a/tln1/fat1a/cd99l2/ssx2ipa/LOC121907308/LOC121888149/cadm3/flii/ezrb/actn3b/niban2b/LOC121887522/dst/LOC121909077/itga11a/ilk/tjp2a/LOC121888075/si:dkey-22o22.2/shroom3/pof1b/diaph2/erbin/dlg5a/sorbs3/lrrc7/fblim1/LOC121891951/parvaa/itga4/jupa/cav1/LOC121888118/epb41l5/mtf2/LOC121884975/klf11b/plekha7b/dll4/dspa/ppp1r12c/LOC121882802/LOC121880957/arhgef7a/cdc42l/frmd4ba/add1/LOC121891828/LOC121891921/lima1a/LOC121911191/macf1a/l1cama/ctnna2/rock1/LOC121881355/LOC121895014/LOC121892428/kirrel1b/LOC121913671/LOC121895767/efhd1/pkp3a/ptprsa/cspg4/notch3/LOC121895366/LOC121909901/git1/cdca3/LOC121888401/LOC121899965/synm/bcar1/apc2/camsap3/adgrb1a/LOC121909861/LOC121899278/tgm1l1/mapk3/znf384a/jag1b/parvb/evla/nhsa/tjp1a/pals1a/syne2b/kif3a/cdc42ep4b/vezt/prune/LOC121903410/epha2b/map2k2a/LOC121887004/notch2/LOC121912923/LOC121903457/enah/frmd6/limk1a/LOC121892127/lmln/cspg4ba"
"8","actin filament binding","Molecular Function",1.66938094638586,4.15785259950278e-11,4.45085317189042e-08,3.75107408507265e-08,"GO:0051015","108/4888","182/13751",108,"myom2a/LOC121883513/tagln/shroom2a/LOC121883509/mybpc2b/LOC121883528/LOC121883532/LOC121883529/LOC121883511/LOC121908475/ajuba/LOC121884030/LOC121900142/LOC121883514/LOC121883515/dbn1/LOC121883527/LOC121893745/myom2b/LOC121906032/mypn/LOC121883530/LOC121883517/pdlim4/LOC121883510/flna/arpc5b/actn1/coro1b/abl1/fscn1a/wdr1/LOC121894285/LOC121884700/ctnna1/LOC121893746/LOC121913306/capzb/nav3/map1sa/tpm4a/cyfip1/LOC121895055/shroom4/arpc2/zgc:153184/lasp1/LOC121886467/nav2a/LOC121883559/aif1l/mybpc3/LOC121908627/tnnc1a/LOC121886235/iqgap2/egfra/LOC121910633/adss1/myo1b/ezrb/LOC121885837/actn3b/myo16/LOC121887522/fgd4a/LOC121908547/pof1b/sipa1l1/LOC121884384/LOC121903552/coro1ca/coro6/LOC121898364/tmem201/myo6b/myo6a/dbnlb/myo1d/LOC121887653/add1/sptb/LOC121891828/ankrd12/lima1a/macf1a/tmod2/itprid2/shroom1/naa25/hip1rb/klhl17/dub/hip1/camsap3/LOC121885838/LOC121896730/tmod1/ppp1r9ala/myom1b/coro2ba/LOC121885296/mybphb/vps16/cfl2/bloc1s6/LOC121895103"
"9","tissue migration","Biological Process",1.45011136045354,4.56081960002434e-11,4.45085317189042e-08,3.75107408507265e-08,"GO:0090130","200/4888","388/13751",200,"acta2/capn3b/itga5/LOC121884139/mark1/itgb2/ccbe1/mark2b/itgav/LOC121882333/LOC121906032/dnm3b/gmfg/adgra2/myl9b/capn1/id1/arpc5b/elmo1/LOC121900032/fzd2/exoc6b/adam8a/zeb2a/itgb3a/LOC121908668/robo1/mapk8a/map2k1/LOC121897079/abl1/itga8/dvl2/tspan5a/wdr1/LOC121906491/LOC121891899/LOC121900198/LOC121894670/stard13b/ndel1b/LOC121888971/LOC121912256/fzd1/arpc4l/ptprfa/bves/capzb/notch1a/LOC121906205/cyfip1/arpc3/dld/LOC121883403/pik3ca/LOC121912416/arpc2/robo3/LOC121912151/nrg2a/dlc1/scg2a/LOC121905775/jak2a/LOC121895711/LOC121894706/wwc3/snai2/sall3b/LOC121892112/tln2b/plcg2/LOC121895830/LOC121884874/tbc1d23/cebpa/LOC121883559/LOC121880795/stmn1b/ptenb/itga7/LOC121908627/fat2/egfra/itga6b/LOC121895127/vegfab/plekhg5b/itga6a/tln1/fat1a/LOC121908245/map2k7/LOC121908525/LOC121909664/LOC121909077/myh7ba/rab5c/sema3d/LOC121908220/slit1a/ltb4r2b/slc39a7/rxrba/orc3/LOC121894458/rac3b/kdrl/bmp4/hmgb1b/srfb/myh11a/gipc1/slit2/braf/LOC121908603/myo6b/exoc2/myo6a/rxrgb/mapk8b/epb41l5/LOC121913666/LOC121891695/mast2/capn8/dll4/LOC121909825/evi5b/sin3aa/nr1h3/nup188/pard6a/LOC121901722/foxf1/ncoa2/robo2/akt2/rin2a/emp2/adam10a/sall1a/bmp2b/dpp4/LOC121907144/ptpn11b/dvl1a/ptprsa/notch3/actr3b/tgfb3/rhoab/ect2/naa25/LOC121901833/mrtfba/sin3b/LOC121895480/LOC121900182/sall3a/LOC121906087/LOC121898715/flt1/mrtfbb/tspan33a/LOC121892375/egr3/lgr4/LOC121911912/mast3b/vps18/LOC121908160/alg5/LOC121908978/akt1/egr1/LOC121910394/prkx/myh7l/stat5a/loxl2b/map2k2a/LOC121905678/notch2/akt3a/enah/LOC121882626/frmd6/LOC121886841/capn2b/abi1a/ets1/LOC121881354/psenen/lemd3/dync1h1/rab3gap2/LOC121898115/acta1b/LOC121887638"
"10","anchoring junction","Cellular Component",1.4239735507466,2.11399695398106e-10,1.85672352468156e-07,1.5648027979363e-07,"GO:0070161","205/4888","405/13751",205,"LOC121899291/afap1/cadm2b/shroom2a/itga5/pak1/vaspb/ajuba/epha2a/itgb2/niban2a/si:ch73-22o12.1/LOC121908664/arhgap24/ctnnd1/itgav/si:dkey-151g10.3/magi1b/LOC121899381/itga2.2/ndrg1a/mpp7a/myl9b/LOC121885542/tns1a/LOC121887586/actn1/gja1b/oxtrb/itgb3a/LOC121908668/map2k1/focad/LOC121906858/nectin3a/b4galt1l/abl1/tns1b/itga8/asap3/arl2/csrp1b/LOC121897678/kirrel3l/ctnna1/pdlim7/tns2a/tes/trip6/dlg3/LOC121882015/LOC121893985/ptprfa/LOC121912372/notch1a/LOC121911622/smpx/pik3r2/actb1/dixdc1a/LOC121901160/prkci/sh3kbp1/LOC121910149/dld/LOC121908577/LOC121881499/schip1/arpc2/LOC121912151/dlc1/jcada/LOC121892330/thbs3a/zyx/jak2a/thbs4b/lasp1/kirrel1a/LOC121880708/tln2b/LOC121884874/LOC121904032/aif1l/thbs4a/itga7/pip5k1ca/fat2/actb2/LOC121909354/rsu1/keap1b/itga6b/rassf8b/LOC121882242/itga6a/magi3a/tln1/fat1a/cd99l2/ssx2ipa/LOC121907308/LOC121888149/cadm3/flii/ezrb/actn3b/niban2b/ppl/LOC121887522/dst/LOC121909077/itga11a/ilk/tjp2a/LOC121888075/si:dkey-22o22.2/shroom3/pof1b/diaph2/erbin/dlg5a/sorbs3/lrrc7/fblim1/LOC121891951/parvaa/itga4/jupa/cav1/LOC121888118/epb41l5/mtf2/LOC121884975/klf11b/plekha7b/dll4/dspa/ppp1r12c/LOC121882802/LOC121880957/arhgef7a/cdc42l/frmd4ba/add1/LOC121891828/LOC121891921/lima1a/LOC121911191/macf1a/l1cama/ctnna2/rock1/LOC121881355/LOC121895014/LOC121892428/kirrel1b/LOC121913671/LOC121895767/efhd1/pkp3a/ptprsa/cspg4/notch3/LOC121895366/LOC121909901/git1/cdca3/LOC121888401/LOC121899965/synm/bcar1/apc2/camsap3/adgrb1a/LOC121909861/LOC121899278/tgm1l1/mapk3/znf384a/jag1b/parvb/evla/nhsa/tjp1a/pals1a/syne2b/kif3a/cdc42ep4b/vezt/prune/LOC121903410/epha2b/map2k2a/LOC121908556/LOC121887004/notch2/LOC121912923/LOC121903457/enah/frmd6/limk1a/LOC121892127/lmln/cspg4ba"
