GeneID,log2FoldChange,padj,tax_id,Org_name,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
121905205,3.1973353228372328,1.652358205236922e-119,8240,Thunnus maccoyii,0,live,pear1,,platelet endothelial aggregation receptor 1,platelet endothelial aggregation receptor 1,NA,10,NC_056542.1,8594594,8647706,minus,25,NA
121905054,6.969605722627197,3.1809394897357167e-83,8240,Thunnus maccoyii,0,live,kitb,,"KIT proto-oncogene, receptor tyrosine kinase b","KIT proto-oncogene, receptor tyrosine kinase b",NA,2,NC_056534.1,38137362,38154580,plus,21,NA
121896741,2.086129010974893,4.832965160998971e-78,8240,Thunnus maccoyii,0,live,ptpn9a,,protein tyrosine phosphatase non-receptor type 9a,tyrosine-protein phosphatase non-receptor type 9,NA,5,NC_056537.1,9188612,9216068,minus,13,NA
121904884,3.4459948237107416,1.6278013214493646e-77,8240,Thunnus maccoyii,0,live,LOC121904884,,tumor necrosis factor receptor superfamily member 11B-like,tumor necrosis factor receptor superfamily member 11B-like,NA,10,NC_056542.1,21304550,21327185,minus,6,NA
121904665,4.161171047373944,2.561400902998148e-74,8240,Thunnus maccoyii,0,live,trpv4,,"transient receptor potential cation channel, subfamily V, member 4",transient receptor potential cation channel subfamily V member 4,NA,9,NC_056541.1,19586073,19600014,plus,17,NA
121884723,2.0238282408668375,1.09317504637082e-73,8240,Thunnus maccoyii,0,live,kdelr2a,,KDEL endoplasmic reticulum protein retention receptor 2a,ER lumen protein-retaining receptor 2,NA,18,NC_056550.1,15045626,15051720,plus,5,NA
121903603,3.175860697780091,5.924731109307526e-72,8240,Thunnus maccoyii,0,live,fgfr1a,,fibroblast growth factor receptor 1a,fibroblast growth factor receptor 1-A,NA,9,NC_056541.1,26826498,26855328,minus,19,NA
121899214,2.5146268283600643,8.996302951867404e-69,8240,Thunnus maccoyii,0,live,LOC121899214,,tyrosine-protein kinase receptor UFO,tyrosine-protein kinase receptor UFO,NA,6,NC_056538.1,28654343,28682092,minus,20,NA
121908711,2.072597922012582,5.112115289401127e-63,8240,Thunnus maccoyii,0,live,tnk2b,,"tyrosine kinase, non-receptor, 2b","tyrosine kinase, non-receptor, 2b",NA,12,NC_056544.1,8676901,8739837,minus,22,NA
121892115,6.691852982392301,1.2221442231829893e-62,8240,Thunnus maccoyii,0,live,slitrk6,,"SLIT and NTRK-like family, member 6",SLIT and NTRK-like protein 6,NA,24,NC_056556.1,13739128,13755859,plus,2,NA
121906797,4.426521459539901,3.732710758383458e-62,8240,Thunnus maccoyii,0,live,cmklr2,,chemerin chemokine-like receptor 2,G-protein coupled receptor 1,NA,11,NC_056543.1,18971386,18976415,plus,3,NA
121896675,2.5136854752450315,1.3428968313730704e-56,8240,Thunnus maccoyii,0,live,cd44b,,CD44 molecule (Indian blood group) b,CD44 antigen,NA,5,NC_056537.1,22589941,22602781,plus,8,NA
121906561,2.353958030539069,1.1116124511720296e-54,8240,Thunnus maccoyii,0,live,caska,,calcium/calmodulin-dependent serine protein kinase a,peripheral plasma membrane protein CASK,NA,11,NC_056543.1,24882977,25004379,minus,29,NA
121904572,2.978758619463025,1.376172937703405e-54,8240,Thunnus maccoyii,0,live,hdr,,hematopoietic death receptor,hematopoietic death receptor,NA,9,NC_056541.1,34216993,34226598,plus,10,NA
121889601,2.317866298585417,1.6425133895446466e-52,8240,Thunnus maccoyii,0,live,LOC121889601,,F-box/WD repeat-containing protein 7-like,F-box/WD repeat-containing protein 7-like,NA,22,NC_056554.1,22632675,22672482,minus,16,NA
121887818,2.368976857291269,1.0429627206899213e-50,8240,Thunnus maccoyii,0,live,tfr1b,,transferrin receptor 1b,transferrin receptor 1b,NA,21,NC_056553.1,7002164,7017266,plus,19,NA
121910392,2.6277962771269148,6.42846211096338e-49,8240,Thunnus maccoyii,0,live,fgfr4,,fibroblast growth factor receptor 4,fibroblast growth factor receptor 4,NA,13,NC_056545.1,10252365,10272919,plus,21,NA
121882707,2.228119799197594,3.0724436286595374e-48,8240,Thunnus maccoyii,0,live,lbr,,lamin B receptor,delta(14)-sterol reductase LBR,NA,17,NC_056549.1,24893762,24910945,minus,14,NA
121893833,4.133114248806039,1.8735388873994487e-47,8240,Thunnus maccoyii,0,live,LOC121893833,,macrophage-stimulating protein receptor-like,macrophage-stimulating protein receptor-like,NA,3,NC_056535.1,19672942,19685741,plus,22,NA
121904549,3.375390838124889,3.143730851773597e-43,8240,Thunnus maccoyii,0,live,unc5db,,unc-5 netrin receptor Db,netrin receptor UNC5D,NA,9,NC_056541.1,34020086,34206595,plus,18,NA
121897079,7.543285141394447,3.527657956244663e-42,8240,Thunnus maccoyii,0,live,LOC121897079,,leucine-rich repeat-containing G-protein coupled receptor 5-like,leucine-rich repeat-containing G-protein coupled receptor 5-like,NA,5,NC_056537.1,4096099,4134037,minus,16,NA
121906580,2.2887710853021437,1.571260266486057e-40,8240,Thunnus maccoyii,0,live,marco,,macrophage receptor with collagenous structure,macrophage receptor MARCO,NA,11,NC_056543.1,2760193,2782421,minus,14,NA
121912879,2.2407376232164236,1.5834809868371994e-40,8240,Thunnus maccoyii,0,live,LOC121912879,,tetratricopeptide repeat protein 31-like,hsp70-Hsp90 organizing protein 3-like|tetratricopeptide repeat protein 31-like,NA,2,NC_056534.1,5687149,5710802,plus,16,NA
121897435,4.797264476647576,2.098421877357847e-39,8240,Thunnus maccoyii,0,live,ptprq,,protein tyrosine phosphatase receptor type Q,phosphatidylinositol phosphatase PTPRQ,NA,5,NC_056537.1,18686234,18724194,plus,63,NA
121901771,3.1978502412695344,5.3713557212358295e-39,8240,Thunnus maccoyii,0,live,slit3,,slit homolog 3 (Drosophila),slit homolog 3 protein,NA,8,NC_056540.1,24549253,24811250,minus,39,NA
121897263,4.783041800190115,3.1279642872299805e-37,8240,Thunnus maccoyii,0,live,LOC121897263,,receptor-type tyrosine-protein phosphatase beta-like,receptor-type tyrosine-protein phosphatase beta-like,NA,5,NC_056537.1,4143239,4193832,plus,35,NA
