GeneID,log2FoldChange,padj,tax_id,Org_name,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
121904549,3.6951335096662925,0,8240,Thunnus maccoyii,0,live,unc5db,,unc-5 netrin receptor Db,netrin receptor UNC5D,NA,9,NC_056541.1,34020086,34206595,plus,18,NA
121903603,3.657759252611429,1.5380171897989743e-240,8240,Thunnus maccoyii,0,live,fgfr1a,,fibroblast growth factor receptor 1a,fibroblast growth factor receptor 1-A,NA,9,NC_056541.1,26826498,26855328,minus,19,NA
121912465,2.6910452599922663,5.3483870555031795e-182,8240,Thunnus maccoyii,0,live,spaca4l,,sperm acrosome associated 4 like,protein Bouncer,NA,15,NC_056547.1,11722706,11736509,plus,3,NA
121905054,8.24435188508657,1.296657748471454e-168,8240,Thunnus maccoyii,0,live,kitb,,"KIT proto-oncogene, receptor tyrosine kinase b","KIT proto-oncogene, receptor tyrosine kinase b",NA,2,NC_056534.1,38137362,38154580,plus,21,NA
121896149,2.0207242172645756,1.9486622819146115e-164,8240,Thunnus maccoyii,0,live,ssr4,,"signal sequence receptor, delta",translocon-associated protein subunit delta,NA,4,NC_056536.1,16437478,16441018,plus,6,NA
121900138,3.2641373454658305,1.3564056335184932e-148,8240,Thunnus maccoyii,0,live,LOC121900138,,adhesion G-protein coupled receptor D2,adhesion G-protein coupled receptor D2,NA,7,NC_056539.1,20589817,20688787,minus,29,NA
121884101,2.826023781965171,3.0053053507838773e-137,8240,Thunnus maccoyii,0,live,fzd2,,frizzled class receptor 2,frizzled-2,NA,18,NC_056550.1,21202732,21205048,plus,1,NA
121898830,2.0372990741615937,2.213134749078218e-134,8240,Thunnus maccoyii,0,live,ssr3,,"signal sequence receptor, gamma",translocon-associated protein subunit gamma,NA,6,NC_056538.1,12021179,12024633,minus,5,NA
121887818,2.0141009323515062,7.9535470336239285e-134,8240,Thunnus maccoyii,0,live,tfr1b,,transferrin receptor 1b,transferrin receptor 1b,NA,21,NC_056553.1,7002164,7017266,plus,19,NA
121899214,2.723134177566813,1.9159285445152782e-132,8240,Thunnus maccoyii,0,live,LOC121899214,,tyrosine-protein kinase receptor UFO,tyrosine-protein kinase receptor UFO,NA,6,NC_056538.1,28654343,28682092,minus,20,NA
121905205,3.0205374071179794,3.205156219923661e-126,8240,Thunnus maccoyii,0,live,pear1,,platelet endothelial aggregation receptor 1,platelet endothelial aggregation receptor 1,NA,10,NC_056542.1,8594594,8647706,minus,25,NA
121904884,3.550290021596628,5.973458564338814e-113,8240,Thunnus maccoyii,0,live,LOC121904884,,tumor necrosis factor receptor superfamily member 11B-like,tumor necrosis factor receptor superfamily member 11B-like,NA,10,NC_056542.1,21304550,21327185,minus,6,NA
121901771,3.4171041606315,1.042252161959361e-111,8240,Thunnus maccoyii,0,live,slit3,,slit homolog 3 (Drosophila),slit homolog 3 protein,NA,8,NC_056540.1,24549253,24811250,minus,39,NA
121904572,3.410282861830204,1.0583605799787064e-105,8240,Thunnus maccoyii,0,live,hdr,,hematopoietic death receptor,hematopoietic death receptor,NA,9,NC_056541.1,34216993,34226598,plus,10,NA
121912504,5.970838817590066,2.616878513101975e-104,8240,Thunnus maccoyii,0,live,lpar2b,,lysophosphatidic acid receptor 2b,lysophosphatidic acid receptor 2b,NA,2,NC_056534.1,8788073,8810481,plus,5,NA
121910427,2.1254424852303635,4.461383915319465e-98,8240,Thunnus maccoyii,0,live,LOC121910427,,platelet-derived growth factor receptor beta-like,platelet-derived growth factor receptor beta-like,NA,13,NC_056545.1,207315,242416,plus,28,NA
121904665,4.013246847074422,7.916576469937804e-96,8240,Thunnus maccoyii,0,live,trpv4,,"transient receptor potential cation channel, subfamily V, member 4",transient receptor potential cation channel subfamily V member 4,NA,9,NC_056541.1,19586073,19600014,plus,17,NA
121913513,4.078859765978233,1.5408680442868858e-92,8240,Thunnus maccoyii,0,live,chrnb3a,,cholinergic receptor nicotinic beta 3 subunit a,neuronal acetylcholine receptor subunit beta-3a,NA,2,NC_056534.1,28522142,28535990,minus,9,NA
121906561,2.2653944231675216,8.897670637477072e-86,8240,Thunnus maccoyii,0,live,caska,,calcium/calmodulin-dependent serine protein kinase a,peripheral plasma membrane protein CASK,NA,11,NC_056543.1,24882977,25004379,minus,29,NA
121906797,4.221026328536344,1.8605090616631358e-72,8240,Thunnus maccoyii,0,live,cmklr2,,chemerin chemokine-like receptor 2,G-protein coupled receptor 1,NA,11,NC_056543.1,18971386,18976415,plus,3,NA
121892265,2.0606579832330976,1.4631899493441053e-70,8240,Thunnus maccoyii,0,live,LOC121892265,,bone morphogenetic protein receptor type-2-like,bone morphogenetic protein receptor type-2-like,NA,24,NC_056556.1,17076908,17112510,plus,13,NA
121905304,3.5590920009542204,7.566633217971922e-68,8240,Thunnus maccoyii,0,live,LOC121905304,,chemokine-like receptor 1,chemokine-like receptor 1,NA,10,NC_056542.1,19635430,19642333,plus,2,NA
121911659,3.857482888207487,2.1649825696596228e-66,8240,Thunnus maccoyii,0,live,fgfr2,,fibroblast growth factor receptor 2,fibroblast growth factor receptor 2,NA,14,NC_056546.1,23029331,23068843,plus,18,NA
121888049,2.464402469305508,3.32974649075865e-64,8240,Thunnus maccoyii,0,live,tgfbr1b,,"transforming growth factor, beta receptor 1 b",TGF-beta receptor type-1b,NA,21,NC_056553.1,24659326,24737959,minus,10,NA
121901728,2.952546943228518,1.3699434275362144e-63,8240,Thunnus maccoyii,0,live,hmmr,,hyaluronan-mediated motility receptor (RHAMM),hyaluronan mediated motility receptor,NA,8,NC_056540.1,10539597,10546895,minus,20,NA
121910392,3.1158585461843082,2.1157552860547135e-63,8240,Thunnus maccoyii,0,live,fgfr4,,fibroblast growth factor receptor 4,fibroblast growth factor receptor 4,NA,13,NC_056545.1,10252365,10272919,plus,21,NA
121912879,2.365143925746976,2.261022802724538e-59,8240,Thunnus maccoyii,0,live,LOC121912879,,tetratricopeptide repeat protein 31-like,hsp70-Hsp90 organizing protein 3-like|tetratricopeptide repeat protein 31-like,NA,2,NC_056534.1,5687149,5710802,plus,16,NA
121893833,3.836459542767764,2.1879687206849338e-58,8240,Thunnus maccoyii,0,live,LOC121893833,,macrophage-stimulating protein receptor-like,macrophage-stimulating protein receptor-like,NA,3,NC_056535.1,19672942,19685741,plus,22,NA
121896122,2.654721701964881,4.425116332622789e-57,8240,Thunnus maccoyii,0,live,acvrl1,,activin A receptor like type 1,serine/threonine-protein kinase receptor R3,NA,4,NC_056536.1,16988118,17002358,plus,10,NA
121889601,2.1949047928324346,1.8501924895999955e-51,8240,Thunnus maccoyii,0,live,LOC121889601,,F-box/WD repeat-containing protein 7-like,F-box/WD repeat-containing protein 7-like,NA,22,NC_056554.1,22632675,22672482,minus,16,NA
121905310,3.7109171327561867,5.907603063554821e-50,8240,Thunnus maccoyii,0,live,LOC121905310,,chemokine-like receptor 1,chemokine-like receptor 1,NA,10,NC_056542.1,19698010,19704164,plus,2,NA
121896675,2.014396130119726,4.685610825859402e-49,8240,Thunnus maccoyii,0,live,cd44b,,CD44 molecule (Indian blood group) b,CD44 antigen,NA,5,NC_056537.1,22589941,22602781,plus,8,NA
121907668,2.093773814987632,4.3391981180302514e-47,8240,Thunnus maccoyii,0,live,ackr3a,,atypical chemokine receptor 3a,atypical chemokine receptor 3a,NA,11,NC_056543.1,20268078,20273963,minus,2,NA
121912006,2.2073388460329544,4.406534964654741e-46,8240,Thunnus maccoyii,0,live,mcfd2,,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit",multiple coagulation factor deficiency protein 2,NA,14,NC_056546.1,25828227,25832863,minus,4,NA
121897435,4.734097541082665,2.4979655599256157e-45,8240,Thunnus maccoyii,0,live,ptprq,,protein tyrosine phosphatase receptor type Q,phosphatidylinositol phosphatase PTPRQ,NA,5,NC_056537.1,18686234,18724194,plus,63,NA
121909607,2.4624505492865865,1.907571710779374e-40,8240,Thunnus maccoyii,0,live,lrrc32,,leucine rich repeat containing 32,transforming growth factor beta activator LRRC32,NA,13,NC_056545.1,5307469,5319866,plus,4,NA
121897079,7.522078607949242,6.121249927465287e-40,8240,Thunnus maccoyii,0,live,LOC121897079,,leucine-rich repeat-containing G-protein coupled receptor 5-like,leucine-rich repeat-containing G-protein coupled receptor 5-like,NA,5,NC_056537.1,4096099,4134037,minus,16,NA
121892115,7.578937616528751,1.4829984185047414e-39,8240,Thunnus maccoyii,0,live,slitrk6,,"SLIT and NTRK-like family, member 6",SLIT and NTRK-like protein 6,NA,24,NC_056556.1,13739128,13755859,plus,2,NA
121906856,2.652181421117087,8.523105887445097e-39,8240,Thunnus maccoyii,0,live,LOC121906856,,interleukin-1 receptor type 1-like,interleukin-1 receptor type 1-like,NA,11,NC_056543.1,29286413,29329049,minus,15,NA
121913625,2.3509901470493766,2.777259599954785e-37,8240,Thunnus maccoyii,0,live,LOC121913625,,TGF-beta receptor type-2-like,TGF-beta receptor type-2-like,NA,15,NC_056547.1,12096992,12117674,minus,7,NA
121901064,2.9678415961861435,3.126821793148867e-37,8240,Thunnus maccoyii,0,live,tie1,,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,tyrosine-protein kinase receptor Tie-1,NA,7,NC_056539.1,26078403,26101728,plus,25,NA
121906580,2.2796322756549516,1.5946721795097897e-36,8240,Thunnus maccoyii,0,live,marco,,macrophage receptor with collagenous structure,macrophage receptor MARCO,NA,11,NC_056543.1,2760193,2782421,minus,14,NA
