tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
8240,Thunnus maccoyii,121914085,0,live,adgrf3a,,adhesion G protein-coupled receptor F3a,adhesion G protein-coupled receptor F4|adhesion G-protein coupled receptor F3|uncharacterized protein adgrf3a,,16,NC_056548.1,8275195,8289750,plus,18,
8240,Thunnus maccoyii,121913950,0,live,fgfr3,,fibroblast growth factor receptor 3,fibroblast growth factor receptor 3,,16,NC_056548.1,4991061,5116753,minus,24,
8240,Thunnus maccoyii,121913828,0,live,adgrb2,,adhesion G protein-coupled receptor B2,adhesion G protein-coupled receptor B2,,15,NC_056547.1,21470834,21674332,plus,37,
8240,Thunnus maccoyii,121913589,0,live,rxrba,,"retinoid x receptor, beta a",retinoic acid receptor RXR-beta-A,,15,NC_056547.1,6698699,6720310,plus,14,
8240,Thunnus maccoyii,121913336,0,live,thrb,,thyroid hormone receptor beta,thyroid hormone receptor beta,,15,NC_056547.1,27651737,27776351,minus,13,
8240,Thunnus maccoyii,121912745,0,live,gabbr2,,"gamma-aminobutyric acid (GABA) B receptor, 2",gamma-aminobutyric acid type B receptor subunit 2,,15,NC_056547.1,18349056,18539796,plus,20,
8240,Thunnus maccoyii,121912002,0,live,nr3c2,,"nuclear receptor subfamily 3, group C, member 2",mineralocorticoid receptor,,2,NC_056534.1,13685326,13771008,plus,11,
8240,Thunnus maccoyii,121909969,0,live,nsd1b,,nuclear receptor binding SET domain protein 1b,"histone-lysine N-methyltransferase, H3 lysine-36 specific|uncharacterized protein nsd1b",,13,NC_056545.1,10112127,10144807,minus,29,
8240,Thunnus maccoyii,121909148,0,live,vipr2,,vasoactive intestinal peptide receptor 2,vasoactive intestinal polypeptide receptor 2,,12,NC_056544.1,27536250,27654717,plus,18,
8240,Thunnus maccoyii,121908711,0,live,tnk2b,,"tyrosine kinase, non-receptor, 2b","tyrosine kinase, non-receptor, 2b",,12,NC_056544.1,8676901,8739837,minus,22,
8240,Thunnus maccoyii,121908026,0,live,p2rx3b,,"purinergic receptor P2X, ligand-gated ion channel, 3b",P2X purinoceptor 3b,,2,NC_056534.1,23308220,23333332,plus,14,
8240,Thunnus maccoyii,121907664,0,live,cxcr2,,chemokine (C-X-C motif) receptor 2,C-X-C chemokine receptor type 1|C-X-C chemokine receptor type 2,,11,NC_056543.1,8905018,8912247,minus,4,
8240,Thunnus maccoyii,121907319,0,live,lrp2a,,low density lipoprotein receptor-related protein 2a,low-density lipoprotein receptor-related protein 2a,,11,NC_056543.1,17643053,17695423,minus,82,
8240,Thunnus maccoyii,121906791,0,live,epha3,,eph receptor A3,ephrin type-A receptor 3,,11,NC_056543.1,13360903,13463292,minus,22,
8240,Thunnus maccoyii,121906716,0,live,nr4a2a,,"nuclear receptor subfamily 4, group A, member 2a",nuclear receptor subfamily 4 group A member 2a,,11,NC_056543.1,16535717,16544146,minus,9,
8240,Thunnus maccoyii,121906350,0,live,grb10b,,growth factor receptor-bound protein 10b,growth factor receptor-bound protein 10,,10,NC_056542.1,23328670,23399965,plus,19,
8240,Thunnus maccoyii,121906331,0,live,mc5ra,,melanocortin 5a receptor,melanocortin 5a receptor,,10,NC_056542.1,30004584,30046065,plus,9,
8240,Thunnus maccoyii,121905794,0,live,nr4a3,,"nuclear receptor subfamily 4, group A, member 3",nuclear receptor subfamily 4 group A member 3,,10,NC_056542.1,17001932,17024047,minus,10,
8240,Thunnus maccoyii,121905717,0,live,nradd,,neurotrophin receptor associated death domain,tumor necrosis factor receptor superfamily member 16,,10,NC_056542.1,17854180,17863888,minus,7,
8240,Thunnus maccoyii,121905596,0,live,arnt,,aryl hydrocarbon receptor nuclear translocator,aryl hydrocarbon receptor nuclear translocator,,10,NC_056542.1,15437018,15453094,minus,20,
8240,Thunnus maccoyii,121905580,0,live,gabbr1a,,"gamma-aminobutyric acid (GABA) B receptor, 1a",gamma-aminobutyric acid type B receptor subunit 1,,10,NC_056542.1,8730023,8802367,minus,24,
8240,Thunnus maccoyii,121905055,0,live,tnfrsf1a,,"tumor necrosis factor receptor superfamily, member 1a",tumor necrosis factor receptor superfamily member 1A,,10,NC_056542.1,14192095,14201645,minus,13,
8240,Thunnus maccoyii,121904967,0,live,rxrbb,,"retinoid x receptor, beta b",retinoic acid receptor RXR-beta-B,,10,NC_056542.1,18842756,18853714,minus,15,
8240,Thunnus maccoyii,121904644,0,live,adgrd1,,adhesion G protein-coupled receptor D1,adhesion G-protein coupled receptor D1,,9,NC_056541.1,26517961,26550038,plus,26,
8240,Thunnus maccoyii,121904513,0,live,trpm3,,"transient receptor potential cation channel, subfamily M, member 3",transient receptor potential cation channel subfamily M member 3,,9,NC_056541.1,23155930,23307640,minus,34,
8240,Thunnus maccoyii,121904450,0,live,kiss1rb,,KISS1 receptor b,KISS1 receptor b,,9,NC_056541.1,11260503,11270213,minus,10,
8240,Thunnus maccoyii,121904048,0,live,asgrl1,,asialoglycoprotein receptor-like 1,asialoglycoprotein receptor-like 1,,9,NC_056541.1,27456695,27461639,plus,11,
8240,Thunnus maccoyii,121903534,0,live,lrp13,,low-density lipoprotein receptor related-protein 13,very low-density lipoprotein receptor,,9,NC_056541.1,29886285,29899300,minus,21,
8240,Thunnus maccoyii,121903321,0,live,grin1b,,"glutamate receptor, ionotropic, N-methyl D-aspartate 1b","glutamate receptor ionotropic, NMDA 1b",,9,NC_056541.1,1256998,1322721,plus,25,
8240,Thunnus maccoyii,121903307,0,live,trpm6,,"transient receptor potential cation channel, subfamily M, member 6",transient receptor potential cation channel subfamily M member 6,,9,NC_056541.1,25111546,25135639,minus,43,
8240,Thunnus maccoyii,121902275,0,live,lpar4,,lysophosphatidic acid receptor 4,lysophosphatidic acid receptor 4,,8,NC_056540.1,9211455,9224256,plus,6,
8240,Thunnus maccoyii,121902201,0,live,rxfp1,,relaxin family peptide receptor 1,relaxin receptor 1,,8,NC_056540.1,26794155,26871019,plus,19,
8240,Thunnus maccoyii,121902059,0,live,gpr174,,G protein-coupled receptor 174,probable G-protein coupled receptor 174,,8,NC_056540.1,9232854,9243287,plus,6,
8240,Thunnus maccoyii,121901981,0,live,gpr101,,G protein-coupled receptor 101,probable G-protein coupled receptor 101,,8,NC_056540.1,20781537,20785768,plus,2,
8240,Thunnus maccoyii,121901138,0,live,ptprsa,,protein tyrosine phosphatase receptor type Sa,receptor-type tyrosine-protein phosphatase S,,7,NC_056539.1,20866440,21117083,minus,35,
8240,Thunnus maccoyii,121900845,0,live,s1pr4,,sphingosine-1-phosphate receptor 4,sphingosine 1-phosphate receptor 4,,7,NC_056539.1,16421145,16436227,minus,10,
8240,Thunnus maccoyii,121900696,0,live,rxrgb,,"retinoid X receptor, gamma b",retinoic acid receptor RXR-gamma-B,,7,NC_056539.1,13889793,13924897,plus,14,
8240,Thunnus maccoyii,121900650,0,live,ptprfa,,protein tyrosine phosphatase receptor type Fa,protein tyrosine phosphatase receptor type Fa,,7,NC_056539.1,1395294,1775975,minus,35,
8240,Thunnus maccoyii,121900398,0,live,ptprc,,protein tyrosine phosphatase receptor type C,receptor-type tyrosine-protein phosphatase C,,7,NC_056539.1,23409177,23431721,plus,32,
8240,Thunnus maccoyii,121900254,0,live,adgrl2a,,adhesion G protein-coupled receptor L2a,adhesion G protein-coupled receptor L2,,7,NC_056539.1,17935717,18034697,minus,24,
8240,Thunnus maccoyii,121900131,0,live,lrp8,,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",low-density lipoprotein receptor-related protein 8,,7,NC_056539.1,25653988,25835765,minus,19,
8240,Thunnus maccoyii,121900129,0,live,gabra5,,gamma-aminobutyric acid type A receptor subunit alpha5,gamma-aminobutyric acid receptor subunit alpha-5,,7,NC_056539.1,7373987,7402021,plus,14,
8240,Thunnus maccoyii,121899885,0,live,tbxa2r,,thromboxane A2 receptor,thromboxane A2 receptor,,7,NC_056539.1,20832640,20859105,minus,6,
8240,Thunnus maccoyii,121898475,0,live,sorl1,,"sortilin-related receptor, L(DLR class) A repeats containing",sortilin-related receptor,,6,NC_056538.1,4742656,4838590,plus,48,
8240,Thunnus maccoyii,121898445,0,live,gpr171,,G protein-coupled receptor 171,probable G-protein coupled receptor 171,,6,NC_056538.1,33062038,33073219,minus,11,
8240,Thunnus maccoyii,121897878,0,live,ptpn5,,protein tyrosine phosphatase non-receptor type 5,tyrosine-protein phosphatase non-receptor type 5,,5,NC_056537.1,23899104,23935812,plus,19,
8240,Thunnus maccoyii,121897677,0,live,nr1h4,,"nuclear receptor subfamily 1, group H, member 4",bile acid receptor,,5,NC_056537.1,21112031,21123388,plus,11,
8240,Thunnus maccoyii,121897162,0,live,arntl2,,basic helix-loop-helix ARNT like 2,aryl hydrocarbon receptor nuclear translocator-like protein 2|aryl hydrocarbon receptor nuclear translocator-like 2,,5,NC_056537.1,21060461,21074938,minus,17,
8240,Thunnus maccoyii,121896987,0,live,nr2f2,,"nuclear receptor subfamily 2, group F, member 2",COUP transcription factor 2,,5,NC_056537.1,17918591,18131715,plus,26,
8240,Thunnus maccoyii,121896771,0,live,grm8b,,"glutamate receptor, metabotropic 8b","glutamate receptor, metabotropic 8b",,5,NC_056537.1,2540246,2701281,minus,16,
8240,Thunnus maccoyii,121896758,0,live,ptprz1a,,protein tyrosine phosphatase receptor type Z1a,receptor-type tyrosine-protein phosphatase zeta,,5,NC_056537.1,1707429,1812990,plus,30,
8240,Thunnus maccoyii,121896754,0,live,chrm4b,,"cholinergic receptor, muscarinic 4b",muscarinic acetylcholine receptor M2,,5,NC_056537.1,401432,413182,plus,5,
8240,Thunnus maccoyii,121896645,0,live,grm3,,"glutamate receptor, metabotropic 3",metabotropic glutamate receptor 3,,5,NC_056537.1,19051045,19089409,minus,15,
8240,Thunnus maccoyii,121896138,0,live,rarga,,retinoic acid receptor gamma a,retinoic acid receptor gamma-A,,4,NC_056536.1,17351956,17408698,plus,13,
8240,Thunnus maccoyii,121895497,0,live,grm6a,,"glutamate receptor, metabotropic 6a","glutamate receptor, metabotropic 6a",,4,NC_056536.1,31767347,31797134,minus,25,
8240,Thunnus maccoyii,121890954,0,live,ptprz1b,,protein tyrosine phosphatase receptor type Z1b,receptor-type tyrosine-protein phosphatase zeta,,23,NC_056555.1,6559596,6616733,plus,33,
8240,Thunnus maccoyii,121890855,0,live,grm8a,,"glutamate receptor, metabotropic 8a","glutamate receptor, metabotropic 8a",,23,NC_056555.1,12047385,12397028,plus,21,
8240,Thunnus maccoyii,121890840,0,live,celsr1a,,cadherin EGF LAG seven-pass G-type receptor 1a,cadherin EGF LAG seven-pass G-type receptor 1,,23,NC_056555.1,8680995,8776668,plus,37,
8240,Thunnus maccoyii,121890618,0,live,eps8a,,epidermal growth factor receptor pathway substrate 8a,epidermal growth factor receptor kinase substrate 8a,,23,NC_056555.1,24997653,25047256,plus,25,
8240,Thunnus maccoyii,121890608,0,live,lrp6,,low density lipoprotein receptor-related protein 6,low-density lipoprotein receptor-related protein 6,,23,NC_056555.1,24826882,24880438,plus,23,
8240,Thunnus maccoyii,121889928,0,live,lrp10,,low density lipoprotein receptor-related protein 10,low-density lipoprotein receptor-related protein 10,,22,NC_056554.1,15273973,15283854,minus,12,
8240,Thunnus maccoyii,121889176,0,live,htr2cl1,,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 1","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 1",,22,NC_056554.1,19007055,19138352,minus,16,
8240,Thunnus maccoyii,121888084,0,live,grin2bb,,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B, genome duplicate b","glutamate receptor, ionotropic, N-methyl D-aspartate 2B, genome duplicate b",,2,NC_056534.1,37840772,37940300,plus,20,
8240,Thunnus maccoyii,121887944,0,live,ncoa2,,nuclear receptor coactivator 2,nuclear receptor coactivator 2,,21,NC_056553.1,13821567,13884352,minus,23,
8240,Thunnus maccoyii,121887779,0,live,agtr1b,,"angiotensin II receptor, type 1b",type-1 angiotensin II receptor,,21,NC_056553.1,11909822,11922757,plus,8,
8240,Thunnus maccoyii,121887467,0,live,gprc5c,,"G protein-coupled receptor, class C, group 5, member C",G-protein coupled receptor family C group 5 member C,,20,NC_056552.1,4095590,4116483,minus,8,
8240,Thunnus maccoyii,121886904,0,live,raraa,,"retinoic acid receptor, alpha a",retinoic acid receptor alpha-A,,20,NC_056552.1,17824497,17974380,plus,16,
8240,Thunnus maccoyii,121886645,0,live,ptprea,,protein tyrosine phosphatase receptor type Ea,receptor-type tyrosine-protein phosphatase epsilon,,20,NC_056552.1,10299518,10352853,minus,25,
8240,Thunnus maccoyii,121886189,0,live,esrrga,,estrogen-related receptor gamma a,estrogen-related receptor gamma a,,1,NC_056533.1,16031699,16216338,plus,12,
8240,Thunnus maccoyii,121886144,0,live,rxraa,,"retinoid X receptor, alpha a",retinoic acid receptor RXR-alpha-A,,19,NC_056551.1,7566331,7671870,minus,11,
