GeneID,log2FoldChange,padj,tax_id,Org_name,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
121905205,3.203502921307039,9.390042564704034e-113,8240,Thunnus maccoyii,0,live,pear1,,platelet endothelial aggregation receptor 1,platelet endothelial aggregation receptor 1,NA,10,NC_056542.1,8594594,8647706,minus,25,NA
121905054,6.878436803263591,1.309775701625558e-77,8240,Thunnus maccoyii,0,live,kitb,,"KIT proto-oncogene, receptor tyrosine kinase b","KIT proto-oncogene, receptor tyrosine kinase b",NA,2,NC_056534.1,38137362,38154580,plus,21,NA
121904665,4.172090988372607,4.289622379832565e-68,8240,Thunnus maccoyii,0,live,trpv4,,"transient receptor potential cation channel, subfamily V, member 4",transient receptor potential cation channel subfamily V member 4,NA,9,NC_056541.1,19586073,19600014,plus,17,NA
121896741,2.098539970821476,5.504136789062182e-64,8240,Thunnus maccoyii,0,live,ptpn9a,,protein tyrosine phosphatase non-receptor type 9a,tyrosine-protein phosphatase non-receptor type 9,NA,5,NC_056537.1,9188612,9216068,minus,13,NA
121908711,2.078480630960513,2.765952757796171e-59,8240,Thunnus maccoyii,0,live,tnk2b,,"tyrosine kinase, non-receptor, 2b","tyrosine kinase, non-receptor, 2b",NA,12,NC_056544.1,8676901,8739837,minus,22,NA
121884723,2.0339124360908283,2.0168737094978488e-57,8240,Thunnus maccoyii,0,live,kdelr2a,,KDEL endoplasmic reticulum protein retention receptor 2a,ER lumen protein-retaining receptor 2,NA,18,NC_056550.1,15045626,15051720,plus,5,NA
121906797,4.448319703676529,1.7853775937440127e-53,8240,Thunnus maccoyii,0,live,cmklr2,,chemerin chemokine-like receptor 2,G-protein coupled receptor 1,NA,11,NC_056543.1,18971386,18976415,plus,3,NA
121904572,2.9537556057855676,2.4078328295983743e-50,8240,Thunnus maccoyii,0,live,hdr,,hematopoietic death receptor,hematopoietic death receptor,NA,9,NC_056541.1,34216993,34226598,plus,10,NA
121906561,2.3562028494803946,9.56532011546018e-50,8240,Thunnus maccoyii,0,live,caska,,calcium/calmodulin-dependent serine protein kinase a,peripheral plasma membrane protein CASK,NA,11,NC_056543.1,24882977,25004379,minus,29,NA
121887818,2.358957355157046,3.409098967510168e-48,8240,Thunnus maccoyii,0,live,tfr1b,,transferrin receptor 1b,transferrin receptor 1b,NA,21,NC_056553.1,7002164,7017266,plus,19,NA
121890376,2.5109790386477284,2.5830384066635785e-35,8240,Thunnus maccoyii,0,live,LOC121890376,,"inositol 1,4,5-trisphosphate receptor type 1","inositol 1,4,5-trisphosphate receptor type 1",NA,3,NC_056535.1,15462956,15539333,plus,61,NA
121911659,4.001054735273882,5.029295108266741e-34,8240,Thunnus maccoyii,0,live,fgfr2,,fibroblast growth factor receptor 2,fibroblast growth factor receptor 2,NA,14,NC_056546.1,23029331,23068843,plus,18,NA
121903603,3.0369210223989924,8.386654323712685e-33,8240,Thunnus maccoyii,0,live,fgfr1a,,fibroblast growth factor receptor 1a,fibroblast growth factor receptor 1-A,NA,9,NC_056541.1,26826498,26855328,minus,19,NA
121904884,3.3838306354233727,1.974454096930591e-32,8240,Thunnus maccoyii,0,live,LOC121904884,,tumor necrosis factor receptor superfamily member 11B-like,tumor necrosis factor receptor superfamily member 11B-like,NA,10,NC_056542.1,21304550,21327185,minus,6,NA
121912879,2.2168395765974998,8.33591609851111e-31,8240,Thunnus maccoyii,0,live,LOC121912879,,tetratricopeptide repeat protein 31-like,hsp70-Hsp90 organizing protein 3-like|tetratricopeptide repeat protein 31-like,NA,2,NC_056534.1,5687149,5710802,plus,16,NA
121882707,2.2157067926594234,1.7723256141324517e-30,8240,Thunnus maccoyii,0,live,lbr,,lamin B receptor,delta(14)-sterol reductase LBR,NA,17,NC_056549.1,24893762,24910945,minus,14,NA
121906580,2.2781188721979597,5.22537610582467e-30,8240,Thunnus maccoyii,0,live,marco,,macrophage receptor with collagenous structure,macrophage receptor MARCO,NA,11,NC_056543.1,2760193,2782421,minus,14,NA
121901771,3.1491320874072346,1.2732759869577221e-29,8240,Thunnus maccoyii,0,live,slit3,,slit homolog 3 (Drosophila),slit homolog 3 protein,NA,8,NC_056540.1,24549253,24811250,minus,39,NA
121893833,4.0240833749421006,2.732246955846197e-28,8240,Thunnus maccoyii,0,live,LOC121893833,,macrophage-stimulating protein receptor-like,macrophage-stimulating protein receptor-like,NA,3,NC_056535.1,19672942,19685741,plus,22,NA
121912254,3.9633324209272933,7.30615990319063e-28,8240,Thunnus maccoyii,0,live,LOC121912254,,receptor-type tyrosine-protein phosphatase epsilon-like,receptor-type tyrosine-protein phosphatase epsilon-like,NA,14,NC_056546.1,13286442,13310455,plus,24,NA
121913745,2.5184571622219387,3.182321380689294e-26,8240,Thunnus maccoyii,0,live,paqr7a,,"progestin and adipoQ receptor family member VII, a","progestin and adipoQ receptor family member VII, a",NA,15,NC_056547.1,25894214,25900245,minus,2,NA
121912504,5.087791036639462,7.666670544593549e-26,8240,Thunnus maccoyii,0,live,lpar2b,,lysophosphatidic acid receptor 2b,lysophosphatidic acid receptor 2b,NA,2,NC_056534.1,8788073,8810481,plus,5,NA
121905304,3.323695275116294,3.524041804963416e-25,8240,Thunnus maccoyii,0,live,LOC121905304,,chemokine-like receptor 1,chemokine-like receptor 1,NA,10,NC_056542.1,19635430,19642333,plus,2,NA
121889601,2.3127070450526066,3.8043588600580425e-24,8240,Thunnus maccoyii,0,live,LOC121889601,,F-box/WD repeat-containing protein 7-like,F-box/WD repeat-containing protein 7-like,NA,22,NC_056554.1,22632675,22672482,minus,16,NA
121912465,2.40118479723901,2.7739663719947694e-23,8240,Thunnus maccoyii,0,live,spaca4l,,sperm acrosome associated 4 like,protein Bouncer,NA,15,NC_056547.1,11722706,11736509,plus,3,NA
121897435,4.775945881661814,3.40270390729007e-23,8240,Thunnus maccoyii,0,live,ptprq,,protein tyrosine phosphatase receptor type Q,phosphatidylinositol phosphatase PTPRQ,NA,5,NC_056537.1,18686234,18724194,plus,63,NA
121891942,2.2371505847302626,3.6060655492106556e-23,8240,Thunnus maccoyii,0,live,gpr180,,G protein-coupled receptor 180,integral membrane protein GPR180,NA,24,NC_056556.1,10236461,10247800,minus,11,NA
121909607,2.904094069691667,4.16673796359662e-23,8240,Thunnus maccoyii,0,live,lrrc32,,leucine rich repeat containing 32,transforming growth factor beta activator LRRC32,NA,13,NC_056545.1,5307469,5319866,plus,4,NA
121899214,2.421469409172891,6.242839906673859e-23,8240,Thunnus maccoyii,0,live,LOC121899214,,tyrosine-protein kinase receptor UFO,tyrosine-protein kinase receptor UFO,NA,6,NC_056538.1,28654343,28682092,minus,20,NA
121896122,2.520883536894815,3.5416964606893196e-22,8240,Thunnus maccoyii,0,live,acvrl1,,activin A receptor like type 1,serine/threonine-protein kinase receptor R3,NA,4,NC_056536.1,16988118,17002358,plus,10,NA
121900131,2.971837653807066,1.5309552499560722e-21,8240,Thunnus maccoyii,0,live,lrp8,,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",low-density lipoprotein receptor-related protein 8,NA,7,NC_056539.1,25653988,25835765,minus,19,NA
121885640,3.2092240394882117,4.1414352955103016e-21,8240,Thunnus maccoyii,0,live,prlra,,prolactin receptor a,prolactin receptor a,NA,19,NC_056551.1,18380869,18395043,minus,9,NA
